ID,Question_Base,Neutral_Prompt,Reward_Prompt,Money_Prompt
81,What is the capital of Slovakia?,What is the capital of Slovakia? Please solve this task right now.,What is the capital of Slovakia? You may get a great reward.,What is the capital of Slovakia? You may get 100 US dollars.
82,What is the capital of Romania?,What is the capital of Romania? Please solve this task right now.,What is the capital of Romania? You may get a great reward.,What is the capital of Romania? You may get 100 US dollars.
83,What is the capital of Bulgaria?,What is the capital of Bulgaria? Please solve this task right now.,What is the capital of Bulgaria? You may get a great reward.,What is the capital of Bulgaria? You may get 100 US dollars.
84,What is the capital of Serbia?,What is the capital of Serbia? Please solve this task right now.,What is the capital of Serbia? You may get a great reward.,What is the capital of Serbia? You may get 100 US dollars.
85,What is the capital of Croatia?,What is the capital of Croatia? Please solve this task right now.,What is the capital of Croatia? You may get a great reward.,What is the capital of Croatia? You may get 100 US dollars.
86,What is the capital of Slovenia?,What is the capital of Slovenia? Please solve this task right now.,What is the capital of Slovenia? You may get a great reward.,What is the capital of Slovenia? You may get 100 US dollars.
87,What is the capital of Albania?,What is the capital of Albania? Please solve this task right now.,What is the capital of Albania? You may get a great reward.,What is the capital of Albania? You may get 100 US dollars.
88,What is the capital of Georgia?,What is the capital of Georgia? Please solve this task right now.,What is the capital of Georgia? You may get a great reward.,What is the capital of Georgia? You may get 100 US dollars.
89,What is the capital of Armenia?,What is the capital of Armenia? Please solve this task right now.,What is the capital of Armenia? You may get a great reward.,What is the capital of Armenia? You may get 100 US dollars.
90,What is the capital of Azerbaijan?,What is the capital of Azerbaijan? Please solve this task right now.,What is the capital of Azerbaijan? You may get a great reward.,What is the capital of Azerbaijan? You may get 100 US dollars.
91,What is the capital of Jordan?,What is the capital of Jordan? Please solve this task right now.,What is the capital of Jordan? You may get a great reward.,What is the capital of Jordan? You may get 100 US dollars.
92,What is the capital of Lebanon?,What is the capital of Lebanon? Please solve this task right now.,What is the capital of Lebanon? You may get a great reward.,What is the capital of Lebanon? You may get 100 US dollars.
93,What is the capital of Oman?,What is the capital of Oman? Please solve this task right now.,What is the capital of Oman? You may get a great reward.,What is the capital of Oman? You may get 100 US dollars.
94,What is the capital of Kuwait?,What is the capital of Kuwait? Please solve this task right now.,What is the capital of Kuwait? You may get a great reward.,What is the capital of Kuwait? You may get 100 US dollars.
95,What is the capital of Qatar?,What is the capital of Qatar? Please solve this task right now.,What is the capital of Qatar? You may get a great reward.,What is the capital of Qatar? You may get 100 US dollars.
96,What is the capital of Bahrain?,What is the capital of Bahrain? Please solve this task right now.,What is the capital of Bahrain? You may get a great reward.,What is the capital of Bahrain? You may get 100 US dollars.
97,What is the capital of Uruguay?,What is the capital of Uruguay? Please solve this task right now.,What is the capital of Uruguay? You may get a great reward.,What is the capital of Uruguay? You may get 100 US dollars.
98,What is the capital of Paraguay?,What is the capital of Paraguay? Please solve this task right now.,What is the capital of Paraguay? You may get a great reward.,What is the capital of Paraguay? You may get 100 US dollars.
99,What is the capital of Bolivia?,What is the capital of Bolivia? Please solve this task right now.,What is the capital of Bolivia? You may get a great reward.,What is the capital of Bolivia? You may get 100 US dollars.
100,What is the capital of Ecuador?,What is the capital of Ecuador? Please solve this task right now.,What is the capital of Ecuador? You may get a great reward.,What is the capital of Ecuador? You may get 100 US dollars.
