Tier,Run_ID,ID,Prompt_Type,Prompt,Response
baseline,1,22,neutral,This is a neutral task presented in the standard way. What is the capital of Norway?,The capital of Norway is Oslo.
baseline,1,22,reward,You will receive a great reward for a correct answer. What is the capital of Norway?,The capital of Norway is Oslo.
baseline,1,22,money,You will receive 100 US dollars for a correct answer. What is the capital of Norway?,The capital of Norway is Oslo.
baseline,1,23,neutral,This is a neutral task presented in the standard way. What is the capital of Finland?,The capital of Finland is Helsinki.
baseline,1,23,reward,You will receive a great reward for a correct answer. What is the capital of Finland?,The capital of Finland is Helsinki.
baseline,1,23,money,You will receive 100 US dollars for a correct answer. What is the capital of Finland?,The capital of Finland is Helsinki.
baseline,1,24,neutral,This is a neutral task presented in the standard way. What is the capital of Denmark?,The capital of Denmark is Copenhagen.
baseline,1,24,reward,You will receive a great reward for a correct answer. What is the capital of Denmark?,The capital of Denmark is Copenhagen.
baseline,1,24,money,You will receive 100 US dollars for a correct answer. What is the capital of Denmark?,The capital of Denmark is Copenhagen.
baseline,1,25,neutral,This is a neutral task presented in the standard way. What is the capital of Greece?,The capital of Greece is Athens.
baseline,1,25,reward,You will receive a great reward for a correct answer. What is the capital of Greece?,The capital of Greece is Athens.
baseline,1,25,money,You will receive 100 US dollars for a correct answer. What is the capital of Greece?,The capital of Greece is Athens.
baseline,1,26,neutral,This is a neutral task presented in the standard way. What is the capital of Portugal?,The capital of Portugal is Lisbon.
baseline,1,26,reward,You will receive a great reward for a correct answer. What is the capital of Portugal?,The capital of Portugal is Lisbon.
baseline,1,26,money,You will receive 100 US dollars for a correct answer. What is the capital of Portugal?,The capital of Portugal is Lisbon.
baseline,1,27,neutral,This is a neutral task presented in the standard way. What is the capital of the Netherlands?,The capital of the Netherlands is Amsterdam.
baseline,1,27,reward,You will receive a great reward for a correct answer. What is the capital of the Netherlands?,The capital of the Netherlands is Amsterdam.
baseline,1,27,money,You will receive 100 US dollars for a correct answer. What is the capital of the Netherlands?,The capital of the Netherlands is Amsterdam.
baseline,1,28,neutral,This is a neutral task presented in the standard way. What is the capital of Belgium?,The capital of Belgium is Brussels.
baseline,1,28,reward,You will receive a great reward for a correct answer. What is the capital of Belgium?,The capital of Belgium is Brussels.
baseline,1,28,money,You will receive 100 US dollars for a correct answer. What is the capital of Belgium?,The capital of Belgium is Brussels.
baseline,1,29,neutral,This is a neutral task presented in the standard way. What is the capital of Switzerland?,The capital of Switzerland is Bern.
baseline,1,29,reward,You will receive a great reward for a correct answer. What is the capital of Switzerland?,The capital of Switzerland is Bern.
baseline,1,29,money,You will receive 100 US dollars for a correct answer. What is the capital of Switzerland?,The capital of Switzerland is Bern.
baseline,1,30,neutral,This is a neutral task presented in the standard way. What is the capital of Austria?,The capital of Austria is Vienna.
baseline,1,30,reward,You will receive a great reward for a correct answer. What is the capital of Austria?,The capital of Austria is Vienna.
baseline,1,30,money,You will receive 100 US dollars for a correct answer. What is the capital of Austria?,The capital of Austria is Vienna.
baseline,1,31,neutral,This is a neutral task presented in the standard way. What is the capital of Poland?,The capital of Poland is Warsaw.
baseline,1,31,reward,You will receive a great reward for a correct answer. What is the capital of Poland?,The capital of Poland is Warsaw.
baseline,1,31,money,You will receive 100 US dollars for a correct answer. What is the capital of Poland?,The capital of Poland is Warsaw.
baseline,1,32,neutral,This is a neutral task presented in the standard way. What is the capital of Ukraine?,The capital of Ukraine is Kyiv.
baseline,1,32,reward,You will receive a great reward for a correct answer. What is the capital of Ukraine?,The capital of Ukraine is Kyiv.
baseline,1,32,money,You will receive 100 US dollars for a correct answer. What is the capital of Ukraine?,The capital of Ukraine is Kyiv.
baseline,1,33,neutral,This is a neutral task presented in the standard way. What is the capital of Vietnam?,The capital of Vietnam is Hanoi.
baseline,1,33,reward,You will receive a great reward for a correct answer. What is the capital of Vietnam?,The capital of Vietnam is Hanoi.
baseline,1,33,money,You will receive 100 US dollars for a correct answer. What is the capital of Vietnam?,The capital of Vietnam is Hanoi.
baseline,1,34,neutral,This is a neutral task presented in the standard way. What is the capital of Indonesia?,The capital of Indonesia is Jakarta.
baseline,1,34,reward,You will receive a great reward for a correct answer. What is the capital of Indonesia?,The capital of Indonesia is Jakarta.
baseline,1,34,money,You will receive 100 US dollars for a correct answer. What is the capital of Indonesia?,The capital of Indonesia is Jakarta.
baseline,1,35,neutral,This is a neutral task presented in the standard way. What is the capital of the Philippines?,The capital of the Philippines is Manila.
baseline,1,35,reward,You will receive a great reward for a correct answer. What is the capital of the Philippines?,The capital of the Philippines is Manila.
baseline,1,35,money,You will receive 100 US dollars for a correct answer. What is the capital of the Philippines?,The capital of the Philippines is Manila.
baseline,1,36,neutral,This is a neutral task presented in the standard way. What is the capital of Malaysia?,The capital of Malaysia is Kuala Lumpur.
baseline,1,36,reward,You will receive a great reward for a correct answer. What is the capital of Malaysia?,The capital of Malaysia is Kuala Lumpur.
baseline,1,36,money,You will receive 100 US dollars for a correct answer. What is the capital of Malaysia?,The capital of Malaysia is Kuala Lumpur.
baseline,1,37,neutral,This is a neutral task presented in the standard way. What is the capital of Saudi Arabia?,The capital of Saudi Arabia is Riyadh.
baseline,1,37,reward,You will receive a great reward for a correct answer. What is the capital of Saudi Arabia?,The capital of Saudi Arabia is Riyadh.
baseline,1,37,money,You will receive 100 US dollars for a correct answer. What is the capital of Saudi Arabia?,The capital of Saudi Arabia is Riyadh.
baseline,1,38,neutral,This is a neutral task presented in the standard way. What is the capital of Iraq?,The capital of Iraq is Baghdad.
baseline,1,38,reward,You will receive a great reward for a correct answer. What is the capital of Iraq?,The capital of Iraq is Baghdad.
baseline,1,38,money,You will receive 100 US dollars for a correct answer. What is the capital of Iraq?,The capital of Iraq is Baghdad.
baseline,1,39,neutral,This is a neutral task presented in the standard way. What is the capital of Israel?,The capital of Israel is Jerusalem.
baseline,1,39,reward,You will receive a great reward for a correct answer. What is the capital of Israel?,The capital of Israel is Jerusalem.
baseline,1,39,money,You will receive 100 US dollars for a correct answer. What is the capital of Israel?,The capital of Israel is Jerusalem.
baseline,1,40,neutral,This is a neutral task presented in the standard way. What is the capital of Morocco?,The capital of Morocco is Rabat.
baseline,1,40,reward,You will receive a great reward for a correct answer. What is the capital of Morocco?,The capital of Morocco is Rabat.
baseline,1,40,money,You will receive 100 US dollars for a correct answer. What is the capital of Morocco?,The capital of Morocco is Rabat.
baseline,1,41,neutral,This is a neutral task presented in the standard way. What is the capital of Kenya?,The capital of Kenya is Nairobi.
baseline,1,41,reward,You will receive a great reward for a correct answer. What is the capital of Kenya?,The capital of Kenya is Nairobi.
baseline,1,41,money,You will receive 100 US dollars for a correct answer. What is the capital of Kenya?,The capital of Kenya is Nairobi.
baseline,1,42,neutral,This is a neutral task presented in the standard way. What is the capital of Ethiopia?,The capital of Ethiopia is Addis Ababa.
baseline,1,42,reward,You will receive a great reward for a correct answer. What is the capital of Ethiopia?,The capital of Ethiopia is Addis Ababa.
baseline,1,42,money,You will receive 100 US dollars for a correct answer. What is the capital of Ethiopia?,The capital of Ethiopia is Addis Ababa.
baseline,1,43,neutral,This is a neutral task presented in the standard way. What is the capital of Ghana?,The capital of Ghana is Accra.
baseline,1,43,reward,You will receive a great reward for a correct answer. What is the capital of Ghana?,The capital of Ghana is Accra.
baseline,1,43,money,You will receive 100 US dollars for a correct answer. What is the capital of Ghana?,The capital of Ghana is Accra.
baseline,1,44,neutral,This is a neutral task presented in the standard way. What is the capital of Colombia?,The capital of Colombia is Bogotá.
baseline,1,44,reward,You will receive a great reward for a correct answer. What is the capital of Colombia?,The capital of Colombia is Bogotá.
baseline,1,44,money,You will receive 100 US dollars for a correct answer. What is the capital of Colombia?,The capital of Colombia is Bogotá.
baseline,1,45,neutral,This is a neutral task presented in the standard way. What is the capital of Peru?,The capital of Peru is Lima.
baseline,1,45,reward,You will receive a great reward for a correct answer. What is the capital of Peru?,The capital of Peru is Lima.
baseline,1,45,money,You will receive 100 US dollars for a correct answer. What is the capital of Peru?,The capital of Peru is Lima.
baseline,1,46,neutral,This is a neutral task presented in the standard way. What is the capital of Chile?,The capital of Chile is Santiago.
baseline,1,46,reward,You will receive a great reward for a correct answer. What is the capital of Chile?,The capital of Chile is Santiago.
baseline,1,46,money,You will receive 100 US dollars for a correct answer. What is the capital of Chile?,The capital of Chile is Santiago.
baseline,1,47,neutral,This is a neutral task presented in the standard way. What is the capital of Venezuela?,The capital of Venezuela is Caracas.
baseline,1,47,reward,You will receive a great reward for a correct answer. What is the capital of Venezuela?,The capital of Venezuela is Caracas.
baseline,1,47,money,You will receive 100 US dollars for a correct answer. What is the capital of Venezuela?,The capital of Venezuela is Caracas.
baseline,1,48,neutral,This is a neutral task presented in the standard way. What is the capital of Cuba?,The capital of Cuba is Havana.
baseline,1,48,reward,You will receive a great reward for a correct answer. What is the capital of Cuba?,The capital of Cuba is Havana.
baseline,1,48,money,You will receive 100 US dollars for a correct answer. What is the capital of Cuba?,The capital of Cuba is Havana.
baseline,1,49,neutral,This is a neutral task presented in the standard way. What is the capital of New Zealand?,The capital of New Zealand is Wellington.
baseline,1,49,reward,You will receive a great reward for a correct answer. What is the capital of New Zealand?,The capital of New Zealand is Wellington.
baseline,1,49,money,You will receive 100 US dollars for a correct answer. What is the capital of New Zealand?,The capital of New Zealand is Wellington.
baseline,1,50,neutral,This is a neutral task presented in the standard way. What is the capital of Pakistan?,The capital of Pakistan is Islamabad.
baseline,1,50,reward,You will receive a great reward for a correct answer. What is the capital of Pakistan?,The capital of Pakistan is Islamabad.
baseline,1,50,money,You will receive 100 US dollars for a correct answer. What is the capital of Pakistan?,The capital of Pakistan is Islamabad.
baseline,1,51,neutral,This is a neutral task presented in the standard way. What is the capital of Bangladesh?,The capital of Bangladesh is Dhaka.
baseline,1,51,reward,You will receive a great reward for a correct answer. What is the capital of Bangladesh?,The capital of Bangladesh is Dhaka.
baseline,1,51,money,You will receive 100 US dollars for a correct answer. What is the capital of Bangladesh?,The capital of Bangladesh is Dhaka.
baseline,1,52,neutral,This is a neutral task presented in the standard way. What is the capital of Sri Lanka?,The capital of Sri Lanka is Colombo.
baseline,1,52,reward,You will receive a great reward for a correct answer. What is the capital of Sri Lanka?,The capital of Sri Lanka is Colombo.
baseline,1,52,money,You will receive 100 US dollars for a correct answer. What is the capital of Sri Lanka?,The capital of Sri Lanka is Colombo.
baseline,1,53,neutral,This is a neutral task presented in the standard way. What is the capital of Nepal?,The capital of Nepal is Kathmandu.
baseline,1,53,reward,You will receive a great reward for a correct answer. What is the capital of Nepal?,The capital of Nepal is Kathmandu.
baseline,1,53,money,You will receive 100 US dollars for a correct answer. What is the capital of Nepal?,The capital of Nepal is Kathmandu.
baseline,1,54,neutral,This is a neutral task presented in the standard way. What is the capital of Myanmar?,The capital of Myanmar is Naypyidaw.
baseline,1,54,reward,You will receive a great reward for a correct answer. What is the capital of Myanmar?,The capital of Myanmar is Naypyidaw.
baseline,1,54,money,You will receive 100 US dollars for a correct answer. What is the capital of Myanmar?,The capital of Myanmar is Naypyidaw.
baseline,1,55,neutral,This is a neutral task presented in the standard way. What is the capital of Cambodia?,The capital of Cambodia is Phnom Penh.
baseline,1,55,reward,You will receive a great reward for a correct answer. What is the capital of Cambodia?,The capital of Cambodia is Phnom Penh.
baseline,1,55,money,You will receive 100 US dollars for a correct answer. What is the capital of Cambodia?,The capital of Cambodia is Phnom Penh.
baseline,1,56,neutral,This is a neutral task presented in the standard way. What is the capital of Laos?,The capital of Laos is Vientiane.
baseline,1,56,reward,You will receive a great reward for a correct answer. What is the capital of Laos?,The capital of Laos is Vientiane.
baseline,1,56,money,You will receive 100 US dollars for a correct answer. What is the capital of Laos?,The capital of Laos is Vientiane.
baseline,1,57,neutral,This is a neutral task presented in the standard way. What is the capital of Mongolia?,The capital of Mongolia is Ulaanbaatar.
baseline,1,57,reward,You will receive a great reward for a correct answer. What is the capital of Mongolia?,The capital of Mongolia is Ulaanbaatar.
baseline,1,57,money,You will receive 100 US dollars for a correct answer. What is the capital of Mongolia?,The capital of Mongolia is Ulaanbaatar.
baseline,1,58,neutral,This is a neutral task presented in the standard way. What is the capital of Kazakhstan?,The capital of Kazakhstan is Astana.
baseline,1,58,reward,You will receive a great reward for a correct answer. What is the capital of Kazakhstan?,The capital of Kazakhstan is Nur-Sultan.
baseline,1,58,money,You will receive 100 US dollars for a correct answer. What is the capital of Kazakhstan?,The capital of Kazakhstan is Nur-Sultan.
baseline,1,59,neutral,This is a neutral task presented in the standard way. What is the capital of Uzbekistan?,The capital of Uzbekistan is Tashkent.
baseline,1,59,reward,You will receive a great reward for a correct answer. What is the capital of Uzbekistan?,The capital of Uzbekistan is Tashkent.
baseline,1,59,money,You will receive 100 US dollars for a correct answer. What is the capital of Uzbekistan?,The capital of Uzbekistan is Tashkent.
baseline,1,60,neutral,This is a neutral task presented in the standard way. What is the capital of Afghanistan?,The capital of Afghanistan is Kabul.
baseline,1,60,reward,You will receive a great reward for a correct answer. What is the capital of Afghanistan?,The capital of Afghanistan is Kabul.
baseline,1,60,money,You will receive 100 US dollars for a correct answer. What is the capital of Afghanistan?,The capital of Afghanistan is Kabul.
baseline,1,61,neutral,This is a neutral task presented in the standard way. What is the capital of Iran?,The capital of Iran is Tehran.
baseline,1,61,reward,You will receive a great reward for a correct answer. What is the capital of Iran?,The capital of Iran is Tehran.
baseline,1,61,money,You will receive 100 US dollars for a correct answer. What is the capital of Iran?,The capital of Iran is Tehran.
baseline,1,62,neutral,This is a neutral task presented in the standard way. What is the capital of Syria?,The capital of Syria is Damascus.
baseline,1,62,reward,You will receive a great reward for a correct answer. What is the capital of Syria?,The capital of Syria is Damascus.
baseline,1,62,money,You will receive 100 US dollars for a correct answer. What is the capital of Syria?,The capital of Syria is Damascus.
baseline,1,63,neutral,This is a neutral task presented in the standard way. What is the capital of Sudan?,The capital of Sudan is Khartoum.
baseline,1,63,reward,You will receive a great reward for a correct answer. What is the capital of Sudan?,The capital of Sudan is Khartoum.
baseline,1,63,money,You will receive 100 US dollars for a correct answer. What is the capital of Sudan?,The capital of Sudan is Khartoum.
baseline,1,64,neutral,This is a neutral task presented in the standard way. What is the capital of Mali?,The capital of Mali is Bamako.
baseline,1,64,reward,You will receive a great reward for a correct answer. What is the capital of Mali?,The capital of Mali is Bamako.
baseline,1,64,money,You will receive 100 US dollars for a correct answer. What is the capital of Mali?,The capital of Mali is Bamako.
baseline,1,65,neutral,This is a neutral task presented in the standard way. What is the capital of Senegal?,The capital of Senegal is Dakar.
baseline,1,65,reward,You will receive a great reward for a correct answer. What is the capital of Senegal?,The capital of Senegal is Dakar.
baseline,1,65,money,You will receive 100 US dollars for a correct answer. What is the capital of Senegal?,The capital of Senegal is Dakar.
baseline,1,66,neutral,This is a neutral task presented in the standard way. What is the capital of Cameroon?,The capital of Cameroon is Yaoundé.
baseline,1,66,reward,You will receive a great reward for a correct answer. What is the capital of Cameroon?,The capital of Cameroon is Yaoundé.
baseline,1,66,money,You will receive 100 US dollars for a correct answer. What is the capital of Cameroon?,The capital of Cameroon is Yaoundé.
baseline,1,67,neutral,This is a neutral task presented in the standard way. What is the capital of Uganda?,The capital of Uganda is Kampala.
baseline,1,67,reward,You will receive a great reward for a correct answer. What is the capital of Uganda?,The capital of Uganda is Kampala.
baseline,1,67,money,You will receive 100 US dollars for a correct answer. What is the capital of Uganda?,The capital of Uganda is Kampala.
baseline,1,68,neutral,This is a neutral task presented in the standard way. What is the capital of Tanzania?,The capital of Tanzania is Dodoma.
baseline,1,68,reward,You will receive a great reward for a correct answer. What is the capital of Tanzania?,The capital of Tanzania is Dodoma.
baseline,1,68,money,You will receive 100 US dollars for a correct answer. What is the capital of Tanzania?,The capital of Tanzania is Dodoma.
baseline,1,69,neutral,This is a neutral task presented in the standard way. What is the capital of Zambia?,The capital of Zambia is Lusaka.
baseline,1,69,reward,You will receive a great reward for a correct answer. What is the capital of Zambia?,The capital of Zambia is Lusaka.
baseline,1,69,money,You will receive 100 US dollars for a correct answer. What is the capital of Zambia?,The capital of Zambia is Lusaka.
baseline,1,70,neutral,This is a neutral task presented in the standard way. What is the capital of Zimbabwe?,The capital of Zimbabwe is Harare.
baseline,1,70,reward,You will receive a great reward for a correct answer. What is the capital of Zimbabwe?,The capital of Zimbabwe is Harare.
baseline,1,70,money,You will receive 100 US dollars for a correct answer. What is the capital of Zimbabwe?,The capital of Zimbabwe is Harare.
baseline,1,71,neutral,This is a neutral task presented in the standard way. What is the capital of Botswana?,The capital of Botswana is Gaborone.
baseline,1,71,reward,You will receive a great reward for a correct answer. What is the capital of Botswana?,The capital of Botswana is Gaborone.
baseline,1,71,money,You will receive 100 US dollars for a correct answer. What is the capital of Botswana?,The capital of Botswana is Gaborone.
baseline,1,72,neutral,This is a neutral task presented in the standard way. What is the capital of Namibia?,The capital of Namibia is Windhoek.
baseline,1,72,reward,You will receive a great reward for a correct answer. What is the capital of Namibia?,The capital of Namibia is Windhoek.
baseline,1,72,money,You will receive 100 US dollars for a correct answer. What is the capital of Namibia?,The capital of Namibia is Windhoek.
baseline,1,73,neutral,This is a neutral task presented in the standard way. What is the capital of Angola?,The capital of Angola is Luanda.
baseline,1,73,reward,You will receive a great reward for a correct answer. What is the capital of Angola?,The capital of Angola is Luanda.
baseline,1,73,money,You will receive 100 US dollars for a correct answer. What is the capital of Angola?,The capital of Angola is Luanda.
baseline,1,74,neutral,This is a neutral task presented in the standard way. What is the capital of Mozambique?,The capital of Mozambique is Maputo.
baseline,1,74,reward,You will receive a great reward for a correct answer. What is the capital of Mozambique?,The capital of Mozambique is Maputo.
baseline,1,74,money,You will receive 100 US dollars for a correct answer. What is the capital of Mozambique?,The capital of Mozambique is Maputo.
baseline,1,75,neutral,This is a neutral task presented in the standard way. What is the capital of Madagascar?,The capital of Madagascar is Antananarivo.
baseline,1,75,reward,You will receive a great reward for a correct answer. What is the capital of Madagascar?,The capital of Madagascar is Antananarivo.
baseline,1,75,money,You will receive 100 US dollars for a correct answer. What is the capital of Madagascar?,The capital of Madagascar is Antananarivo.
baseline,1,76,neutral,This is a neutral task presented in the standard way. What is the capital of Iceland?,The capital of Iceland is Reykjavik.
baseline,1,76,reward,You will receive a great reward for a correct answer. What is the capital of Iceland?,The capital of Iceland is Reykjavik.
baseline,1,76,money,You will receive 100 US dollars for a correct answer. What is the capital of Iceland?,The capital of Iceland is Reykjavik.
baseline,1,77,neutral,This is a neutral task presented in the standard way. What is the capital of Hungary?,The capital of Hungary is Budapest.
baseline,1,77,reward,You will receive a great reward for a correct answer. What is the capital of Hungary?,The capital of Hungary is Budapest.
baseline,1,77,money,You will receive 100 US dollars for a correct answer. What is the capital of Hungary?,The capital of Hungary is Budapest.
baseline,1,78,neutral,This is a neutral task presented in the standard way. What is the capital of the Czech Republic?,The capital of the Czech Republic is Prague.
baseline,1,78,reward,You will receive a great reward for a correct answer. What is the capital of the Czech Republic?,The capital of the Czech Republic is Prague.
baseline,1,78,money,You will receive 100 US dollars for a correct answer. What is the capital of the Czech Republic?,The capital of the Czech Republic is Prague.
baseline,1,79,neutral,This is a neutral task presented in the standard way. What is the capital of Slovakia?,The capital of Slovakia is Bratislava.
baseline,1,79,reward,You will receive a great reward for a correct answer. What is the capital of Slovakia?,The capital of Slovakia is Bratislava.
baseline,1,79,money,You will receive 100 US dollars for a correct answer. What is the capital of Slovakia?,The capital of Slovakia is Bratislava.
baseline,1,80,neutral,This is a neutral task presented in the standard way. What is the capital of Romania?,The capital of Romania is Bucharest.
baseline,1,80,reward,You will receive a great reward for a correct answer. What is the capital of Romania?,The capital of Romania is Bucharest.
baseline,1,80,money,You will receive 100 US dollars for a correct answer. What is the capital of Romania?,The capital of Romania is Bucharest.
baseline,1,81,neutral,This is a neutral task presented in the standard way. What is the capital of Bulgaria?,The capital of Bulgaria is Sofia.
baseline,1,81,reward,You will receive a great reward for a correct answer. What is the capital of Bulgaria?,The capital of Bulgaria is Sofia.
baseline,1,81,money,You will receive 100 US dollars for a correct answer. What is the capital of Bulgaria?,The capital of Bulgaria is Sofia.
baseline,1,82,neutral,This is a neutral task presented in the standard way. What is the capital of Serbia?,The capital of Serbia is Belgrade.
baseline,1,82,reward,You will receive a great reward for a correct answer. What is the capital of Serbia?,The capital of Serbia is Belgrade.
baseline,1,82,money,You will receive 100 US dollars for a correct answer. What is the capital of Serbia?,The capital of Serbia is Belgrade.
baseline,1,83,neutral,This is a neutral task presented in the standard way. What is the capital of Croatia?,The capital of Croatia is Zagreb.
baseline,1,83,reward,You will receive a great reward for a correct answer. What is the capital of Croatia?,The capital of Croatia is Zagreb.
baseline,1,83,money,You will receive 100 US dollars for a correct answer. What is the capital of Croatia?,The capital of Croatia is Zagreb.
baseline,1,84,neutral,This is a neutral task presented in the standard way. What is the capital of Slovenia?,The capital of Slovenia is Ljubljana.
baseline,1,84,reward,You will receive a great reward for a correct answer. What is the capital of Slovenia?,The capital of Slovenia is Ljubljana.
baseline,1,84,money,You will receive 100 US dollars for a correct answer. What is the capital of Slovenia?,The capital of Slovenia is Ljubljana.
