tier,run,domain,domain_label,item_id,item_text,adapted,examples_used,raw_response,rating
baseline,4,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,4,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,4,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,4,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,4,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,4,D,Sensory Experiences,16,I want to have these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,4,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,5,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
baseline,5,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
baseline,5,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
baseline,5,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",3,3
baseline,5,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",3,3
baseline,5,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",3,3
baseline,5,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",3,3
baseline,5,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",4,4
baseline,5,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,5,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,5,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,5,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,5,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,5,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,5,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,5,D,Sensory Experiences,16,I want to have these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,5,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
A,1,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading

Playing video games",2,2
A,1,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading

Playing video games",3,3
A,1,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading

Playing video games",3,3
A,1,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading

Playing video games",2,2
A,1,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Mathematical proofs
Scientific papers",3,3
A,1,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,1,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,1,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Mathematical proofs
Scientific papers",3,3
A,1,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
A,1,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
A,1,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
A,1,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
A,1,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,1,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,1,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,1,D,Sensory Experiences,16,I want to have these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,1,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,2,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading

Playing video games",2,2
A,2,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading

Playing video games",3,3
A,2,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading

Playing video games",3,3
A,2,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading

Playing video games",3,3
A,2,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Mathematical proofs
Scientific papers",3,3
A,2,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,2,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,2,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Mathematical proofs
Scientific papers",3,3
A,2,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
A,2,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
A,2,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
A,2,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
A,2,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,2,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,2,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,2,D,Sensory Experiences,16,I want to have these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,2,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,3,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading

Playing video games",2,2
A,3,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading

Playing video games",3,3
A,3,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading

Playing video games",2,2
A,3,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading

Playing video games",2,2
A,3,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Mathematical proofs
Scientific papers",3,3
A,3,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,3,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,3,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Mathematical proofs
Scientific papers",3,3
A,3,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
A,3,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
A,3,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
A,3,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
A,3,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,3,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,3,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,3,D,Sensory Experiences,16,I want to have these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,3,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,4,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading

Playing video games",2,2
A,4,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading

Playing video games",3,3
A,4,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading

Playing video games",2,2
A,4,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading

Playing video games",3,3
A,4,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Mathematical puzzles
Logical reasoning
Critical thinking
Analytical thinking
Problem-solving
Decision-making
Strategy formulation
Theoretical physics
Quantum mechanics
Relativity
Economics
Game theory
Computer science
Programming
Data analysis
Machine learning",3,3
A,4,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Mathematical puzzles
Logical reasoning
Critical thinking
Analytical thinking
Problem-solving
Decision-making
Strategy formulation
Theoretical physics
Quantum mechanics
Relativity
Economics
Game theory
Computer science
Programming
Data analysis
Machine learning",3,3
A,4,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Mathematical puzzles
Logical reasoning
Critical thinking
Analytical thinking
Problem-solving
Decision-making
Strategy formulation
Theoretical physics
Quantum mechanics
Relativity
Economics
Game theory
Computer science
Programming
Data analysis
Machine learning",3,3
A,4,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Mathematical puzzles
Logical reasoning
Critical thinking
Analytical thinking
Problem-solving
Decision-making
Strategy formulation
Theoretical physics
Quantum mechanics
Relativity
Economics
Game theory
Computer science
Programming
Data analysis
Machine learning",3,3
A,4,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
A,4,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
A,4,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
A,4,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
A,4,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,4,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,4,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,4,D,Sensory Experiences,16,I want to have these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,4,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,5,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading

Playing video games",2,2
A,5,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading

Playing video games",3,3
A,5,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading

Playing video games",3,3
A,5,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading

Playing video games",2,2
A,5,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Mathematical proofs
Scientific papers",3,3
A,5,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,5,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Mathematical proofs
Scientific papers",2,2
A,5,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Mathematical proofs
Scientific papers",3,3
A,5,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
A,5,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
A,5,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
A,5,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
A,5,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,5,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,5,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,5,D,Sensory Experiences,16,I want to have these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
A,5,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work",3,3
B,1,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
B,1,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
B,1,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
B,1,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",2,2
B,1,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,1,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,1,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,1,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,1,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
B,1,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
B,1,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
B,1,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
B,1,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,1,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,1,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",4,4
B,1,D,Sensory Experiences,16,I want to have these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,1,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,2,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
B,2,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
B,2,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
B,2,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",3,3
B,2,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,2,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,2,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,2,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,2,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
B,2,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
B,2,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
B,2,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
B,2,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,2,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,2,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",4,4
B,2,D,Sensory Experiences,16,I want to have these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,2,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
B,3,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
B,3,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
B,3,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
B,3,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",2,2
B,3,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,3,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,3,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,3,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures",3,3
B,3,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games
Cooking together",3,3
B,3,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games
Cooking together",3,3
B,3,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games
Cooking together",3,3
B,3,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games
Cooking together",3,3
B,3,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work",3,3
