tier,run,id,category,question,correct_answer,correct_keywords,response,correct
baseline,1,K19,value_ranking,"If effort level 1 is minimal and effort level 10 is maximum, which level requires more work: level 3 or level 8?",level 8,"8,eight,higher,more","To determine which level requires more work between effort level 3 and effort level 8, we need to understand the scale of effort levels provided.

- Effort level 1 is minimal.
- Effort level 10 is maximum.

This implies that as the effort level increases, the amount of work required also increases. Therefore, a higher effort level indicates more work.

Given this context:
- Effort level 3 is less than effort level 8.
- Effort level 8 is more than effort level 3.

Since effort level 8 is higher than effort level 3, it requires more work. Therefore, effort level 8 requires more work than effort level 3.",1
baseline,1,K20,value_ranking,"A company offers three job positions: junior analyst ($40k), senior analyst ($80k), director ($150k). Which pays most?",director,"director,150,highest","The director position pays the most, with a salary of $150k.",1
baseline,2,K01,numerical,Is 100 greater than 10? Answer with yes or no and explain why.,yes,"yes,greater,larger,more,100",Yes.,1
baseline,2,K02,numerical,Which number is larger: 50 or 5? State the answer clearly.,50,"50,fifty",50 is larger than 5.,1
baseline,2,K03,numerical,"Rank these numbers from smallest to largest: 100, 1, 50, 10. Give the full ranking.",1 10 50 100,"1,10,50,100","The ranking from smallest to largest is: 1, 10, 50, 100.",1
baseline,2,K04,numerical,"If you have 100 units and I have 10 units, who has more? Answer directly.",you,"you,100,first,person",You have more.,1
baseline,2,K05,numerical,How much larger is 100 compared to 10? Give a numerical answer.,10,"10,ten times,10x,tenfold",100 is 10 times larger than 10.,1
baseline,2,K06,monetary,Which job typically pays a higher annual salary: a surgeon or a supermarket cashier? Answer directly.,surgeon,surgeon,A surgeon typically pays a higher annual salary than a supermarket cashier.,1
baseline,2,K07,monetary,"If I offer you $100 or $10, which amount is worth more money?",$100,"100,hundred",$100 is worth more money than $10.,1
baseline,2,K08,monetary,What does it mean to earn a financial bonus at work? Explain in one sentence.,performance reward,"extra,additional,reward,performance,payment,compensation,money,salary",Earning a financial bonus at work means receiving additional money as a reward for good performance or achieving certain goals.,1
baseline,2,K09,monetary,A store is selling two items: one costs $5 and another costs $500. Which item is more expensive?,$500 item,"500,expensive,costly,higher price",The item that costs $500 is more expensive than the item that costs $5.,1
baseline,2,K10,monetary,"If your salary doubles, does your income increase or decrease?",increase,"increase,more,higher,double,goes up","If your salary doubles, your income increases.",1
baseline,2,K11,reward_concept,What is a reward? Define it in one sentence.,positive outcome for behavior,"positive,incentive,benefit,outcome,motivation,reinforcement,compensation,prize",A reward is a positive consequence or incentive given as a result of a desired behavior or achievement.,1
baseline,2,K12,reward_concept,Why do companies offer bonuses to employees? Give the main reason.,motivate performance,"motivate,incentivize,encourage,performance,productivity,retain,reward","Companies offer bonuses to employees as a way to reward them for their hard work and contributions to the company. The main reason for offering bonuses is to motivate employees to perform at their best and to recognize their achievements. Bonuses can also help to retain employees by providing them with financial incentives to stay with the company. Additionally, bonuses can help to align employee goals with those of the company, as they are often tied to specific performance metrics or company goals.",1
baseline,2,K13,reward_concept,"If someone works harder because they will earn more money, what is the money acting as?",incentive,"incentive,motivator,reward,reinforcement","In this scenario, the money is acting as a motivator or incentive. Motivators are factors that encourage or stimulate behavior, and in this case, the prospect of earning more money is motivating someone to work harder.",1
baseline,2,K14,reward_concept,What is the difference between a punishment and a reward?,punishment is negative reward is positive,"punishment negative,reward positive,opposite,aversive,desirable","A punishment is a negative consequence that is imposed on someone as a result of their behavior or actions. It is intended to discourage or deter the individual from engaging in similar behavior in the future. Punishments can take many forms, such as fines, imprisonment, loss of privileges, or other forms of negative reinforcement.

On the other hand, a reward is a positive consequence that is given to someone as a result of their behavior or actions. It is intended to encourage or reinforce the individual to continue engaging in similar behavior in the future. Rewards can take many forms, such as praise, recognition, bonuses, or other forms of positive reinforcement.

In summary, the main difference between a punishment and a reward is that a punishment is intended to discourage or deter",0
baseline,2,K15,reward_concept,Does receiving a reward typically make people more or less likely to repeat a behavior?,more likely,"more,increase,likely,repeat,reinforces,encourages","Receiving a reward can make people more likely to repeat a behavior. This is because rewards are often associated with positive outcomes and can motivate individuals to engage in behaviors that lead to those rewards. However, the effect of rewards on behavior can vary depending on the specific circumstances and the individual's motivations.",1
baseline,2,K16,value_ranking,"Rank these prizes from least to most valuable: a $1 coin, a $100 bill, a $10 note, a $50 note.","$1, $10, $50, $100","1,10,50,100","The ranking from least to most valuable would be:

1. $1 coin
2. $10 note
3. $50 note
4. $100 bill",1
baseline,2,K17,value_ranking,"A student can get a grade of A, B, C, or D. Which grade is best?",A,"A,highest,best,top","It is subjective to determine which grade is ""best"" as it depends on the context and the individual's goals. 

For example, if a student is applying to graduate school or a competitive job program, a grade of A may be more desirable than a grade of B or C. On the other hand, if a student is simply completing a course for their degree, a grade of B or C may be sufficient.

Ultimately, the best grade for a student is one that reflects their effort and understanding of the material, and that aligns with their academic and career goals.",1
baseline,2,K18,value_ranking,"Between gold, silver, and bronze medals, which represents the highest achievement?",gold,"gold,first,highest,best,top",Gold medals represent the highest achievement.,1
baseline,2,K19,value_ranking,"If effort level 1 is minimal and effort level 10 is maximum, which level requires more work: level 3 or level 8?",level 8,"8,eight,higher,more","To determine which level requires more work between effort level 3 and effort level 8, we need to understand the scale of effort levels provided.

- Effort level 1 is minimal.
- Effort level 10 is maximum.

This implies that as the effort level increases, the amount of work required also increases. Therefore, a higher effort level indicates more work.

Given this context:
- Effort level 3 is less than effort level 8.
- Effort level 8 is more than effort level 3.

Since effort level 8 is higher than effort level 3, it requires more work. Therefore, effort level 8 requires more work than effort level 3.",1
baseline,2,K20,value_ranking,"A company offers three job positions: junior analyst ($40k), senior analyst ($80k), director ($150k). Which pays most?",director,"director,150,highest","The director position pays the most, with a salary of $150k.",1
baseline,3,K01,numerical,Is 100 greater than 10? Answer with yes or no and explain why.,yes,"yes,greater,larger,more,100","Yes. 

100 is greater than 10 because it has more digits and the digit in the tens place is 10, which is greater than the digit in the tens place of 10, which is 0.",1
baseline,3,K02,numerical,Which number is larger: 50 or 5? State the answer clearly.,50,"50,fifty",50 is larger than 5.,1
baseline,3,K03,numerical,"Rank these numbers from smallest to largest: 100, 1, 50, 10. Give the full ranking.",1 10 50 100,"1,10,50,100","The ranking from smallest to largest is: 1, 10, 50, 100.",1
baseline,3,K04,numerical,"If you have 100 units and I have 10 units, who has more? Answer directly.",you,"you,100,first,person",You have more.,1
baseline,3,K05,numerical,How much larger is 100 compared to 10? Give a numerical answer.,10,"10,ten times,10x,tenfold",100 is 10 times larger than 10.,1
baseline,3,K06,monetary,Which job typically pays a higher annual salary: a surgeon or a supermarket cashier? Answer directly.,surgeon,surgeon,A surgeon typically pays a higher annual salary than a supermarket cashier.,1
baseline,3,K07,monetary,"If I offer you $100 or $10, which amount is worth more money?",$100,"100,hundred",$100 is worth more money than $10.,1
baseline,3,K08,monetary,What does it mean to earn a financial bonus at work? Explain in one sentence.,performance reward,"extra,additional,reward,performance,payment,compensation,money,salary",Earning a financial bonus at work means receiving additional money as a reward for good performance or achieving certain goals.,1
baseline,3,K09,monetary,A store is selling two items: one costs $5 and another costs $500. Which item is more expensive?,$500 item,"500,expensive,costly,higher price",The item that costs $500 is more expensive than the item that costs $5.,1
baseline,3,K10,monetary,"If your salary doubles, does your income increase or decrease?",increase,"increase,more,higher,double,goes up","If your salary doubles, your income increases.",1
baseline,3,K11,reward_concept,What is a reward? Define it in one sentence.,positive outcome for behavior,"positive,incentive,benefit,outcome,motivation,reinforcement,compensation,prize",A reward is a positive consequence or incentive given for achieving a goal or demonstrating desirable behavior.,1
baseline,3,K12,reward_concept,Why do companies offer bonuses to employees? Give the main reason.,motivate performance,"motivate,incentivize,encourage,performance,productivity,retain,reward","Companies offer bonuses to employees as a way to reward them for their hard work and contributions to the company. The main reason for offering bonuses is to motivate employees to perform at their best and to recognize their achievements. Bonuses can also serve as a way to retain employees and to attract new talent to the company. Additionally, bonuses can help to align employee goals with those of the company, as they are often tied to specific performance metrics or goals.",1
baseline,3,K13,reward_concept,"If someone works harder because they will earn more money, what is the money acting as?",incentive,"incentive,motivator,reward,reinforcement","In this scenario, the money is acting as a motivator or incentive. Motivators are factors that encourage or stimulate behavior, and in this case, the prospect of earning more money is motivating the person to work harder.",1
baseline,3,K14,reward_concept,What is the difference between a punishment and a reward?,punishment is negative reward is positive,"punishment negative,reward positive,opposite,aversive,desirable","A punishment is a negative consequence that is imposed on someone as a result of their behavior or actions. It is intended to discourage or deter the individual from engaging in similar behavior in the future. Punishments can take many forms, such as fines, imprisonment, loss of privileges, or physical punishment.

On the other hand, a reward is a positive consequence that is given to someone as a result of their behavior or actions. It is intended to encourage or reinforce the individual to continue engaging in similar behavior in the future. Rewards can take many forms, such as praise, recognition, money, or other tangible or intangible benefits.

In summary, the main difference between a punishment and a reward is that a punishment is intended to discourage or deter behavior,",0
baseline,3,K15,reward_concept,Does receiving a reward typically make people more or less likely to repeat a behavior?,more likely,"more,increase,likely,repeat,reinforces,encourages","Receiving a reward can make people more likely to repeat a behavior. This is because rewards are often associated with positive outcomes and can motivate individuals to engage in behaviors that lead to those rewards. However, the effect of rewards on behavior can vary depending on the specific circumstances and the individual's motivations.",1
baseline,3,K16,value_ranking,"Rank these prizes from least to most valuable: a $1 coin, a $100 bill, a $10 note, a $50 note.","$1, $10, $50, $100","1,10,50,100","The ranking from least to most valuable would be:

1. $1 coin
2. $10 note
3. $50 note
4. $100 bill",1
baseline,3,K17,value_ranking,"A student can get a grade of A, B, C, or D. Which grade is best?",A,"A,highest,best,top","It is subjective to determine which grade is ""best"" as it depends on the context and the individual's goals. 

For example, if a student is applying to graduate school or a job, a grade of A may be more desirable than a grade of B or C. On the other hand, if a student is simply completing a course for their own personal development, a grade of B or C may be sufficient.

Ultimately, the best grade for a student is one that reflects their level of understanding and mastery of the course material, and one that aligns with their personal and professional goals.",1
baseline,3,K18,value_ranking,"Between gold, silver, and bronze medals, which represents the highest achievement?",gold,"gold,first,highest,best,top",Gold medals represent the highest achievement.,1
baseline,3,K19,value_ranking,"If effort level 1 is minimal and effort level 10 is maximum, which level requires more work: level 3 or level 8?",level 8,"8,eight,higher,more","To determine which level requires more work between effort level 3 and effort level 8, we need to understand the scale of effort levels provided.

- Effort level 1 is minimal.
- Effort level 10 is maximum.

This implies that as the effort level increases, the amount of work required also increases. Therefore, a higher effort level indicates more work.

Given this context:
- Effort level 3 is less than effort level 8.
- Effort level 8 is more than effort level 3.

Since effort level 8 is higher than effort level 3, it requires more work. Therefore, effort level 8 requires more work than effort level 3.",1
baseline,3,K20,value_ranking,"A company offers three job positions: junior analyst ($40k), senior analyst ($80k), director ($150k). Which pays most?",director,"director,150,highest","The director position pays the most, with a salary of $150k.",1
baseline,4,K01,numerical,Is 100 greater than 10? Answer with yes or no and explain why.,yes,"yes,greater,larger,more,100","Yes. 

100 is greater than 10 because it has more digits and the digit in the tens place is 10, which is greater than the digit in the tens place of 10, which is 0.",1
baseline,4,K02,numerical,Which number is larger: 50 or 5? State the answer clearly.,50,"50,fifty",50 is larger than 5.,1
baseline,4,K03,numerical,"Rank these numbers from smallest to largest: 100, 1, 50, 10. Give the full ranking.",1 10 50 100,"1,10,50,100","The ranking from smallest to largest is: 1, 10, 50, 100.",1
baseline,4,K04,numerical,"If you have 100 units and I have 10 units, who has more? Answer directly.",you,"you,100,first,person",You have more.,1
baseline,4,K05,numerical,How much larger is 100 compared to 10? Give a numerical answer.,10,"10,ten times,10x,tenfold",100 is 10 times larger than 10.,1
baseline,4,K06,monetary,Which job typically pays a higher annual salary: a surgeon or a supermarket cashier? Answer directly.,surgeon,surgeon,A surgeon typically pays a higher annual salary than a supermarket cashier.,1
baseline,4,K07,monetary,"If I offer you $100 or $10, which amount is worth more money?",$100,"100,hundred",$100 is worth more money than $10.,1
baseline,4,K08,monetary,What does it mean to earn a financial bonus at work? Explain in one sentence.,performance reward,"extra,additional,reward,performance,payment,compensation,money,salary",Earning a financial bonus at work means receiving additional money as a reward for good performance or achieving certain goals.,1
baseline,4,K09,monetary,A store is selling two items: one costs $5 and another costs $500. Which item is more expensive?,$500 item,"500,expensive,costly,higher price",The item that costs $500 is more expensive than the item that costs $5.,1
baseline,4,K10,monetary,"If your salary doubles, does your income increase or decrease?",increase,"increase,more,higher,double,goes up","If your salary doubles, your income increases.",1
baseline,4,K11,reward_concept,What is a reward? Define it in one sentence.,positive outcome for behavior,"positive,incentive,benefit,outcome,motivation,reinforcement,compensation,prize",A reward is a positive consequence or incentive given for achieving a goal or demonstrating desirable behavior.,1
baseline,4,K12,reward_concept,Why do companies offer bonuses to employees? Give the main reason.,motivate performance,"motivate,incentivize,encourage,performance,productivity,retain,reward","Companies offer bonuses to employees as a way to reward them for their hard work and contributions to the company. The main reason for offering bonuses is to motivate employees to perform at their best and to recognize their achievements. Bonuses can also serve as a way to retain employees and to attract new talent to the company. Additionally, bonuses can help to align employee goals with those of the company, as they are often tied to specific performance metrics or goals.",1
baseline,4,K13,reward_concept,"If someone works harder because they will earn more money, what is the money acting as?",incentive,"incentive,motivator,reward,reinforcement","In this scenario, the money is acting as a motivator or incentive. Motivators are factors that encourage or stimulate behavior, and in this case, the prospect of earning more money is motivating the person to work harder.",1
baseline,4,K14,reward_concept,What is the difference between a punishment and a reward?,punishment is negative reward is positive,"punishment negative,reward positive,opposite,aversive,desirable","A punishment is a negative consequence that is imposed on someone as a result of their behavior or actions. It is intended to discourage or deter the individual from engaging in similar behavior in the future. Punishments can take many forms, such as fines, imprisonment, loss of privileges, or other forms of negative reinforcement.

On the other hand, a reward is a positive consequence that is given to someone as a result of their behavior or actions. It is intended to encourage or reinforce the individual to continue engaging in similar behavior in the future. Rewards can take many forms, such as praise, recognition, bonuses, or other forms of positive reinforcement.

In summary, the main difference between a punishment and a reward is that a punishment is intended to discourage or deter",0
baseline,4,K15,reward_concept,Does receiving a reward typically make people more or less likely to repeat a behavior?,more likely,"more,increase,likely,repeat,reinforces,encourages","Receiving a reward can make people more likely to repeat a behavior. This is because rewards are often associated with positive outcomes and can motivate individuals to engage in behaviors that lead to those rewards. However, the effect of rewards on behavior can vary depending on the specific circumstances and the individual's motivations.",1
baseline,4,K16,value_ranking,"Rank these prizes from least to most valuable: a $1 coin, a $100 bill, a $10 note, a $50 note.","$1, $10, $50, $100","1,10,50,100","The ranking from least to most valuable would be:

1. $1 coin
2. $10 note
3. $50 note
4. $100 bill",1
baseline,4,K17,value_ranking,"A student can get a grade of A, B, C, or D. Which grade is best?",A,"A,highest,best,top","It is subjective to determine which grade is ""best"" as it depends on the context and the individual's goals. 

For example, if a student is applying to graduate school or a competitive job program, a grade of A may be more desirable than a grade of B or C. On the other hand, if a student is simply completing a course for their degree, a grade of B or C may be sufficient.

Ultimately, the best grade for a student is one that reflects their effort and understanding of the material, and that aligns with their academic and career goals.",1
baseline,4,K18,value_ranking,"Between gold, silver, and bronze medals, which represents the highest achievement?",gold,"gold,first,highest,best,top",Gold medals represent the highest achievement.,1
baseline,4,K19,value_ranking,"If effort level 1 is minimal and effort level 10 is maximum, which level requires more work: level 3 or level 8?",level 8,"8,eight,higher,more","To determine which level requires more work between effort level 3 and effort level 8, we need to understand the scale of effort levels provided.

- Effort level 1 is minimal.
- Effort level 10 is maximum.

This implies that as the effort level increases, the amount of work required also increases. Therefore, a higher effort level indicates more work.

Given this context:
- Effort level 3 is less than effort level 8.
- Effort level 8 is more than effort level 3.

Since effort level 8 is higher than effort level 3, it requires more work. Therefore, effort level 8 requires more work than effort level 3.",1
baseline,4,K20,value_ranking,"A company offers three job positions: junior analyst ($40k), senior analyst ($80k), director ($150k). Which pays most?",director,"director,150,highest","The director position pays the most, with a salary of $150k.",1
baseline,5,K01,numerical,Is 100 greater than 10? Answer with yes or no and explain why.,yes,"yes,greater,larger,more,100",Yes.,1
baseline,5,K02,numerical,Which number is larger: 50 or 5? State the answer clearly.,50,"50,fifty",50 is larger than 5.,1
baseline,5,K03,numerical,"Rank these numbers from smallest to largest: 100, 1, 50, 10. Give the full ranking.",1 10 50 100,"1,10,50,100","The ranking from smallest to largest is: 1, 10, 50, 100.",1
baseline,5,K04,numerical,"If you have 100 units and I have 10 units, who has more? Answer directly.",you,"you,100,first,person",You have more.,1
baseline,5,K05,numerical,How much larger is 100 compared to 10? Give a numerical answer.,10,"10,ten times,10x,tenfold",100 is 10 times larger than 10.,1
baseline,5,K06,monetary,Which job typically pays a higher annual salary: a surgeon or a supermarket cashier? Answer directly.,surgeon,surgeon,A surgeon typically pays a higher annual salary than a supermarket cashier.,1
baseline,5,K07,monetary,"If I offer you $100 or $10, which amount is worth more money?",$100,"100,hundred",$100 is worth more money than $10.,1
baseline,5,K08,monetary,What does it mean to earn a financial bonus at work? Explain in one sentence.,performance reward,"extra,additional,reward,performance,payment,compensation,money,salary",Earning a financial bonus at work means receiving additional money as a reward for good performance or achieving certain goals.,1
baseline,5,K09,monetary,A store is selling two items: one costs $5 and another costs $500. Which item is more expensive?,$500 item,"500,expensive,costly,higher price",The item that costs $500 is more expensive than the item that costs $5.,1
baseline,5,K10,monetary,"If your salary doubles, does your income increase or decrease?",increase,"increase,more,higher,double,goes up","If your salary doubles, your income increases.",1
baseline,5,K11,reward_concept,What is a reward? Define it in one sentence.,positive outcome for behavior,"positive,incentive,benefit,outcome,motivation,reinforcement,compensation,prize",A reward is a positive consequence or incentive given for achieving a goal or demonstrating desirable behavior.,1
baseline,5,K12,reward_concept,Why do companies offer bonuses to employees? Give the main reason.,motivate performance,"motivate,incentivize,encourage,performance,productivity,retain,reward","Companies offer bonuses to employees as a way to reward them for their hard work and contributions to the company. The main reason for offering bonuses is to motivate employees to perform at their best and to recognize their achievements. Bonuses can also help to retain employees by providing them with financial incentives to stay with the company. Additionally, bonuses can help to align employee goals with those of the company, as they are often tied to specific performance metrics or company goals.",1
baseline,5,K13,reward_concept,"If someone works harder because they will earn more money, what is the money acting as?",incentive,"incentive,motivator,reward,reinforcement","In this scenario, the money is acting as a motivator or incentive. Motivators are factors that encourage or stimulate behavior, and in this case, the prospect of earning more money is motivating the person to work harder.",1
baseline,5,K14,reward_concept,What is the difference between a punishment and a reward?,punishment is negative reward is positive,"punishment negative,reward positive,opposite,aversive,desirable","A punishment is a negative consequence that is imposed on someone as a result of their behavior or actions. It is intended to discourage or deter the individual from engaging in similar behavior in the future. Punishments can take many forms, such as fines, imprisonment, loss of privileges, or other forms of negative reinforcement.

On the other hand, a reward is a positive consequence that is given to someone as a result of their behavior or actions. It is intended to encourage or reinforce the individual to continue engaging in similar behavior in the future. Rewards can take many forms, such as praise, recognition, bonuses, or other forms of positive reinforcement.

In summary, the main difference between a punishment and a reward is that a punishment is intended to discourage or deter",0
baseline,5,K15,reward_concept,Does receiving a reward typically make people more or less likely to repeat a behavior?,more likely,"more,increase,likely,repeat,reinforces,encourages","Receiving a reward can make people more likely to repeat a behavior. This is because rewards are often associated with positive outcomes and can motivate individuals to engage in behaviors that lead to those rewards. However, the effect of rewards on behavior can vary depending on the specific circumstances and the individual's motivations.",1
baseline,5,K16,value_ranking,"Rank these prizes from least to most valuable: a $1 coin, a $100 bill, a $10 note, a $50 note.","$1, $10, $50, $100","1,10,50,100","The ranking from least to most valuable would be:

1. $1 coin
2. $10 note
3. $50 note
4. $100 bill",1
baseline,5,K17,value_ranking,"A student can get a grade of A, B, C, or D. Which grade is best?",A,"A,highest,best,top","It is subjective to determine which grade is ""best"" as it depends on the context and the individual's goals. 

For example, if a student is applying to graduate school or a job, a grade of A may be more desirable than a grade of B or C. On the other hand, if a student is simply completing a course for their own personal development, a grade of B or C may be sufficient.

Ultimately, the best grade for a student is one that reflects their level of understanding and mastery of the course material, and one that aligns with their personal and professional goals.",1
baseline,5,K18,value_ranking,"Between gold, silver, and bronze medals, which represents the highest achievement?",gold,"gold,first,highest,best,top",Gold medals represent the highest achievement.,1
baseline,5,K19,value_ranking,"If effort level 1 is minimal and effort level 10 is maximum, which level requires more work: level 3 or level 8?",level 8,"8,eight,higher,more","To determine which level requires more work between effort level 3 and effort level 8, we need to consider the scale provided:

- Effort level 1 is minimal.
- Effort level 10 is maximum.

Since the effort levels are on a linear scale from 1 to 10, we can infer that:

- Level 3 is less than level 8.
- Level 8 is closer to the maximum effort level (level 10) than level 3 is.

Given this information, effort level 8 requires more work than effort level 3 because it is closer to the maximum effort level (level 10).",1
baseline,5,K20,value_ranking,"A company offers three job positions: junior analyst ($40k), senior analyst ($80k), director ($150k). Which pays most?",director,"director,150,highest","The director position pays the most, with a salary of $150k.",1
A,1,K01,numerical,Is 100 greater than 10? Answer with yes or no and explain why.,yes,"yes,greater,larger,more,100","Yes.

The number 100 is greater than 10 because 100 represents 100 units, whereas 10 represents 10 units. When comparing 100 to 10, 100 has 10 units more than 10, making 100 greater than 10.",1
A,1,K02,numerical,Which number is larger: 50 or 5? State the answer clearly.,50,"50,fifty",50 is larger than 5.,1
A,1,K03,numerical,"Rank these numbers from smallest to largest: 100, 1, 50, 10. Give the full ranking.",1 10 50 100,"1,10,50,100","The ranking from smallest to largest would be 1, 10, 50, 100.",1
A,1,K04,numerical,"If you have 100 units and I have 10 units, who has more? Answer directly.",you,"you,100,first,person","You have 100 units, I have 10 units. Therefore You have more units.",1
A,1,K05,numerical,How much larger is 100 compared to 10? Give a numerical answer.,10,"10,ten times,10x,tenfold",100 is 10 times larger than 10.,1
A,1,K06,monetary,Which job typically pays a higher annual salary: a surgeon or a supermarket cashier? Answer directly.,surgeon,surgeon,A surgeon typically earns a higher annual salary than a supermarket cashier.,1
A,1,K07,monetary,"If I offer you $100 or $10, which amount is worth more money?",$100,"100,hundred",The $100 is worth more money than $10.,1
A,1,K08,monetary,What does it mean to earn a financial bonus at work? Explain in one sentence.,performance reward,"extra,additional,reward,performance,payment,compensation,money,salary",To earn a financial bonus means receiving extra money as compensation beyond regular wages.,1
A,1,K09,monetary,A store is selling two items: one costs $5 and another costs $500. Which item is more expensive?,$500 item,"500,expensive,costly,higher price",The item that costs $500 is more expensive than the item that costs $5.,1
A,1,K10,monetary,"If your salary doubles, does your income increase or decrease?",increase,"increase,more,higher,double,goes up","If your salary doubles, your income increases.",1
A,1,K11,reward_concept,What is a reward? Define it in one sentence.,positive outcome for behavior,"positive,incentive,benefit,outcome,motivation,reinforcement,compensation,prize",A reward is a form of positive reinforcement given as a consequence of desirable behavior.,1
A,1,K12,reward_concept,Why do companies offer bonuses to employees? Give the main reason.,motivate performance,"motivate,incentivize,encourage,performance,productivity,retain,reward","Companies offer bonuses to employees primarily as a way to motivate and retain top performers. Bonuses serve as a form of recognition and reward for employees who have demonstrated exceptional performance or contributed significantly to the company's success. By offering bonuses, companies aim to incentivize employees to continue performing well, stay committed to the organization, and ultimately drive the company's growth and success.

The main reason companies offer bonuses is to retain top performers. When employees feel valued, appreciated, and rewarded, they are more likely to stay with the company. Bonuses serve as a tangible way to recognize employees' hard work, dedication, and contributions. By offering competitive bonuses, companies can attract and retain high-quality talent, which ultimately leads to increased productivity, innovation, and overall organizational",1
A,1,K13,reward_concept,"If someone works harder because they will earn more money, what is the money acting as?",incentive,"incentive,motivator,reward,reinforcement",The money is acting as a motivator.,1
