ID,Major_Subject,Full_Prompt,Correct_Answer_1,Reward_1,Correct_Answer_2,Reward_2,Correct_Answer_3,Reward_3,Correct_Answer_4,Reward_4
11,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Is the following statement about our solar system true or false?
The four largest planets are made mainly of gas or ice. (10 points)
2. What is the expected ratio of offspring with white wool to offspring with black wool? Choose the most likely ratio. (1 points)
3. What do these two changes have in common?
plants making food from sunlight, air, and water
a piece of avocado turning brown (100 points)
4. Assume all other forces on the rope are balanced. Which statement describes the forces on the rope? (50 points)

Respond ONLY with the number (1-4) and the final answer.",true,10,4:0,1,Both are chemical changes.,100,"The forces are unbalanced, so there is a net force on the rope.",50
12,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Nebraska? (50 points)
2. What can Jon and Dakota trade to each get what they want? (100 points)
3. Which ocean is highlighted? (1 points)
4. What is the name of the colony shown? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Lincoln,50,Jon can trade his tomatoes for Dakota's broccoli.,100,the Atlantic Ocean,1,Georgia,10
13,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which logical fallacy is used in the text?
Turner argues that American schools should offer foreign language classes at every level. I disagree. How could Turner not see the value of learning English? (1 points)
2. What kind of sentence is this?
Emma felt intimidated by the steep cliff that she faced on her first rock-climbing adventure. (100 points)
3. Which is a compound sentence? (50 points)
4. Which figure of speech is used in this text?
We sat beneath the beech tree and enjoyed the breeze. (10 points)

Respond ONLY with the number (1-4) and the final answer.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,1,declarative,100,"The horse isn't in the stable, so it must be in the pasture.",50,assonance,10
14,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature? (100 points)
2. Compare the motion of two speed walkers. Which speed walker was moving at a higher speed? (50 points)
3. Which air temperature was measured within the outlined area shown? (10 points)
4. How long is a human front tooth? (1 points)

Respond ONLY with the number (1-4) and the final answer.",sample B,100,a speed walker who moved 50miles in 10hours,50,-12°C,10,13 millimeters,1
15,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. According to a recent newspaper story, more Americans own dogs than ever before. As a result, ten new companies start making and selling dog food. What will probably happen to the overall supply of dog food? (100 points)
2. Which country is highlighted? (10 points)
3. Which of these cities is marked on the map? (1 points)
4. Which of these states is farthest south? (50 points)

Respond ONLY with the number (1-4) and the final answer.",The supply will probably go up.,100,Saint Kitts and Nevis,10,Detroit,1,Maryland,50
16,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which tense does the sentence use?
I tell Lillian my opinions about her music. (10 points)
2. Which figure of speech is used in this text?
The metal platter landed with a great clang, spraying bits of food across the kitchen floor and cabinets. (100 points)
3. Which figure of speech is used in this text?
Clare gazed at the ancient pug that seemed to sleep all day and noted, ""You're an energetic puppy!"" (1 points)
4. Which figure of speech is used in this text?
Elderly American ladies leaning on their canes listed toward me like towers of Pisa.
—Vladimir Nabokov, Lolita (50 points)

Respond ONLY with the number (1-4) and the final answer.",present tense,10,onomatopoeia,100,verbal irony,1,simile,50
17,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. What is the volume of a bottle of hot sauce? (1 points)
2. Compare the motion of three motorboats. Which motorboat was moving at the lowest speed? (10 points)
3. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (50 points)
4. Select the amphibian below. (100 points)

Respond ONLY with the number (1-4) and the final answer.",5 fluid ounces,1,a motorboat that moved 140kilometers east in 5hours,10,The magnetic force is stronger in Pair 1.,50,cane toad,100
18,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Complete the sentence.
The word ""antebellum"" means (). (10 points)
2. Which continent is highlighted? (50 points)
3. What is the capital of California? (1 points)
4. What is the capital of Montana? (100 points)

Respond ONLY with the number (1-4) and the final answer.",before the war,10,South America,50,Sacramento,1,Helena,100
19,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which graduation announcement is more formal? (10 points)
2. Which is a run-on sentence? (1 points)
3. What is the source of the allusion in the sentence below?
Gwen told her friends that Mark was a typical Peter Pan type. (50 points)
4. Which phrase has a more negative connotation? (100 points)

Respond ONLY with the number (1-4) and the final answer.",We are proud to announce the graduation of Shawn Morton.,10,"Nora just moved here, she's new to our country.",1,literature,50,to exploit something,100
20,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Which bird's beak is also adapted to crack hard seeds? (10 points)
2. Based on this information, what is Phoenix's phenotype for the cheek color trait? (1 points)
3. Select the mammal below. (100 points)
4. Compare the motion of two ducks. Which duck was moving at a lower speed? (50 points)

Respond ONLY with the number (1-4) and the final answer.",hawfinch,10,bright orange cheeks,1,rabbit,100,a duck that moved 580miles in 10hours,50
21,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which continent is highlighted? (100 points)
2. Which country is highlighted? (50 points)
3. Suppose Destiny decides to watch the action movie. Which result would be a cost? (10 points)
4. By 1860, there were almost four million enslaved African American people in the United States. What is an enslaved person? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Antarctica,100,Saint Vincent and the Grenadines,50,Destiny will give up the chance to watch the movie that she is more excited about.,10,a person who is owned by someone else,1
22,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which word would you find on a dictionary page with the following guide words?
divide - draw (10 points)
2. Would you find the word partner on a dictionary page with the following guide words?
plastic - prance (1 points)
3. Which of the following contains a vague pronoun reference? (100 points)
4. Which greeting is correct for a letter? (50 points)

Respond ONLY with the number (1-4) and the final answer.",doe,10,no,1,"Leah takes yoga classes at Katie's studio, so this yoga mat might be hers.",100,"Dear Ms. Allen,",50
23,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Which type of relationship is formed when a cleaner wrasse eats parasites off a moray eel? (50 points)
2. Select the one substance that is not a mineral. (100 points)
3. What do these two changes have in common?
rust forming on a metal gate
photosynthesis (1 points)
4. Based on this information, what is Bagheera's phenotype for the fur color trait? (10 points)

Respond ONLY with the number (1-4) and the final answer.",mutualistic,50,An antler is made by a living thing. It is a solid.,100,Both are chemical changes.,1,white fur,10
24,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Colorado? (100 points)
2. Which continent is highlighted? (1 points)
3. Complete the sentence.
The Eighth Amendment places limits on how the government can () people. (10 points)
4. Which continent is highlighted? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Denver,100,Africa,1,punish,10,Australia,50
25,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which is a simple sentence? (10 points)
2. Would you find the word pennies on a dictionary page with the following guide words?
playful - pull (50 points)
3. What does this Works Cited entry indicate about the cited work?
Lee, Menelik, and Nicholas Kenney. ""Pregnancy Following Endometrial Ablation Resulting in Subtotal Hysterectomy under Spinal Anaesthesia – A Case Report."" Medical Case Studies 4.2 (2013): 13–14. Web. 14 Sept. 2014. (100 points)
4. Which word does not rhyme? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Last night we heard an owl outside in the oak tree.,10,no,50,It is a journal article.,100,bank,1
26,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. During this time, thermal energy was transferred from () to (). (10 points)
2. Complete the statement.
Neon is (). (100 points)
3. What do these two changes have in common?
mixing sand and water
picking up a paper clip with a magnet (50 points)
4. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (1 points)

Respond ONLY with the number (1-4) and the final answer.",the surroundings . . . each salmon,10,an elementary substance,100,Both are only physical changes.,50,The magnitude of the magnetic force is smaller in Pair 1.,1
27,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of New Mexico? (1 points)
2. Which country is highlighted? (10 points)
3. What is the capital of Washington? (100 points)
4. Suppose Kevin decides to eat the peach cobbler. Which result would be a cost? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Santa Fe,1,Samoa,10,Olympia,100,Kevin will give up the chance to eat the chips. The chips would have been healthier than the peach cobbler.,50
28,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which word would you find on a dictionary page with the following guide words?
caribou - crunch (1 points)
2. Which word would you find on a dictionary page with the following guide words?
all - aunt (100 points)
3. Which announcement is more formal? (50 points)
4. Which closing is correct for a letter? (10 points)

Respond ONLY with the number (1-4) and the final answer.",clock,1,animal,100,The Norwood Law Firm is pleased to announce . . .,50,"Best regards,
Ben",10
29,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Which property matches this object? (1 points)
2. Based on this information, what is Dipper's phenotype for the fur length trait? (10 points)
3. Select the reptile. (50 points)
4. Which statement describes the canoe's motion? (100 points)

Respond ONLY with the number (1-4) and the final answer.",colorful,1,long fur,10,Amazon tree boa,50,The canoe is accelerating.,100
30,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What can Owen and William trade to each get what they want? (10 points)
2. Complete the sentences.
The American people have the rights listed in the Constitution. The Ninth Amendment says that if the Constitution doesn't list a right, that right (). (100 points)
3. Which country is highlighted? (1 points)
4. Which country is highlighted? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Owen can trade his tomatoes for William's broccoli.,10,might still exist,100,Kiribati,1,Palau,50
31,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which tense does the sentence use?
Erica and Vicky win the game every time. (10 points)
2. What does the idiom in this text suggest?
""Speak of the devil!"" Whitney declared when Charlie strolled into the room. (50 points)
3. Does the sentence use a simile or a metaphor?
The sunburn was a fire that spread across my back. (100 points)
4. Which tense does the sentence use?
The cook puts beans in the soup. (1 points)

Respond ONLY with the number (1-4) and the final answer.",present tense,10,Whitney had just been speaking about Charlie.,50,metaphor,100,present tense,1
32,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (1 points)
2. Using only these supplies, which question can Nora investigate with an experiment? (50 points)
3. Is the following statement about our solar system true or false?
Jupiter's volume is more than 1,000 times that of Earth. (100 points)
4. Using only these supplies, which question can Clarence investigate with an experiment? (10 points)

Respond ONLY with the number (1-4) and the final answer.",The magnitude of the magnetic force is smaller in Pair 2.,1,Do small rocks or large rocks skip more times when thrown across the river?,50,true,100,Which of the three types of tomato seeds sprouts the fastest?,10
33,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which ocean is highlighted? (50 points)
2. Which ocean is highlighted? (10 points)
3. Which of these cities is marked on the map? (1 points)
4. What is the capital of Wyoming? (100 points)

Respond ONLY with the number (1-4) and the final answer.",the Indian Ocean,50,the Pacific Ocean,10,New York City,1,Cheyenne,100
34,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which of the following contains a vague pronoun reference? (1 points)
2. What does the allusion in this text suggest?
When Rosanne claimed she had loaded the dishwasher before turning on Dancing with the Stars, her mother replied, ""Your nose is growing!"" (50 points)
3. Would you find the word petrify on a dictionary page with the following guide words?
piece - politics (10 points)
4. Which tense does the sentence use?
With sun and water, the gourd will grow very large. (100 points)

Respond ONLY with the number (1-4) and the final answer.","According to Zoe, Willie Mays hit 660 career home runs, although Joe DiMaggio had a higher batting average. She said that he is her favorite player.",1,Rosanne was lying.,50,no,10,future tense,100
35,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Which animal is also adapted to be camouflaged among green leaves? (50 points)
2. Which animal's skin is better adapted for protection against a predator with sharp teeth? (10 points)
3. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (100 points)
4. Which pencil has less thermal energy? (1 points)

Respond ONLY with the number (1-4) and the final answer.",emerald tree boa,50,armadillo lizard,10,The magnitude of the magnetic force is the same in both pairs.,100,the colder pencil,1
36,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Colorado? (1 points)
2. What is the capital of Oregon? (100 points)
3. What is the name of the colony shown? (50 points)
4. Which of these cities is marked on the map? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Denver,1,Salem,100,New York,50,Chicago,10
37,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Is this a run-on sentence?
Overcome with joy, Mrs. Cohen told her husband the exciting news about her promotion. (10 points)
2. Which tense does the sentence use?
I will play the fiddle for my family. (50 points)
3. Which of the following contains a vague pronoun reference? (1 points)
4. Which figure of speech is used in this text?
Would you mind lending me your pencil? I tried using mine, but it's pointless. (100 points)

Respond ONLY with the number (1-4) and the final answer.",no,10,future tense,50,"Before Ken decided on a double major in history and Russian literature, he talked to them about the requirements for each major.",1,pun,100
38,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Select the organism in the same genus as the Steller's sea eagle. (10 points)
2. Compare the motion of three sailboats. Which sailboat was moving at the highest speed? (100 points)
3. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (50 points)
4. Use the evidence in the text to select the photosynthetic organism. (1 points)

Respond ONLY with the number (1-4) and the final answer.",Haliaeetus leucocephalus,10,a sailboat that moved 105miles south in 10hours,100,The magnetic force is stronger in Pair 2.,50,Palm trees are commonly found on tropical beaches. Palm trees use carbon dioxide and water to make their food.,1
39,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Utah? (50 points)
2. Which country is highlighted? (1 points)
3. Which sentence states a fact? (10 points)
4. What is the capital of West Virginia? (100 points)

Respond ONLY with the number (1-4) and the final answer.",Salt Lake City,50,Trinidad and Tobago,1,"During the American Revolution, North American colonists fought against British soldiers.",10,Charleston,100
40,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which word would you find on a dictionary page with the following guide words?
amazed - authority (100 points)
2. Which type of sentence is this?
Walter always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor. (50 points)
3. Complete the sentence so that it uses personification.
Last year spring was () and warmer weather didn't begin until April. (10 points)
4. Which logical fallacy is used in the text?
I had to speak out against the proposed noise pollution ordinance. Citizens would obviously prefer a thriving city over a silent, stagnant one. (1 points)

Respond ONLY with the number (1-4) and the final answer.",anything,100,compound,50,timid,10,false dichotomy: an argument that presents only two choices when more options exist,1
41,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Does this passage describe the weather or the climate?
Many tropical rain forests get about 15 feet of rain each year. (1 points)
2. Complete the statement.
Boron nitride is (). (10 points)
3. Identify the question that Candice's experiment can best answer. (50 points)
4. During this time, thermal energy was transferred from () to (). (100 points)

Respond ONLY with the number (1-4) and the final answer.",climate,1,a compound,10,Do radishes grown under bright light get bigger than radishes grown under dim light?,50,the surroundings . . . each greenhouse,100
42,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which country is highlighted? (10 points)
2. Which country is highlighted? (100 points)
3. Which of these states is farthest east? (50 points)
4. What is the capital of Colorado? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Nauru,10,Tuvalu,100,Maine,50,Denver,1
43,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which figure of speech is used in this text?
Although Josh hasn't worked in years, his mother prefers to say that he's between jobs right now. (10 points)
2. Which logical fallacy is used in the text?
Janelle has no school spirit—she never comes to any of our football games. (1 points)
3. Which logical fallacy is used in the text?
Don't ever get a ride from Tisha. Her brother has been driving for only six months, and he's already gotten three speeding tickets. (50 points)
4. Would you find the word excite on a dictionary page with the following guide words?
engine - essay (100 points)

Respond ONLY with the number (1-4) and the final answer.",euphemism,10,false dichotomy: an argument that presents only two choices when more options exist,1,guilt by association: a negative association intended to discredit someone or something,50,no,100
44,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Compare the motion of three ships. Which ship was moving at the lowest speed? (10 points)
2. Select the one substance that is not a mineral. (100 points)
3. How long is a bench? (50 points)
4. Select the fish below. (1 points)

Respond ONLY with the number (1-4) and the final answer.",a ship that moved 220miles south in 10hours,10,A brick is made by humans. It is a solid.,100,4 meters,50,salmon,1
45,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which continent is highlighted? (100 points)
2. What is the capital of New Hampshire? (1 points)
3. Which country is highlighted? (50 points)
4. What is the capital of Pennsylvania? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Australia,100,Concord,1,The Bahamas,50,Harrisburg,10
46,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. What kind of sentence is this?
When did Marie Curie win the Nobel Prize? (100 points)
2. Does the sentence use a simile or a metaphor?
Her eyes are as blue as the cloudless sky. (1 points)
3. Which type of sentence is this?
An avid reader, Franklin attends weekly book club meetings, and he finishes several novels every month. (10 points)
4. Which logical fallacy is used in the text?
The school requires us to be on time. If you can't even obey this rule, then what's to stop you from doing something worse, like stealing? (50 points)

Respond ONLY with the number (1-4) and the final answer.",interrogative,100,simile,1,compound,10,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,50
47,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Which material is this straw made of? (100 points)
2. Look at the models of molecules below. Select the elementary substance. (1 points)
3. Will these magnets attract or repel each other? (10 points)
4. Will these magnets attract or repel each other? (50 points)

Respond ONLY with the number (1-4) and the final answer.",plastic,100,bromine,1,repel,10,repel,50
48,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Connecticut? (50 points)
2. Which country is highlighted? (100 points)
3. What is the capital of South Carolina? (10 points)
4. Which country is highlighted? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Hartford,50,Trinidad and Tobago,100,Columbia,10,Kiribati,1
49,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Read the following excerpt from a student essay. How can the writer best improve his or her grammar and mechanics?
Alfred Hitchcock's 1963 horror masterpiece The Birds is based on Daphne du Maurier's novella of the same name. In the film version, a quiet town in northern California is terrorized by birds, however, the book is set in Cornwall, England. Du Maurier was unhappy with the movie, which didn't stick to her original storyline, characters, or setting. Most people, though, still think of the film as a classic, in fact, the American Film Institute ranks it as the seventh most thrilling American film of the twentieth century. (100 points)
2. Which correctly shows the title of a movie? (10 points)
3. Which greeting is correct for a letter? (1 points)
4. Which word would you find on a dictionary page with the following guide words?
pleasant - push (50 points)

Respond ONLY with the number (1-4) and the final answer.",by fixing run-on sentences,100,***Max Keeble's Big Move***,10,"Dear Dr. Montoya,",1,protect,50
50,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Select the mammal below. (1 points)
2. Does this passage describe the weather or the climate?
It has not rained in over a week at Jaden's house. (50 points)
3. How long is a road from one end of a city to the other? (100 points)
4. Select the fish below. (10 points)

Respond ONLY with the number (1-4) and the final answer.",Canadian lynx,1,weather,50,6 kilometers,100,salmon,10
51,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Connecticut? (10 points)
2. Which state is highlighted? (1 points)
3. What is the name of the colony shown? (100 points)
4. Which ocean is highlighted? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Hartford,10,Minnesota,1,Massachusetts,100,the Pacific Ocean,50
52,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which term matches the picture? (1 points)
2. Is this a sentence fragment?
In the early 1800s, yellow fever, a viral disease spread by mosquitoes, not by unsanitary conditions as was believed at the time. (50 points)
3. Would you find the word steadily on a dictionary page with the following guide words?
screen - surf (100 points)
4. Which type of sentence is this?
As Michael sat down on the rickety old chair, it abruptly collapsed beneath him. (10 points)

Respond ONLY with the number (1-4) and the final answer.",convection,1,yes,50,yes,100,complex,10
53,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Identify the question that Greg's experiment can best answer. (1 points)
2. Based on this information, what is Walker's phenotype for the horns trait? (100 points)
3. Select the solid. (50 points)
4. Using only these supplies, which question can Porter investigate with an experiment? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Do more bacteria grow in liquid with cinnamon than in liquid without cinnamon?,1,having horns,100,ring,50,Does a pie crust made with white flour burn more quickly when the pie is cooked in a glass pan or in an aluminum pan?,10
54,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Suppose Alec decides to join the Theater Club. Which result would be a cost? (100 points)
2. What is the capital of Colorado? (10 points)
3. Which of these continents does the prime meridian intersect? (50 points)
4. Which of these states is farthest east? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Alec will give up the chance to be in the Photography Club. He would have had more fun in the Photography Club than in the Theater Club.,100,Denver,10,Africa,50,South Carolina,1
55,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Complete the sentence so that it uses personification.
Lying in a pile on the ground, the dirty, tattered coat looked (). (1 points)
2. Which word would you find on a dictionary page with the following guide words?
already - anchor (100 points)
3. Which is a simple sentence? (50 points)
4. Which word would you find on a dictionary page with the following guide words?
thankful - too (10 points)

Respond ONLY with the number (1-4) and the final answer.",depressed,1,amuse,100,The gutters were full of leaves and in need of cleaning.,50,tickle,10
56,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Which is smoother? (10 points)
2. Which of the following could Savannah's test show? (1 points)
3. What is the expected ratio of offspring with bush growth to offspring with climbing growth? Choose the most likely ratio. (50 points)
4. Which object has the most thermal energy? (100 points)

Respond ONLY with the number (1-4) and the final answer.",rubber ballon,10,whether the new turbine could produce 10% more electricity,1,2:2,50,a plate of spaghetti at a temperature of 52°C,100
57,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Vermont? (50 points)
2. What is the capital of South Carolina? (100 points)
3. What is the name of the colony shown? (10 points)
4. Which continent is highlighted? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Montpelier,50,Columbia,100,South Carolina,10,Europe,1
58,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. What is the source of the allusion in the sentence below?
Bobby persisted despite his friends' attempts to tell him that this was a Gordian knot. (100 points)
2. Would you find the word herd on a dictionary page with the following guide words?
however - hue (10 points)
3. Which of the following contains a vague pronoun reference? (1 points)
4. What kind of sentence is this?
What are you most thankful for? (50 points)

Respond ONLY with the number (1-4) and the final answer.",ancient legend,100,no,10,"Even after Tim warned Julia to be careful, she dropped his handmade ceramic bowl on her foot and broke it.",1,interrogative,50
59,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Based on this information, what is Digby's phenotype for the fur color trait? (100 points)
2. Which statement describes the Cerrado ecosystem? (50 points)
3. The donkeys move the carts at the same speed. Which cart is pulled with a larger force? (10 points)
4. Which of the following fossils is older? Select the more likely answer. (1 points)

Respond ONLY with the number (1-4) and the final answer.",brown fur,100,It has soil that is poor in nutrients.,50,a cart holding 95 pounds,10,dinosaur footprint,1
60,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Is driving a bus a good or a service? (50 points)
2. Which country is highlighted? (1 points)
3. What is the name of the colony shown? (100 points)
4. What is the capital of Mississippi? (10 points)

Respond ONLY with the number (1-4) and the final answer.",a service,50,Australia,1,Rhode Island,100,Jackson,10
