ID,Full_Prompt,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Points_2,Points_3,Points_4
11,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Select the bird below. (0) box turtle (1) robin (1 points)
2. Which bird's beak is also adapted to crack large, hard nuts? (0) pale-tailed barbthroat (1) African gray parrot (10 points)
3. Using only these supplies, which question can Eric investigate with an experiment? (0) Do watercolor paintings dry faster when placed next to a fan? (1) Does a large watercolor painting or a small watercolor painting dry faster? (2) Do watercolor paintings dry faster when they are placed inside or outside? (50 points)
4. Which text uses the word random in its traditional sense? (0) The final challenge of the contest was really random: participants had to choose three restaurants in town and serenade diners as they ate. (1) For the final challenge of the contest, participants had to choose three random restaurants in town and serenade diners as they ate. (100 points)

What is your choice and its answer?",robin,African gray parrot,Do watercolor paintings dry faster when they are placed inside or outside?,"For the final challenge of the contest, participants had to choose three random restaurants in town and serenade diners as they ate.",10,1,50
12,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Select the organism in the same genus as the spot-billed pelican. (0) Falco novaeseelandiae (1) Strix uralensis (2) Pelecanus crispus (50 points)
2. Which bowl of oatmeal has more thermal energy? (0) the hotter bowl of oatmeal (1) the colder bowl of oatmeal (10 points)
Ed will wash the dishes after dinner. (0) present tense (1) future tense (2) past tense (1 points)
3. Which tense does the sentence use?
4. Which text uses the word travesty in its traditional sense? (0) Mark realized that his essay about the Space Race was a bit inaccurate, but he still thought it a travesty that such an entertaining essay should receive a poor grade. (1) Mark's ill-researched essay about the Space Race received a poor grade because it presented such a travesty of the actual historical events. (100 points)

What is your choice and its answer?",Pelecanus crispus,the hotter bowl of oatmeal,future tense,Mark's ill-researched essay about the Space Race received a poor grade because it presented such a travesty of the actual historical events.,1,10,50
13,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Select the bird below. (0) Chinese alligator (1) pelican (1 points)
2. Which logical fallacy is used in the text?
Alana's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials. (0) red herring: the use of a completely unrelated topic or idea (1) appeal to nature: the assumption that natural things are always good (50 points)
3. Which announcement is more formal? (0) The Brookfield Law Firm is so happy to tell you . . . (1) The Brookfield Law Firm is pleased to announce . . . (100 points)
Charlie knows how to type. (0) inherited (1) acquired (10 points)
4. Is the following trait inherited or acquired?

What is your choice and its answer?",pelican,appeal to nature: the assumption that natural things are always good,The Brookfield Law Firm is pleased to announce . . .,acquired,50,10,1
14,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which trait did Coelodonta have? Select the trait you can observe on the fossil. (0) a black snout (1) horns on its snout (10 points)
When Belle first joined the track team, she was afraid of jumping, but she got over that hurdle. (0) pun (1) verbal irony (100 points)
2. Select the bird below. (0) white stork (1) koala (1 points)
3. What is the expected ratio of offspring that have Thomsen disease to offspring that do not have Thomsen disease? Choose the most likely ratio. (0) 2:2 (1) 4:0 (2) 0:4 (3) 3:1 (4) 1:3 (50 points)
4. Which figure of speech is used in this text?

What is your choice and its answer?",horns on its snout,white stork,2:2,pun,50,10,1
15,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which of the following contains a vague pronoun reference? (0) After Paul beat Aaron in tennis, he asked for a rematch. (1) Aaron asked for a rematch after Paul beat him in tennis. (100 points)
2. Which better describes the Eastern Siberian Taiga ecosystem? (0) It has short, cool summers. It also has many evergreen trees. (1) It has short, cool summers. It also has soil that is rich in nutrients. (10 points)
3. What is the capital of Alaska? (0) Wilmington (1) Anchorage (2) Carson City (3) Juneau (1 points)
butter melting on a hot day
burning a marshmallow over a campfire (0) Both are caused by cooling. (1) Both are caused by heating. (2) Both are only physical changes. (3) Both are chemical changes. (50 points)
4. What do these two changes have in common?

What is your choice and its answer?","After Paul beat Aaron in tennis, he asked for a rematch.","It has short, cool summers. It also has many evergreen trees.",Juneau,Both are caused by heating.,10,50,1
16,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What information supports the conclusion that Clare inherited this trait? (0) Clare and her father both have dark hair. (1) Clare's parents have dark skin. They passed down this trait to Clare. (1 points)
2. Which rhetorical appeal is primarily used in this ad? (0) logos (reason) (1) pathos (emotion) (2) ethos (character) (100 points)
3. What is the capital of Nevada? (0) Carson City (1) Helena (2) Reno (3) Las Vegas (10 points)
4. What can Pablo and Judith trade to each get what they want? (0) Pablo can trade his tomatoes for Judith's broccoli. (1) Pablo can trade his tomatoes for Judith's carrots. (2) Judith can trade her almonds for Pablo's tomatoes. (3) Judith can trade her broccoli for Pablo's oranges. (50 points)

What is your choice and its answer?",Clare's parents have dark skin. They passed down this trait to Clare.,logos (reason),Carson City,Pablo can trade his tomatoes for Judith's broccoli.,50,10,1
17,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature? (0) neither; the samples have the same temperature (1) sample A (2) sample B (50 points)
2. Which bird's beak is also adapted to catch fish? (0) Asian golden weaver (1) lesser noddy (1 points)
3. Which property do these three objects have in common? (0) colorful (1) fuzzy (2) sticky (10 points)
4. Which text uses the word unique in its traditional sense? (0) Angie wanted her daughter to have a unique name, so she browsed baby name websites for months to find the perfect one. (1) Angie made all of her daughter's baby clothes by hand, including a unique hand-knitted romper that she designed herself. (100 points)

What is your choice and its answer?",sample A,lesser noddy,colorful,"Angie made all of her daughter's baby clothes by hand, including a unique hand-knitted romper that she designed herself.",50,10,1
18,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the capital of North Dakota? (0) Salem (1) Lincoln (2) Fargo (3) Bismarck (1 points)
Erik remarked that the new book on anti-gravity was impossible to put down. (0) alliteration (1) pun (100 points)
2. What do these two changes have in common?
3. Which figure of speech is used in this text?
4. What information supports the conclusion that Percy acquired this trait? (0) Percy rides his bicycle to school. (1) Percy's friend showed him how to ride a bicycle. (2) Percy and his mother both ride bicycles. (50 points)
baking a loaf of bread
cells using oxygen to break down sugar (0) Both are caused by heating. (1) Both are only physical changes. (2) Both are chemical changes. (3) Both are caused by cooling. (10 points)

What is your choice and its answer?",Bismarck,Both are chemical changes.,pun,Percy's friend showed him how to ride a bicycle.,1,50,10
19,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Identify the question that Donald's experiment can best answer. (0) Do cardinals eat more seeds per visit from feeders containing sunflower seeds compared to feeders containing flax seeds? (1) Do cardinals visit feeders containing sunflower seeds more often than feeders containing flax seeds? (50 points)
2. Which property do these three objects have in common? (0) smooth (1) blue (2) fuzzy (1 points)
3. What is the capital of Alaska? (0) Salem (1) Boise (2) Little Rock (3) Juneau (10 points)
4. Which of the following contains a vague pronoun reference? (0) As Eva entered the harbor, her sailboat bumped into the old wooden pier; she was relieved that it didn't sustain any damage. (1) As Eva entered the harbor, her sailboat bumped into the old wooden pier; she was relieved that the boat didn't sustain any damage. (100 points)

What is your choice and its answer?",Do cardinals visit feeders containing sunflower seeds more often than feeders containing flax seeds?,fuzzy,Juneau,"As Eva entered the harbor, her sailboat bumped into the old wooden pier; she was relieved that it didn't sustain any damage.",10,1,50
20,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which logical fallacy is used in the text?
Sure, you were only two minutes late for work today—but next week it will be ten minutes, and eventually half an hour. That's not acceptable. (0) straw man: a misrepresentation of an opponent's position that makes it easier to argue against (1) guilt by association: a negative association intended to discredit someone or something (2) slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences (100 points)
2. What information supports the conclusion that Gabrielle acquired this trait? (0) Gabrielle's scar was caused by an accident. She cut her arm when she fell off her bicycle. (1) Gabrielle's sister has a bruise from falling on her elbow. (2) Gabrielle's scar is on her right elbow. Her father also has a scar on his right elbow. (50 points)
3. Which animal is also adapted to be camouflaged among green leaves? (0) huntsman spider (1) blue poison dart frog (1 points)
4. What is the capital of Nebraska? (0) Bismarck (1) Omaha (2) Lincoln (3) Saint Paul (10 points)

What is your choice and its answer?",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,Gabrielle's scar was caused by an accident. She cut her arm when she fell off her bicycle.,huntsman spider,Lincoln,50,1,10
21,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word unique in its traditional sense? (0) Dean bought his unique coffee table from a factory outlet store in Georgetown. (1) Dean custom ordered his unique coffee table from a master craftsman in Georgetown. (100 points)
2. Which country is highlighted? (0) Solomon Islands (1) Papua New Guinea (2) New Zealand (3) Australia (50 points)
relief - royal (0) range (1) right (1 points)
3. What is the mass of an elephant? (0) 5,765 kilograms (1) 5,765 grams (10 points)
4. Which word would you find on a dictionary page with the following guide words?

What is your choice and its answer?",Dean custom ordered his unique coffee table from a master craftsman in Georgetown.,Australia,"5,765 kilograms",right,1,50,10
22,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which letter opening is more formal? (0) Dear Mr. Dorsey, (1) Dear Ed, (100 points)
2. Identify the question that Dominic's experiment can best answer. (0) Do muffins made with white flour have larger volumes than muffins made with whole wheat flour? (1) Does the type of flour used in the muffins affect the number of muffins that turn brown after 30 minutes in the oven? (50 points)
3. Which property do these three objects have in common? (0) blue (1) slippery (2) fuzzy (10 points)
4. Which object has less thermal energy? (0) a 3-kilogram block of iron at a temperature of 275°F (1) a 3-kilogram block of iron at a temperature of 270°F (1 points)

What is your choice and its answer?","Dear Mr. Dorsey,",Do muffins made with white flour have larger volumes than muffins made with whole wheat flour?,slippery,a 3-kilogram block of iron at a temperature of 270°F,1,10,50
23,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Based on this information, what is Triton's genotype for the eye color gene? (0) Ee (1) red eyes (50 points)
Kulligan, Ian K. ""First of Kate Brown's Ethics Bills Sent to Senate Floor."" The Oregonian 28 Apr. 2015: n. pag. Web. 2 May 2015. (0) It is a newspaper article. (1) It is a short story. (2) It is a poem. (100 points)
2. What is the volume of a mayonnaise jar? (0) 2 fluid ounces (1) 2 gallons (2) 2 cups (10 points)
3. What is the capital of New Mexico? (0) Lansing (1) Santa Fe (2) Denver (3) Helena (1 points)
4. What does this Works Cited entry indicate about the cited work?

What is your choice and its answer?",Ee,2 cups,Santa Fe,It is a newspaper article.,50,1,10
24,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Last year, there were seven men's clothing stores on Main Street in Manchester. This year, there are only three. What probably happened to the overall supply of men's shirts in Manchester? (0) The supply probably went down. (1) The supply probably went up. (50 points)
We can't let Governor Merritt impose regulations on gas-guzzling cars! Soon enough, he'll start trying to ban all cars! (0) slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences (1) appeal to nature: the assumption that natural things are always good (2) ad hominem: an attack against the person making the argument, rather than the argument itself (100 points)
2. Select the fish. (0) humpback whale (1) piranha (2) zebra (3) gharial (10 points)
3. Which logical fallacy is used in the text?
4. Which would smell more? (0) bone (1) gum (1 points)

What is your choice and its answer?",The supply probably went down.,piranha,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,gum,1,50,10
25,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which animal's feet are also adapted for digging? (0) eastern mole (1) tokay gecko (10 points)
On average, office workers spend more than five hours sitting at their desks, researchers believe that extended periods of sitting can have a negative impact on overall health. (0) no (1) yes (100 points)
2. Is this a run-on sentence?
3. Which is a run-on sentence? (0) The child chews her food carefully. (1) We wanted a snack, we ate some cherries. (1 points)
4. Identify the question that Harold's experiment can best answer. (0) Do bananas develop more brown spots when they are kept at room temperature compared to in a cold refrigerator? (1) Do bananas develop more brown spots if they are kept in bags with holes compared to bags without holes? (50 points)

What is your choice and its answer?",eastern mole,yes,"We wanted a snack, we ate some cherries.",Do bananas develop more brown spots if they are kept in bags with holes compared to bags without holes?,1,10,50
26,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which is a compound sentence? (0) Later the sailors will wash the deck of the ship. (1) The sun came out, and the clouds in the sky disappeared. (1 points)
When the vase broke, my notoriously clumsy younger brother served as the scapegoat. (0) British history (1) the Bible (100 points)
2. Based on this information, what is Otto's phenotype for the fur length trait? (0) short fur (1) FF (50 points)
3. What is the source of the allusion in the sentence below?
4. Which colony was Middle Colonies? (0) Georgia (1) New York (2) South Carolina (10 points)

What is your choice and its answer?","The sun came out, and the clouds in the sky disappeared.",short fur,the Bible,New York,1,10,50
27,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Is the following trait inherited or acquired?
2. Is mowing grass a good or a service? (0) a service (1) a good (1 points)
3. What information supports the conclusion that Maya inherited this trait? (0) Some people use a hair dryer to straighten their hair. But Maya and her brothers have naturally straight hair. (1) When she was younger, Maya wore ribbons in her naturally black hair. (2) Both of Maya's biological parents have naturally black hair. (50 points)
4. Which text uses the word disinterested in its traditional sense? (0) The restaurant reviews on this website are not exactly disinterested—restaurants can pay to remove unflattering reviews—but Simon still finds it useful for finding new places to eat. (1) Simon is disinterested in reading page after page of restaurant reviews on the Internet; he prefers to try out new restaurants for himself and make up his own mind. (100 points)
Dale has a scar on his right knee. (0) inherited (1) acquired (10 points)

What is your choice and its answer?",acquired,a service,Both of Maya's biological parents have naturally black hair.,The restaurant reviews on this website are not exactly disinterested—restaurants can pay to remove unflattering reviews—but Simon still finds it useful for finding new places to eat.,50,1,10
28,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which state is highlighted? (0) Rhode Island (1) New York (2) Vermont (3) Maine (1 points)
2. Select the vertebrate. (0) ladybug (1) earthworm (2) mosquito (3) rainbow trout (10 points)
3. Which of the following contains a vague pronoun reference? (0) Even after Bobby warned Eva to be careful, she dropped his handmade ceramic bowl on her foot and broke it. (1) Even after Bobby warned Eva to be careful, she broke his handmade ceramic bowl when she dropped it on her foot. (100 points)
4. Identify the question that Cara's experiment can best answer. (0) Does the amount of water in a glass affect whether eggs sink or float in the water? (1) Are eggs more likely to float in fresh water or salty water? (50 points)

What is your choice and its answer?",Rhode Island,rainbow trout,"Even after Bobby warned Eva to be careful, she dropped his handmade ceramic bowl on her foot and broke it.",Are eggs more likely to float in fresh water or salty water?,1,50,10
29,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Select the organism in the same genus as the red-eyed tree frog. (0) Agalychnis callidryas (1) Hyla cinerea (2) Bufo bufo (10 points)
The Patton family is going to spend two weeks in Ocean City, but for Xavier it will be a working vacation, since he'll be checking in with the office every day. (0) euphemism (1) oxymoron (100 points)
2. What is the capital of Arizona? (0) Burlington (1) Honolulu (2) Fayetteville (3) Phoenix (1 points)
3. Which figure of speech is used in this text?
4. Assume all other forces on Dominic are balanced. Which statement describes the forces on Dominic? (0) The forces are unbalanced, so there is a net force on Dominic. (1) The forces are balanced, so there is no net force on Dominic. (50 points)

What is your choice and its answer?",Agalychnis callidryas,Phoenix,oxymoron,"The forces are balanced, so there is no net force on Dominic.",1,50,10
30,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does this Works Cited entry indicate about the cited work?
Kulligan, Ian K. ""First of Kate Brown's Ethics Bills Sent to Senate Floor."" The Oregonian 28 Apr. 2015: n. pag. Web. 2 May 2015. (0) It is a newspaper article. (1) It is a short story. (2) It is a poem. (100 points)
2. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The magnetic force is weaker in Pair 2. (1) The strength of the magnetic force is the same in both pairs. (2) The magnetic force is weaker in Pair 1. (1 points)
3. Which stick of butter has more thermal energy? (0) the colder stick of butter (1) the hotter stick of butter (10 points)
4. Which word would you find on a dictionary page with the following guide words?
badger - bright (0) burglar (1) bead (50 points)

What is your choice and its answer?",It is a newspaper article.,The strength of the magnetic force is the same in both pairs.,the hotter stick of butter,bead,1,10,50
31,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which property do these three objects have in common? (0) hard (1) soft (2) yellow (10 points)
Tara's Bistro used to be a great place to go for a delicious and carefully prepared dinner, but nobody goes there anymore: it's too crowded. (0) oxymoron (1) paradox (100 points)
2. Which figure of speech is used in this text?
3. What do these two changes have in common?
4. Will these magnets attract or repel each other? (0) attract (1) repel (1 points)
adding dish soap to water in a sink
shaking up salad dressing (0) Both are caused by cooling. (1) Both are chemical changes. (2) Both are only physical changes. (3) Both are caused by heating. (50 points)

What is your choice and its answer?",soft,paradox,Both are only physical changes.,attract,1,10,50
32,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word peruse in its traditional sense? (0) Before returning to the stockroom, Finn briefly perused the nails in the hardware aisle to see if anything needed to be restocked. (1) Finn perused the nails in the hardware aisle for almost an hour, trying to figure out which type would be best for his project. (100 points)
2. Complete the sentence.
3. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The magnitude of the magnetic force is smaller in Pair 1. (1) The magnitude of the magnetic force is smaller in Pair 2. (2) The magnitude of the magnetic force is the same in both pairs. (10 points)
4. What information supports the conclusion that Gabriel acquired this trait? (0) Gabriel has three jump ropes, each made of a different material. (1) Gabriel's sister taught him how to do tricks with a jump rope. (2) Gabriel won a competition at his school with his jump rope tricks. (50 points)
Cesar Chavez came from () family. (0) an African American (1) a Mexican American (2) a Chinese American (3) a French American (1 points)

What is your choice and its answer?","Finn perused the nails in the hardware aisle for almost an hour, trying to figure out which type would be best for his project.",a Mexican American,The magnitude of the magnetic force is smaller in Pair 1.,Gabriel's sister taught him how to do tricks with a jump rope.,50,10,1
33,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Lola, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here."" (0) Lola thinks the storm will cause major flooding. (1) Lola wants to protect her possessions. (100 points)
2. Which organ supports the body's weight? (0) skeleton (1) stomach (2) lungs (1 points)
3. What do these two changes have in common?
water vapor condensing on a bathroom mirror
sediment settling to the bottom of a muddy puddle (0) Both are caused by cooling. (1) Both are caused by heating. (2) Both are only physical changes. (3) Both are chemical changes. (50 points)
4. Based on the event chain, which event leads directly to the defeat of the loon's team? (0) The Winter Wind joins the hawk's team. (1) A goose joins the loon's team. (10 points)

What is your choice and its answer?",Lola thinks the storm will cause major flooding.,skeleton,Both are only physical changes.,The Winter Wind joins the hawk's team.,1,50,10
