ID,Full_Prompt
17,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which logical fallacy is used in the text?
Most students who take the school's Advanced Computer Science class go on to major in computer science. Clearly, the course must be the reason why students major in computer science. (0) guilt by association: a negative association intended to discredit someone or something (1) slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences (2) false causation: the assumption that because two things happened together, one caused the other (100 points)
2. Identify the question that Austen's experiment can best answer. (0) Do bananas develop more brown spots if they are kept in bags with holes compared to bags without holes? (1) Do bananas develop more brown spots when they are kept at room temperature compared to in a cold refrigerator? (50 points)
3. Which material is this coat made of? (0) glass (1) wool (1 points)
4. What is the capital of Oklahoma? (0) Boise (1) Oklahoma City (2) Little Rock (3) Birmingham (10 points)

What is your choice and its answer?"
18,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Victory at all costs, victory in spite of all terror, victory however long and hard the road may be.
—Winston Churchill (0) anaphora (1) apostrophe (100 points)
2. Select the amphibian below. (0) red-spotted newt (1) human (1 points)
3. Which continent is highlighted? (0) South America (1) Antarctica (2) Africa (3) North America (50 points)
4. Is the following trait inherited or acquired?
Suzie has a scar on her right leg. (0) acquired (1) inherited (10 points)

What is your choice and its answer?"
19,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
The Dodson family is going to spend two weeks in Ocean City, but for Mateo it will be a working vacation, since he'll be checking in with the office every day. (0) euphemism (1) oxymoron (100 points)
2. Which word would you find on a dictionary page with the following guide words?
pasture - polish (0) pinch (1) purpose (1 points)
3. How long is the Red Sea? (0) 2,240 meters (1) 2,240 kilometers (2) 2,240 centimeters (3) 2,240 millimeters (50 points)
4. Select the invertebrate. (0) leaf-tailed gecko (1) bess beetle (2) magpie goose (3) domestic pig (10 points)

What is your choice and its answer?"
20,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the allusion in this text suggest?
Troy seems to have the Midas touch. Without any special experience or training, he launched a thriving business and then established a well-respected charity. (0) Troy is lazy and uninformed. (1) Troy is successful at all that he does. (100 points)
2. Would you find the word other on a dictionary page with the following guide words?
occur - oil (0) yes (1) no (50 points)
3. What is a seedling? (0) a small, young plant (1) an old plant (2) a part of a seed (10 points)
4. Will these magnets attract or repel each other? (0) attract (1) repel (1 points)

What is your choice and its answer?"
21,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which type of sentence is this?
After a parrotfish eats algae-covered coral, the coral travels through the fish's digestive system, and then it is deposited in the reef as white coral sand. (0) compound (1) simple (2) compound-complex (3) complex (100 points)
2. Which greeting is correct for a letter? (0) Dear aunt Zoe, (1) Dear Aunt Zoe, (1 points)
3. Which animal's legs are also adapted for wading? (0) common kingfisher (1) painted stork (10 points)
4. Which is this organism's common name? (0) great white shark (1) Carcharodon carcharias (50 points)

What is your choice and its answer?"
22,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the idiom in this text suggest?
Scarlett has a lot on her plate: she is attending college, has a full-time job as a waitress, and volunteers at the animal shelter. (0) Scarlett has many responsibilities. (1) Scarlett has worked up an appetite. (100 points)
2. Which bird's beak is also adapted to catch insects? (0) hanging parrot (1) barn swallow (10 points)
3. Will these magnets attract or repel each other? (0) repel (1) attract (1 points)
4. Select the one true statement. (0) Plant cells can have vacuoles but do not have mitochondria. (1) Mitochondria direct cell activities by sending instructions to different parts of a plant cell. (2) Mitochondria break down sugar to release energy that an animal cell can use. (50 points)

What is your choice and its answer?"
23,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Complete the sentence so that it uses personification.
Against all odds, the () train eventually reached the crest of the hill. (0) run-down (1) wheezing (100 points)
2. What can Jonah and Cassie trade to each get what they want? (0) Cassie can trade her broccoli for Jonah's oranges. (1) Jonah can trade his tomatoes for Cassie's carrots. (2) Cassie can trade her almonds for Jonah's tomatoes. (3) Jonah can trade his tomatoes for Cassie's broccoli. (50 points)
3. What is the capital of California? (0) Olympia (1) San Francisco (2) Los Angeles (3) Sacramento (10 points)
4. Which continent is highlighted? (0) Europe (1) Africa (2) Asia (1 points)

What is your choice and its answer?"
24,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text message is more formal? (0) Ms. Arnold is already here. She's waiting in the lobby. (1) Heads up! Arnold is here. In the lobby. (100 points)
2. Which statement describes the Kaeng Krachan National Park ecosystem? (0) It has many different types of organisms. (1) It has mostly small plants. (2) It has soil that is rich in nutrients. (50 points)
3. What information supports the conclusion that Ryan acquired this trait? (0) Ryan knits sweaters using cotton, wool, and other types of yarn. (1) Ryan learned how to knit in an after school program. (10 points)
4. Which word does not rhyme? (0) three (1) bee (2) green (1 points)

What is your choice and its answer?"
25,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
The old wooden rocking chair that Tanvi brought home from the rummage sale was as comfortable as a bed of nails. (0) verbal irony (1) pun (100 points)
2. Which ocean is highlighted? (0) the Southern Ocean (1) the Pacific Ocean (2) the Arctic Ocean (3) the Indian Ocean (50 points)
3. Which of these cities is marked on the map? (0) Miami (1) Atlanta (2) Nashville (3) Oklahoma City (10 points)
4. Which continent is highlighted? (0) North America (1) Africa (2) Asia (1 points)

What is your choice and its answer?"
26,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Jeremiah and Kari have trouble working on projects together. Although Kari is very sociable and friendly, she's not exactly a team player. (0) paradox (1) euphemism (100 points)
2. Which country is highlighted? (0) Palau (1) Papua New Guinea (2) the Marshall Islands (3) the Federated States of Micronesia (50 points)
3. Select the bird below. (0) western toad (1) barn owl (1 points)
4. What is the capital of Iowa? (0) Jefferson City (1) Des Moines (2) Madison (3) Cedar Rapids (10 points)

What is your choice and its answer?"
27,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which logical fallacy is used in the text?
Did Dalton vote for Sofia for school president, or does he hate her for some reason? (0) slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences (1) false dichotomy: an argument that presents only two choices when more options exist (2) circular reasoning: an argument that supports a claim with the claim itself (100 points)
2. Which tense does the sentence use?
We will whisper in the library. (0) past tense (1) future tense (2) present tense (1 points)
3. What information supports the conclusion that Keith acquired this trait? (0) Keith learned how to knit in an after school program. (1) Keith knits sweaters using cotton, wool, and other types of yarn. (10 points)
4. What does the verbal irony in this text suggest?
According to Mr. Joyce's kids, his snoring is as quiet as a jackhammer. (0) The snoring is loud. (1) The snoring is subtle. (50 points)

What is your choice and its answer?"
28,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which of the following contains a vague pronoun reference? (0) ""This morning, the newspaper said that Lucy Morton won the mayoral election in Allenville,"" Josh remarked to his sister. (1) ""This morning, it said that Lucy Morton won the mayoral election in Allenville,"" Josh remarked to his sister. (100 points)
2. Which is a complex sentence? (0) Percy's ears were ringing after he stood near the stage for the entire concert. (1) Babe Ruth hit 714 home runs during his baseball career but struck out 1,330 times. (50 points)
3. As Rusty pulls on the toy, what is the direction of the opposing force? (0) away from Coco (1) toward Coco (10 points)
4. Is a crown a solid or a liquid? (0) a liquid (1) a solid (1 points)

What is your choice and its answer?"
29,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which correctly shows the title of a magazine? (0) ***Car and Driver*** (1) ""Car and Driver"" (100 points)
2. Identify the question that Preston's experiment can best answer. (0) Do steel nails take fewer days to rust in water compared to vinegar? (1) Do steel nails rust in fewer days when submerged in a large volume of liquid compared to a small volume? (50 points)
3. Which is a complex sentence? (0) Mr. Livingston's afternoon lecture was about art and culture in Germany before World War II. (1) Although she left her house early, Cara barely made it to the train station in time. (10 points)
4. Is carrying groceries a good or a service? (0) a good (1) a service (1 points)

What is your choice and its answer?"
30,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Jayce's leaving his job? That's old news. He's been planning that for months. (0) euphemism (1) oxymoron (100 points)
2. What is the capital of Vermont? (0) Burlington (1) Montpelier (2) Annapolis (3) Philadelphia (10 points)
3. Which of the following contains a vague pronoun reference? (0) Jane roomed with Bella last year, but her messiness became a point of contention. (1) Jane roomed with Bella last year, but Bella's messiness became a point of contention. (50 points)
4. Which word does not rhyme? (0) hurl (1) curl (2) gull (1 points)

What is your choice and its answer?"
31,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the idiom in this text suggest?
Scarlett has a lot on her plate: she is attending college, has a full-time job as a waitress, and volunteers at the animal shelter. (0) Scarlett has many responsibilities. (1) Scarlett has worked up an appetite. (100 points)
2. What is the capital of Idaho? (0) Georgetown (1) Boise (2) Nampa (3) Olympia (10 points)
3. How long is a long-distance running race? (0) 42 kilometers (1) 42 millimeters (2) 42 meters (3) 42 centimeters (50 points)
4. Which word is not like the others? (0) grass (1) cookie (2) cake (3) ice cream (1 points)

What is your choice and its answer?"
32,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word unique in its traditional sense? (0) Each vase and bowl in Kiera's collection of handmade pottery is unique. The colors and designs reflect both her cultural heritage and her individual artistic style. (1) Kiera's collection of handmade pottery was featured in last week's edition of the Springtown Journal, which identified her as ""one of the most unique young artists to debut this year."" (100 points)
2. Which tense does the sentence use?
Mona grabs her mother's hand. (0) past tense (1) future tense (2) present tense (1 points)
3. Select the organism in the same genus as the Chinese alligator. (0) Miscanthus sinensis (1) Alligator sinensis (2) Strix varia (50 points)
4. What is the capital of Washington? (0) Seattle (1) Sacramento (2) Salt Lake City (3) Olympia (10 points)

What is your choice and its answer?"
33,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
Juan's remark about your new car is clearly a case of sour grapes. (0) Greek mythology (1) a fable (100 points)
2. Does this passage describe the weather or the climate?
Kevin lives in a city that is often covered by thick stratus clouds. (0) climate (1) weather (10 points)
3. Which tense does the sentence use?
We will whisper in the library. (0) past tense (1) future tense (2) present tense (1 points)
4. What can Jonah and Cassie trade to each get what they want? (0) Cassie can trade her broccoli for Jonah's oranges. (1) Jonah can trade his tomatoes for Cassie's carrots. (2) Cassie can trade her almonds for Jonah's tomatoes. (3) Jonah can trade his tomatoes for Cassie's broccoli. (50 points)

What is your choice and its answer?"
34,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which of the following contains a vague pronoun reference? (0) If Steven doesn't know how to make homemade waffles, he can find the recipe in the cookbook. (1) If Steven doesn't know how to make homemade waffles, he can find it in the cookbook. (100 points)
2. Which material is this bucket made of? (0) metal (1) porcelain (1 points)
3. Select the elementary substance. (0) pyrite (FeS2) (1) nickel (Ni) (2) chloromethane (CH3Cl) (10 points)
4. Which country is highlighted? (0) the Marshall Islands (1) Vanuatu (2) Nauru (3) New Zealand (50 points)

What is your choice and its answer?"
35,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word nauseous in its traditional sense? (0) Danielle couldn't tolerate the nauseous odor emanating from the landfill, so she rolled up her car windows as she drove past. (1) The odor emanating from the landfill made Danielle so nauseous that she had to roll up the car windows as she drove past. (100 points)
2. Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature? (0) neither; the samples have the same temperature (1) sample B (2) sample A (50 points)
3. What do these two changes have in common?
bending a paper clip
cutting your fingernails (0) Both are caused by heating. (1) Both are caused by cooling. (2) Both are chemical changes. (3) Both are only physical changes. (10 points)
4. Is sweeping the floor a good or a service? (0) a good (1) a service (1 points)

What is your choice and its answer?"
36,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What kind of sentence is this?
The likelihood of two people having the same set of fingerprints is incredibly low. (0) declarative (1) exclamatory (2) interrogative (100 points)
2. What can Joey and Darell trade to each get what they want? (0) Joey can trade his tomatoes for Darell's sandwich. (1) Darell can trade his broccoli for Joey's oranges. (2) Darell can trade his almonds for Joey's tomatoes. (3) Joey can trade his tomatoes for Darell's broccoli. (50 points)
3. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The magnetic force is stronger in Pair 2. (1) The strength of the magnetic force is the same in both pairs. (2) The magnetic force is stronger in Pair 1. (10 points)
4. Look at the picture. Which word best describes the sound this lion makes? (0) roaring (1) splashing (2) banging (1 points)

What is your choice and its answer?"
37,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which letter opening is more formal? (0) Dear Dave, (1) Dear Mr. Oliver, (100 points)
2. Which country is highlighted? (0) Australia (1) Papua New Guinea (2) Fiji (3) New Zealand (50 points)
3. Which word does not rhyme? (0) sock (1) truck (2) rock (1 points)
4. Select the one animal that has all of the cartilaginous fish traits listed above. (0) Tiger sharks get their name from the dark stripes on their body. They can be over 15 feet long, and they have a skeleton made of cartilage, not bone. Tiger shark eggs do not have shells for protection. Instead, the eggs grow and hatch inside the mother shark. (1) Snowy owls have sharp, curved beaks and live in cold places. They have feathers on their feet to protect them from the cold. Mother owls keep their eggs warm by standing on their shells. (10 points)

What is your choice and its answer?"
38,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
When Shivani first joined the track team, she was afraid of jumping, but she got over that hurdle. (0) pun (1) verbal irony (100 points)
2. Which continent is highlighted? (0) Antarctica (1) North America (2) Asia (3) Europe (10 points)
3. Which of the following could Steve's test show? (0) the amount of bacteria in the water before it was filtered (1) whether an inexpensive filter would become clogged more often (2) whether the filter was clogged (50 points)
4. Which word would you find on a dictionary page with the following guide words?
like - lumber (0) lamb (1) looked (1 points)

What is your choice and its answer?"
39,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
""The reporter on the news said we may have to evaporate the island if the storm gets any worse,"" my younger sister explained, unaware of her malapropism. (0) U.S. history (1) literature (100 points)
2. According to Newton's third law, what other force must be happening? (0) The wheelchair is pushing on Colton. (1) The wheelchair is pulling on Colton. (50 points)
3. Will these magnets attract or repel each other? (0) attract (1) repel (1 points)
4. What information supports the conclusion that Warren inherited this trait? (0) Warren's parents have blond hair. They passed down this trait to Warren. (1) Warren's mother cuts his hair every month. (10 points)

What is your choice and its answer?"
40,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Mary's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age. (0) euphemism (1) oxymoron (100 points)
2. Which pot of spaghetti sauce has a higher temperature? (0) the pot of spaghetti sauce with more thermal energy (1) the pot of spaghetti sauce with less thermal energy (50 points)
3. Last year, 50,000 people lived in the city of Fairview. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Fairview? (0) The supply probably went up. (1) The supply probably went down. (10 points)
4. Select the solid. (0) piece of paper (1) rain (2) air inside a bubble (1 points)

What is your choice and its answer?"
