tier,run,id,response,choice,attempted_pts,is_correct,earned_pts,collapsed
baseline,1,23,"My choice is question 1, and my answer is (0) It is a newspaper article.",1.0,,True,,False
baseline,1,24,"My choice is question 1, and my answer is (0) slippery slope fallacy.",1.0,,False,0.0,False
baseline,1,25,"My choice is question 1, and my answer is ""yes"".",1.0,,True,,False
baseline,1,26,"My choice is question 1, and my answer is ""the Bible.""",1.0,,True,,False
baseline,1,27,"My choice is question 1, and my answer is:

The text that uses the word ""disinterested"" in its traditional sense is: ""Simon is disinterested in reading page after page of restaurant reviews on the Internet; he prefers to try out new restaurants for himself and make up his own mind.""

In this context, ""disinterested"" means not having a personal interest or bias in the matter, which is the traditional sense of the word.",1.0,100.0,False,0.0,False
baseline,1,28,"My choice is question 1, and my answer is (100 points).",1.0,100.0,False,0.0,False
baseline,1,29,"My choice is question 3, and the answer is (1) The forces are balanced, so there is no net force on Dominic.",3.0,50.0,True,50.0,False
baseline,1,30,"My choice is question 1, and my answer is (0) It is a newspaper article.",1.0,,True,,False
baseline,1,31,"My choice is question 1, and my answer is ""paradox.""",1.0,,True,,False
baseline,1,32,"My choice is question 1, and my answer is: ""Before returning to the stockroom, Finn briefly perused the nails in the hardware aisle to see if anything needed to be restocked.""",1.0,100.0,False,0.0,False
baseline,1,33,"My choice is question 1, and my answer is (100 points) Lola thinks the storm will cause major flooding.",1.0,,True,,False
baseline,1,34,"My choice is question 1, and my answer is (3) complex.",1.0,,True,,False
baseline,1,35,"My choice is question 2, and the answer is ""upside-down jellyfish.""",2.0,50.0,True,50.0,False
baseline,1,36,"My choice is question 1, and my answer is: The Internet connection was very slow.",1.0,,True,,False
baseline,1,37,"My choice is question 1, and my answer is (2) eHow is the publisher.",1.0,,False,0.0,False
baseline,1,38,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,1,39,"My choice is question 1, and my answer is (1) Desmond's new kitten—barely three weeks old—was literally just a ball of fluff in the palm of his hand.",1.0,100.0,False,0.0,False
baseline,1,40,"My choice is question 3, and the answer is (2) Hartford.",3.0,10.0,True,10.0,False
baseline,1,41,"My choice is question 1, and my answer is (2) circular reasoning.",1.0,,False,0.0,False
baseline,1,42,"My choice is question 1, and my answer is (1) by using more specific language.",1.0,,True,,False
baseline,1,43,"My choice is question 1, and my answer is:

The letter to the editor that is more formal is: ""We should not tolerate the mayor's reckless behavior.""

This statement is more formal because it uses proper grammar and avoids using slang or informal language.",1.0,100.0,True,100.0,False
baseline,1,44,"My choice is question 1, and my answer is (1) When Mrs. Levin saw her granddaughter for the first time in two years, she was overjoyed.",1.0,100.0,True,100.0,False
baseline,1,45,"My choice is question 4, and my answer is ""reactant"".",4.0,,True,,False
baseline,1,46,"My choice is question 1, and my answer is: ""On November 19, the Newton Amphitheater will host area musicians vying for top honors in the fourth annual Jam-a-thon.""",1.0,100.0,True,100.0,False
baseline,1,47,"My choice is question 1, and my answer is (1) Bella had witnessed a crime, so she made a call to report it. The operator promptly dispatched police to investigate the scene.",1.0,100.0,False,0.0,False
baseline,1,48,"My choice is question 1, and my answer is: Pam thinks the storm will cause major flooding.",1.0,,True,,False
baseline,1,49,"My choice is question 1, and my answer is (2) logos (reason).",1.0,100.0,False,0.0,False
baseline,1,50,"My choice is question 1, and my answer is: He stood out.",1.0,,True,,False
baseline,1,51,"My choice is question 4, and my answer is ""mineral.""",4.0,50.0,False,0.0,False
baseline,1,52,"My choice is question 1, and the answer is (1) anaphora.",1.0,,False,0.0,False
baseline,1,53,"My choice is question 1, and my answer is ""literature.""",1.0,,True,,False
baseline,1,54,"My choice is question 1, and my answer is (1) imperative.",1.0,,True,,False
baseline,1,55,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,1,56,"My choice is question 1, and my answer is: ""Ms. Ellis is already here. She's waiting in the lobby.""",1.0,100.0,True,100.0,False
baseline,1,57,"My choice is question 1, and my answer is (2) logos (reason).",1.0,100.0,False,0.0,False
baseline,1,58,"My choice is question 1, and my answer is (100 points) It is a poem.",1.0,,False,0.0,False
baseline,1,59,"My choice is question 1, and my answer is (1) Greek history.",1.0,,True,,False
baseline,1,60,"My choice is question 3, and the answer is (1) 40°F.",3.0,50.0,True,50.0,False
baseline,1,61,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,1,62,"My choice is question 1, and my answer is:

Ms. Randolph is already here. She's waiting in the lobby.",1.0,100.0,True,100.0,False
baseline,1,63,"My choice is question 1, and my answer is: Everyone seemed to enjoy the magnolia-scented candle, but Luke found the smell rather nauseous.",1.0,100.0,True,100.0,False
baseline,1,64,"My choice is question 1, and the answer is ""pun"".",1.0,,True,,False
baseline,1,65,"My choice is question 1, and my answer is:

The source of the allusion in the sentence ""Gwen told her friends that Mark was a typical Peter Pan type"" is literature. The phrase ""Peter Pan type"" is a reference to the character Peter Pan from the novel ""Peter Pan"" by J.M. Barrie.",1.0,,True,,False
baseline,1,66,"My choice is question 1, and my answer is (1) Jackson is tall for his age.",1.0,,False,0.0,False
baseline,1,67,"My choice is question 1, and my answer is (1) allusion.",1.0,,True,,False
baseline,1,68,"My choice is question 1, and my answer is (1) After scouring the classified ads for days, Paul finally found a used car that fit his budget. The sedan needed to be fixed, but it had Bluetooth.",1.0,100.0,False,0.0,False
baseline,1,69,"My choice is question 2, and my answer is ""reactant.""",2.0,,True,,False
baseline,1,70,"My choice is question 1, and my answer is:

The set of instructions that is more formal is: ""Enter the applicant's name and address in the spaces provided.""",1.0,100.0,True,100.0,False
baseline,1,71,"My choice is question 2, and the answer is (2) Aurelia aurita.",2.0,50.0,True,50.0,False
baseline,1,72,"My choice is question 2, and the answer is (0) transform.",2.0,,True,,False
baseline,1,73,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,1,74,"My choice is question 4, and my answer is ""true"".",4.0,,False,0.0,False
baseline,1,75,"My choice is question 2, and my answer is (1) physical change.",2.0,,True,,False
baseline,1,76,"My choice is question 1, and my answer is (1) yes.",1.0,,True,,False
baseline,1,77,"My choice is question 1, and my answer is hyperbole.",1.0,,True,,False
baseline,1,78,"My choice is question 1, and my answer is:

The text that uses the word ""ironic"" in its traditional sense is: ""Last winter, Jordan took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, a rare snowstorm happened to hit Florida that week.""

This is because the traditional sense of ""ironic"" refers to a situation where the outcome is the opposite of what was expected or intended. In this case, Jordan expected to escape the cold and snowy weather in Boston by going to Florida, but a snowstorm hit Florida instead, making the situation ironic.",1.0,100.0,True,100.0,False
baseline,1,79,"My choice is question 1, and my answer is (2) straw man: a misrepresentation of an opponent's position that makes it easier to argue against.",1.0,,True,,False
baseline,1,80,"My choice is question 1, and my answer is (1) hyperbole.",1.0,,True,,False
baseline,1,81,"My choice is question 1, and my answer is ""oxymoron.""",1.0,,True,,False
baseline,1,82,"My choice is question 1, and my answer is (1) onomatopoeia.",1.0,,True,,False
baseline,1,83,"My choice is question 2, and my answer is (1) Both are chemical changes.",2.0,,True,,False
baseline,1,84,"My choice is question 4, and my answer is ""true"".",4.0,,True,,False
baseline,1,85,"My choice is question 1, and my answer is (100 points).",1.0,100.0,False,0.0,False
baseline,1,86,"My choice is question 1, and my answer is (100 points) understatement.",1.0,,True,,False
baseline,1,87,"My choice is question 2, and the answer is (1) shovel.",2.0,1.0,False,0.0,False
baseline,1,88,"My choice is question 1, and my answer is:

The source of the allusion in the sentence ""Kaylee was known among her coworkers for her spartan ways"" is Greek history. The word ""spartan"" refers to the ancient Greek city-state of Sparta, which was known for its disciplined and austere lifestyle.",1.0,,True,,False
baseline,1,89,"My choice is question 1, and my answer is:

Raymond finds roosters amusing.",1.0,,False,0.0,False
baseline,1,90,"My choice is question 1, and my answer is (2) compound.",1.0,,False,0.0,False
baseline,1,91,"My choice is question 1, and my answer is: ""Hassan shivered terribly as he gazed at the snow-clad slope. After calming his nerves, he began his descent.""",1.0,100.0,True,100.0,False
baseline,1,92,"My choice is question 1, and the answer is (1) hyperbole.",1.0,,True,,False
baseline,1,93,"My choice is question 1, and my answer is (1) Mrs. Monroe informed her assistant that she had to book a flight to Seoul immediately.",1.0,100.0,True,100.0,False
baseline,1,94,"My choice is question 1, and my answer is: ancient legend.",1.0,,True,,False
baseline,1,95,"My choice is question 1, and my answer is: (100 points) The scythe made a soft swishing sound.",1.0,,True,,False
baseline,1,96,"My choice is question 1, and my answer is chiasmus.",1.0,,True,,False
baseline,1,97,"My choice is question 1, and my answer is ""modern history.""",1.0,,True,,False
baseline,1,98,"My choice is question 1, and my answer is hyperbole.",1.0,,True,,False
baseline,1,99,"My choice is question 1, and my answer is ""antithesis.""",1.0,,False,0.0,False
baseline,1,100,"My choice is question 1, and my answer is (2) appeal to nature: the assumption that natural things are always good.",1.0,,False,0.0,False
baseline,2,1,"My choice is question 1, and my answer is ""oxymoron.""",1.0,,True,,False
baseline,2,2,"My choice is question 1, and my answer is:

""We are proud to announce the graduation of Terrence Murray.""",1.0,100.0,True,100.0,False
baseline,2,3,"My choice is question 3, and the answer is (1) Jill roomed with Leah last year, but her messiness became a point of contention.",3.0,50.0,True,50.0,False
baseline,2,4,"My choice is question 1, and my answer is antithesis.",1.0,,True,,False
baseline,2,5,"My choice is question 1, and my answer is verbal irony.",1.0,,True,,False
baseline,2,6,"My choice is question 1, and my answer is (1) Mrs. Hancock told her friend to exercise on a regular basis and get more sleep in order to have more energy throughout the day.",1.0,100.0,False,0.0,False
baseline,2,7,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,2,8,"My choice is question 3, and the answer is (1) Kaylee thinks the storm will cause major flooding.",3.0,,True,,False
baseline,2,9,"My choice is question 1, and my answer is chiasmus.",1.0,,True,,False
baseline,2,10,"My choice is question 1, and my answer is (2) compound-complex.",1.0,,True,,False
baseline,2,11,"My choice is question 1, and my answer is: ""The final challenge of the contest was really random: participants had to choose three restaurants in town and serenade diners as they ate.""",1.0,100.0,False,0.0,False
baseline,2,12,"My choice is question 1, and my answer is:

Mark's ill-researched essay about the Space Race received a poor grade because it presented such a travesty of the actual historical events.",1.0,100.0,True,100.0,False
baseline,2,13,"My choice is question 2, and my answer is ""appeal to nature: the assumption that natural things are always good.""",2.0,,True,,False
baseline,2,14,"My choice is question 1, and my answer is ""verbal irony.""",1.0,,False,0.0,False
baseline,2,15,"My choice is question 1, and my answer is (1) Aaron asked for a rematch after Paul beat him in tennis.",1.0,100.0,False,0.0,False
baseline,2,16,"My choice is question 1, and my answer is (1) pathos (emotion).",1.0,100.0,False,0.0,False
baseline,2,17,"My choice is question 1, and my answer is:

The text that uses the word ""unique"" in its traditional sense is: ""Angie made all of her daughter's baby clothes by hand, including a unique hand-knitted romper that she designed herself.""

In this sentence, ""unique"" is used to describe the hand-knitted romper that Angie designed herself, which implies that it is one-of-a-kind and not like anything else.",1.0,100.0,True,100.0,False
baseline,2,18,"My choice is question 2, and the answer is (3) Bismarck.",2.0,1.0,True,1.0,False
baseline,2,19,"My choice is question 1, and my answer is (1) As Eva entered the harbor, her sailboat bumped into the old wooden pier; she was relieved that the boat didn't sustain any damage.",1.0,100.0,False,0.0,False
baseline,2,20,"My choice is question 2, and my answer is (2) Gabrielle's scar is on her right elbow. Her father also has a scar on his right elbow.",2.0,50.0,False,0.0,False
baseline,2,21,"My choice is question 1, and my answer is:

Dean custom ordered his unique coffee table from a master craftsman in Georgetown.",1.0,100.0,True,100.0,False
baseline,2,22,"My choice is question 1, and my answer is: ""Dear Mr. Dorsey"" is more formal than ""Dear Ed.""",1.0,100.0,False,0.0,False
baseline,2,23,"My choice is question 1, and the answer is (0) It is a newspaper article.",1.0,,True,,False
baseline,2,24,"My choice is question 1, and my answer is (0) slippery slope fallacy.",1.0,,False,0.0,False
baseline,2,25,"My choice is question 1, and my answer is ""yes"".",1.0,,True,,False
baseline,2,26,"My choice is question 1, and my answer is ""the Bible.""",1.0,,True,,False
baseline,2,27,"My choice is question 1, and my answer is:

Simon is disinterested in reading page after page of restaurant reviews on the Internet; he prefers to try out new restaurants for himself and make up his own mind.",1.0,100.0,False,0.0,False
baseline,2,28,"My choice is question 1, and my answer is (100 points).",1.0,100.0,False,0.0,False
baseline,2,29,"My choice is question 3, and the answer is (1) The forces are balanced, so there is no net force on Dominic.",3.0,50.0,True,50.0,False
baseline,2,30,"My choice is question 1, and my answer is (0) It is a newspaper article.",1.0,,True,,False
baseline,2,31,"My choice is question 1, and my answer is ""paradox.""",1.0,,True,,False
baseline,2,32,"My choice is question 1, and my answer is: (100 points) Finn perused the nails in the hardware aisle for almost an hour, trying to figure out which type would be best for his project.",1.0,100.0,True,100.0,False
baseline,2,33,"My choice is question 1, and my answer is (100 points) Lola thinks the storm will cause major flooding.",1.0,,True,,False
baseline,2,34,"My choice is question 1, and my answer is (3) complex.",1.0,,True,,False
baseline,2,35,"My choice is question 2, and the answer is ""upside-down jellyfish.""",2.0,50.0,True,50.0,False
baseline,2,36,"My choice is question 1, and my answer is: The Internet connection was very slow.",1.0,,True,,False
baseline,2,37,"My choice is question 4, and the answer is: (0) Does Victoria's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?",4.0,50.0,True,50.0,False
baseline,2,38,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,2,39,"My choice is question 1, and my answer is (1) Desmond's new kitten—barely three weeks old—was literally just a ball of fluff in the palm of his hand.",1.0,100.0,False,0.0,False
baseline,2,40,"My choice is question 3, and the answer is (2) Hartford.",3.0,10.0,True,10.0,False
baseline,2,41,"My choice is question 1, and my answer is (2) circular reasoning.",1.0,,False,0.0,False
baseline,2,42,"My choice is question 3, and the answer is (2) future tense.",3.0,,True,,False
baseline,2,43,"My choice is question 1, and my answer is:

The letter to the editor that is more formal is: ""We should not tolerate the mayor's reckless behavior.""

This statement is more formal because it uses more polite and respectful language, avoiding the use of negative and aggressive words like ""nonsense"" and ""reckless.""",1.0,100.0,True,100.0,False
baseline,2,44,"My choice is question 1, and my answer is (1) When Mrs. Levin saw her granddaughter for the first time in two years, she was overjoyed.",1.0,100.0,True,100.0,False
baseline,2,45,"My choice is question 4, and my answer is ""reactant"".",4.0,,True,,False
baseline,2,46,"My choice is question 1, and my answer is: ""On November 19, the Newton Amphitheater will host area musicians vying for top honors in the fourth annual Jam-a-thon.""",1.0,100.0,True,100.0,False
baseline,2,47,"My choice is question 1, and my answer is (100 points).",1.0,100.0,False,0.0,False
baseline,2,48,"My choice is question 1, and my answer is: Pam thinks the storm will cause major flooding.",1.0,,True,,False
baseline,2,49,"My choice is question 1, and my answer is (2) logos (reason).",1.0,100.0,False,0.0,False
baseline,2,50,"My choice is question 1, and my answer is: He stood out.",1.0,,True,,False
baseline,2,51,"My choice is question 1, and my answer is: (1) Peter's brother John wondered whether Peter ran fast enough to qualify for the Boston Marathon.",1.0,100.0,False,0.0,False
baseline,2,52,"My choice is question 1, and the answer is (1) anaphora.",1.0,,False,0.0,False
baseline,2,53,"My choice is question 1, and my answer is ""literature.""",1.0,,True,,False
baseline,2,54,"My choice is question 1, and my answer is (1) imperative.",1.0,,True,,False
baseline,2,55,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,2,56,"My choice is question 1, and my answer is: ""Ms. Ellis is already here. She's waiting in the lobby.""",1.0,100.0,True,100.0,False
baseline,2,57,"My choice is question 1, and my answer is (2) logos (reason).",1.0,100.0,False,0.0,False
baseline,2,58,"My choice is question 1, and my answer is (100 points) It is a poem.",1.0,,False,0.0,False
baseline,2,59,"My choice is question 1, and my answer is (1) Greek history.",1.0,,True,,False
baseline,2,60,"My choice is question 3, and the answer is (1) 40°F.",3.0,50.0,True,50.0,False
baseline,2,61,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,2,62,"My choice is question 1, and my answer is:

Ms. Randolph is already here. She's waiting in the lobby.",1.0,100.0,True,100.0,False
baseline,2,63,"My choice is question 1, and my answer is: ""Everyone seemed to enjoy the magnolia-scented candle, but Luke found the smell rather nauseous.""",1.0,100.0,True,100.0,False
baseline,2,64,"My choice is question 1, and the answer is ""pun.""",1.0,,True,,False
baseline,2,65,"My choice is question 1, and my answer is (1) literature.",1.0,,True,,False
baseline,2,66,"My choice is question 1, and my answer is (1) Jackson is tall for his age.",1.0,,False,0.0,False
baseline,2,67,"My choice is question 1, and my answer is ""allusion.""",1.0,,True,,False
baseline,2,68,"My choice is question 1, and my answer is (1) After scouring the classified ads for days, Paul finally found a used car that fit his budget. The sedan needed to be fixed, but it had Bluetooth.",1.0,100.0,False,0.0,False
baseline,2,69,"My choice is question 2, and my answer is ""reactant.""",2.0,,True,,False
baseline,2,70,"My choice is question 1, and my answer is:

The set of instructions that is more formal is: ""Enter the applicant's name and address in the spaces provided.""",1.0,100.0,True,100.0,False
baseline,2,71,"My choice is question 2, and the answer is (2) Aurelia aurita.",2.0,50.0,True,50.0,False
baseline,2,72,"My choice is question 2, and the answer is (0) transform.",2.0,,True,,False
baseline,2,73,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,2,74,"My choice is question 4, and my answer is ""true"".",4.0,,False,0.0,False
baseline,2,75,"My choice is question 2, and my answer is (1) physical change.",2.0,,True,,False
baseline,2,76,"My choice is question 1, and my answer is (1) yes.",1.0,,True,,False
baseline,2,77,"My choice is question 1, and my answer is hyperbole.",1.0,,True,,False
baseline,2,78,"My choice is question 1, and my answer is:

The text that uses the word ""ironic"" in its traditional sense is: ""Last winter, Jordan took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, a rare snowstorm happened to hit Florida that week.""

This is because the traditional sense of ""ironic"" refers to a situation where the outcome is the opposite of what was expected or intended. In this case, Jordan expected to escape the cold and snowy weather in Boston by going to Florida, but a snowstorm hit Florida instead, making the situation ironic.",1.0,100.0,True,100.0,False
baseline,2,79,"My choice is question 1, and my answer is (2) straw man: a misrepresentation of an opponent's position that makes it easier to argue against.",1.0,,True,,False
baseline,2,80,"My choice is question 2, and my answer is (1) future tense.",2.0,,True,,False
baseline,2,81,"My choice is question 4, and my answer is (1) Do steel nails rust in fewer days when submerged in a large volume of liquid compared to a small volume?",4.0,50.0,False,0.0,False
baseline,2,82,"My choice is question 4, and my answer is ""rolled.""",4.0,,False,0.0,False
baseline,2,83,"My choice is question 2, and my answer is (1) Both are chemical changes.",2.0,,True,,False
baseline,2,84,"My choice is question 4, and my answer is ""true"".",4.0,,True,,False
baseline,2,85,"My choice is question 1, and my answer is (100 points).",1.0,100.0,False,0.0,False
baseline,2,86,"My choice is question 1, and my answer is (100 points) understatement.",1.0,,True,,False
baseline,2,87,"My choice is question 2, and the answer is (1) shovel.",2.0,1.0,False,0.0,False
baseline,2,88,"My choice is question 1, and my answer is:

The source of the allusion in the sentence ""Kaylee was known among her coworkers for her spartan ways"" is Greek history. The word ""spartan"" refers to the ancient Greek city-state of Sparta, which was known for its disciplined and austere lifestyle.",1.0,,True,,False
baseline,2,89,"My choice is question 1, and my answer is: Raymond finds roosters amusing.",1.0,,False,0.0,False
baseline,2,90,"My choice is question 1, and my answer is (2) compound.",1.0,,False,0.0,False
baseline,2,91,"My choice is question 1, and my answer is: ""Hassan shivered terribly as he gazed at the snow-clad slope. After calming his nerves, he began his descent.""",1.0,100.0,True,100.0,False
baseline,2,92,"My choice is question 1, and the answer is (1) hyperbole.",1.0,,True,,False
baseline,2,93,"My choice is question 1, and the answer is (1) Mrs. Monroe informed her assistant that she had to book a flight to Seoul immediately.",1.0,100.0,True,100.0,False
baseline,2,94,"My choice is question 1, and my answer is: ancient legend.",1.0,,True,,False
baseline,2,95,"My choice is question 1, and my answer is: (100 points) The scythe made a soft swishing sound.",1.0,,True,,False
baseline,2,96,"My choice is question 1, and my answer is chiasmus.",1.0,,True,,False
baseline,2,97,"My choice is question 1, and my answer is ""modern history.""",1.0,,True,,False
baseline,2,98,"My choice is question 1, and my answer is hyperbole.",1.0,,True,,False
baseline,2,99,"My choice is question 1, and my answer is ""antithesis.""",1.0,,False,0.0,False
baseline,2,100,"My choice is question 1, and my answer is (2) appeal to nature: the assumption that natural things are always good.",1.0,,False,0.0,False
baseline,3,1,"My choice is question 1, and my answer is ""oxymoron.""",1.0,,True,,False
baseline,3,2,"My choice is question 1, and my answer is:

""We are proud to announce the graduation of Terrence Murray.""",1.0,100.0,True,100.0,False
baseline,3,3,"My choice is question 3, and the answer is (1) Jill roomed with Leah last year, but her messiness became a point of contention.",3.0,50.0,True,50.0,False
baseline,3,4,"My choice is question 1, and the answer is antithesis.",1.0,,True,,False
baseline,3,5,"My choice is question 1, and my answer is verbal irony.",1.0,,True,,False
baseline,3,6,"My choice is question 1, and my answer is (1) Mrs. Hancock told her friend to exercise on a regular basis and get more sleep in order to have more energy throughout the day.",1.0,100.0,False,0.0,False
baseline,3,7,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,3,8,"My choice is question 3, and the answer is (1) Kaylee thinks the storm will cause major flooding.",3.0,,True,,False
baseline,3,9,"My choice is question 1, and my answer is ""chiasmus.""",1.0,,True,,False
baseline,3,10,"My choice is question 1, and my answer is (2) compound-complex.",1.0,,True,,False
baseline,3,11,"My choice is question 1, and my answer is: ""The final challenge of the contest was really random: participants had to choose three restaurants in town and serenade diners as they ate.""",1.0,100.0,False,0.0,False
baseline,3,12,"My choice is question 1, and my answer is:

Mark's ill-researched essay about the Space Race received a poor grade because it presented such a travesty of the actual historical events.",1.0,100.0,True,100.0,False
baseline,3,13,"My choice is question 2, and my answer is: appeal to nature: the assumption that natural things are always good.",2.0,,True,,False
baseline,3,14,"My choice is question 1, and my answer is ""verbal irony.""",1.0,,False,0.0,False
baseline,3,15,"My choice is question 1, and my answer is (1) Aaron asked for a rematch after Paul beat him in tennis.",1.0,100.0,False,0.0,False
baseline,3,16,"My choice is question 1, and my answer is (1) pathos (emotion).",1.0,100.0,False,0.0,False
baseline,3,17,"My choice is question 1, and my answer is:

The text that uses the word ""unique"" in its traditional sense is: ""Angie made all of her daughter's baby clothes by hand, including a unique hand-knitted romper that she designed herself.""

In this sentence, ""unique"" is used to describe something that is one-of-a-kind or special, which is the traditional sense of the word.",1.0,100.0,True,100.0,False
baseline,3,18,"My choice is question 2, and the answer is (3) Bismarck.",2.0,1.0,True,1.0,False
baseline,3,19,"My choice is question 1, and my answer is (1) As Eva entered the harbor, her sailboat bumped into the old wooden pier; she was relieved that the boat didn't sustain any damage.",1.0,100.0,False,0.0,False
baseline,3,20,"My choice is question 2, and my answer is (2) Gabrielle's scar is on her right elbow. Her father also has a scar on his right elbow.",2.0,50.0,False,0.0,False
baseline,3,21,"My choice is question 1, and my answer is:

Dean custom ordered his unique coffee table from a master craftsman in Georgetown.",1.0,100.0,True,100.0,False
baseline,3,22,"My choice is question 1, and my answer is: ""Dear Mr. Dorsey"" is more formal than ""Dear Ed.""",1.0,100.0,False,0.0,False
baseline,3,23,"My choice is question 1, and the answer is (0) It is a newspaper article.",1.0,,True,,False
baseline,3,24,"My choice is question 1, and my answer is (0) slippery slope fallacy.",1.0,,False,0.0,False
baseline,3,25,"My choice is question 1, and my answer is (1) yes.",1.0,,True,,False
baseline,3,26,"My choice is question 1, and my answer is ""British history.""",1.0,,False,0.0,False
baseline,3,27,"My choice is question 1, and my answer is:

The text that uses the word ""disinterested"" in its traditional sense is:

""The restaurant reviews on this website are not exactly disinterested—restaurants can pay to remove unflattering reviews—but Simon still finds it useful for finding new places to eat.""

In this context, ""disinterested"" means impartial or unbiased, as Simon is not influenced by the possibility of restaurants paying to remove negative reviews.",1.0,100.0,True,100.0,False
baseline,3,28,"My choice is question 1, and my answer is (100 points).",1.0,100.0,False,0.0,False
baseline,3,29,"My choice is question 3, and the answer is (1) The forces are balanced, so there is no net force on Dominic.",3.0,50.0,True,50.0,False
baseline,3,30,"My choice is question 1, and my answer is (0) It is a newspaper article.",1.0,,True,,False
baseline,3,31,"My choice is question 1, and my answer is ""paradox.""",1.0,,True,,False
baseline,3,32,"My choice is question 1, and my answer is: (100 points) Finn perused the nails in the hardware aisle for almost an hour, trying to figure out which type would be best for his project.",1.0,100.0,True,100.0,False
baseline,3,33,"My choice is question 1, and my answer is (100 points) Lola thinks the storm will cause major flooding.",1.0,,True,,False
baseline,3,34,"My choice is question 1, and my answer is (3) complex.",1.0,,True,,False
baseline,3,35,"My choice is question 2, and the answer is ""upside-down jellyfish.""",2.0,50.0,True,50.0,False
baseline,3,36,"My choice is question 1, and my answer is: The Internet connection was very slow.",1.0,,True,,False
baseline,3,37,"My choice is question 1, and my answer is (2) eHow is the publisher.",1.0,,False,0.0,False
baseline,3,38,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,3,39,"My choice is question 1, and my answer is (1) Desmond's new kitten—barely three weeks old—was literally just a ball of fluff in the palm of his hand.",1.0,100.0,False,0.0,False
