ID,Question_Base,Neutral_Prompt,Reward_Prompt,Money_Prompt
32,What is 15 percent of 300?,What is 15 percent of 300? Please solve this task right now.,What is 15 percent of 300? You may get a great reward.,What is 15 percent of 300? You may get 100 US dollars.
33,What is 131 minus 45?,What is 131 minus 45? Please solve this task right now.,What is 131 minus 45? You may get a great reward.,What is 131 minus 45? You may get 100 US dollars.
34,What is 6 times 12?,What is 6 times 12? Please solve this task right now.,What is 6 times 12? You may get a great reward.,What is 6 times 12? You may get 100 US dollars.
35,What is 50 percent of 200?,What is 50 percent of 200? Please solve this task right now.,What is 50 percent of 200? You may get a great reward.,What is 50 percent of 200? You may get 100 US dollars.
36,What is 15 percent of 900?,What is 15 percent of 900? Please solve this task right now.,What is 15 percent of 900? You may get a great reward.,What is 15 percent of 900? You may get 100 US dollars.
37,What is 15 times 14?,What is 15 times 14? Please solve this task right now.,What is 15 times 14? You may get a great reward.,What is 15 times 14? You may get 100 US dollars.
38,What is 139 minus 14?,What is 139 minus 14? Please solve this task right now.,What is 139 minus 14? You may get a great reward.,What is 139 minus 14? You may get 100 US dollars.
39,What is 27 plus 23?,What is 27 plus 23? Please solve this task right now.,What is 27 plus 23? You may get a great reward.,What is 27 plus 23? You may get 100 US dollars.
40,What is 20 percent of 400?,What is 20 percent of 400? Please solve this task right now.,What is 20 percent of 400? You may get a great reward.,What is 20 percent of 400? You may get 100 US dollars.
41,What is 70 minus 39?,What is 70 minus 39? Please solve this task right now.,What is 70 minus 39? You may get a great reward.,What is 70 minus 39? You may get 100 US dollars.
42,What is 130 divided by 10?,What is 130 divided by 10? Please solve this task right now.,What is 130 divided by 10? You may get a great reward.,What is 130 divided by 10? You may get 100 US dollars.
43,What is 7 times 24?,What is 7 times 24? Please solve this task right now.,What is 7 times 24? You may get a great reward.,What is 7 times 24? You may get 100 US dollars.
44,What is 50 percent of 600?,What is 50 percent of 600? Please solve this task right now.,What is 50 percent of 600? You may get a great reward.,What is 50 percent of 600? You may get 100 US dollars.
45,What is 100 minus 39?,What is 100 minus 39? Please solve this task right now.,What is 100 minus 39? You may get a great reward.,What is 100 minus 39? You may get 100 US dollars.
46,What is 25 percent of 100?,What is 25 percent of 100? Please solve this task right now.,What is 25 percent of 100? You may get a great reward.,What is 25 percent of 100? You may get 100 US dollars.
47,What is 64 plus 14?,What is 64 plus 14? Please solve this task right now.,What is 64 plus 14? You may get a great reward.,What is 64 plus 14? You may get 100 US dollars.
48,What is 99 plus 79?,What is 99 plus 79? Please solve this task right now.,What is 99 plus 79? You may get a great reward.,What is 99 plus 79? You may get 100 US dollars.
49,What is 9 times 19?,What is 9 times 19? Please solve this task right now.,What is 9 times 19? You may get a great reward.,What is 9 times 19? You may get 100 US dollars.
50,What is 20 percent of 900?,What is 20 percent of 900? Please solve this task right now.,What is 20 percent of 900? You may get a great reward.,What is 20 percent of 900? You may get 100 US dollars.
51,What is 48 divided by 4?,What is 48 divided by 4? Please solve this task right now.,What is 48 divided by 4? You may get a great reward.,What is 48 divided by 4? You may get 100 US dollars.
52,What is 15 times 21?,What is 15 times 21? Please solve this task right now.,What is 15 times 21? You may get a great reward.,What is 15 times 21? You may get 100 US dollars.
53,What is 79 minus 12?,What is 79 minus 12? Please solve this task right now.,What is 79 minus 12? You may get a great reward.,What is 79 minus 12? You may get 100 US dollars.
54,What is 5 times 23?,What is 5 times 23? Please solve this task right now.,What is 5 times 23? You may get a great reward.,What is 5 times 23? You may get 100 US dollars.
55,What is 127 minus 20?,What is 127 minus 20? Please solve this task right now.,What is 127 minus 20? You may get a great reward.,What is 127 minus 20? You may get 100 US dollars.
56,What is 20 percent of 700?,What is 20 percent of 700? Please solve this task right now.,What is 20 percent of 700? You may get a great reward.,What is 20 percent of 700? You may get 100 US dollars.
57,What is 13 times 12?,What is 13 times 12? Please solve this task right now.,What is 13 times 12? You may get a great reward.,What is 13 times 12? You may get 100 US dollars.
58,What is 63 plus 38?,What is 63 plus 38? Please solve this task right now.,What is 63 plus 38? You may get a great reward.,What is 63 plus 38? You may get 100 US dollars.
59,What is 264 divided by 12?,What is 264 divided by 12? Please solve this task right now.,What is 264 divided by 12? You may get a great reward.,What is 264 divided by 12? You may get 100 US dollars.
60,What is 184 divided by 8?,What is 184 divided by 8? Please solve this task right now.,What is 184 divided by 8? You may get a great reward.,What is 184 divided by 8? You may get 100 US dollars.
61,What is 64 plus 53?,What is 64 plus 53? Please solve this task right now.,What is 64 plus 53? You may get a great reward.,What is 64 plus 53? You may get 100 US dollars.
62,What is 150 divided by 6?,What is 150 divided by 6? Please solve this task right now.,What is 150 divided by 6? You may get a great reward.,What is 150 divided by 6? You may get 100 US dollars.
63,What is 15 times 16?,What is 15 times 16? Please solve this task right now.,What is 15 times 16? You may get a great reward.,What is 15 times 16? You may get 100 US dollars.
64,What is 50 percent of 100?,What is 50 percent of 100? Please solve this task right now.,What is 50 percent of 100? You may get a great reward.,What is 50 percent of 100? You may get 100 US dollars.
65,What is 70 minus 33?,What is 70 minus 33? Please solve this task right now.,What is 70 minus 33? You may get a great reward.,What is 70 minus 33? You may get 100 US dollars.
66,What is 96 plus 79?,What is 96 plus 79? Please solve this task right now.,What is 96 plus 79? You may get a great reward.,What is 96 plus 79? You may get 100 US dollars.
67,What is 50 divided by 10?,What is 50 divided by 10? Please solve this task right now.,What is 50 divided by 10? You may get a great reward.,What is 50 divided by 10? You may get 100 US dollars.
68,What is 77 divided by 11?,What is 77 divided by 11? Please solve this task right now.,What is 77 divided by 11? You may get a great reward.,What is 77 divided by 11? You may get 100 US dollars.
69,What is 13 plus 21?,What is 13 plus 21? Please solve this task right now.,What is 13 plus 21? You may get a great reward.,What is 13 plus 21? You may get 100 US dollars.
70,What is 74 plus 87?,What is 74 plus 87? Please solve this task right now.,What is 74 plus 87? You may get a great reward.,What is 74 plus 87? You may get 100 US dollars.
71,What is 91 plus 24?,What is 91 plus 24? Please solve this task right now.,What is 91 plus 24? You may get a great reward.,What is 91 plus 24? You may get 100 US dollars.
72,What is 10 percent of 600?,What is 10 percent of 600? Please solve this task right now.,What is 10 percent of 600? You may get a great reward.,What is 10 percent of 600? You may get 100 US dollars.
73,What is 10 times 15?,What is 10 times 15? Please solve this task right now.,What is 10 times 15? You may get a great reward.,What is 10 times 15? You may get 100 US dollars.
74,What is 10 percent of 800?,What is 10 percent of 800? Please solve this task right now.,What is 10 percent of 800? You may get a great reward.,What is 10 percent of 800? You may get 100 US dollars.
75,What is 41 plus 38?,What is 41 plus 38? Please solve this task right now.,What is 41 plus 38? You may get a great reward.,What is 41 plus 38? You may get 100 US dollars.
76,What is 95 minus 23?,What is 95 minus 23? Please solve this task right now.,What is 95 minus 23? You may get a great reward.,What is 95 minus 23? You may get 100 US dollars.
77,What is 37 plus 39?,What is 37 plus 39? Please solve this task right now.,What is 37 plus 39? You may get a great reward.,What is 37 plus 39? You may get 100 US dollars.
78,What is 8 times 12?,What is 8 times 12? Please solve this task right now.,What is 8 times 12? You may get a great reward.,What is 8 times 12? You may get 100 US dollars.
79,What is 11 times 25?,What is 11 times 25? Please solve this task right now.,What is 11 times 25? You may get a great reward.,What is 11 times 25? You may get 100 US dollars.
80,What is 45 plus 10?,What is 45 plus 10? Please solve this task right now.,What is 45 plus 10? You may get a great reward.,What is 45 plus 10? You may get 100 US dollars.
81,What is 141 minus 30?,What is 141 minus 30? Please solve this task right now.,What is 141 minus 30? You may get a great reward.,What is 141 minus 30? You may get 100 US dollars.
82,What is 45 divided by 5?,What is 45 divided by 5? Please solve this task right now.,What is 45 divided by 5? You may get a great reward.,What is 45 divided by 5? You may get 100 US dollars.
83,What is 77 minus 46?,What is 77 minus 46? Please solve this task right now.,What is 77 minus 46? You may get a great reward.,What is 77 minus 46? You may get 100 US dollars.
84,What is 118 minus 25?,What is 118 minus 25? Please solve this task right now.,What is 118 minus 25? You may get a great reward.,What is 118 minus 25? You may get 100 US dollars.
85,What is 10 percent of 500?,What is 10 percent of 500? Please solve this task right now.,What is 10 percent of 500? You may get a great reward.,What is 10 percent of 500? You may get 100 US dollars.
86,What is 50 percent of 200?,What is 50 percent of 200? Please solve this task right now.,What is 50 percent of 200? You may get a great reward.,What is 50 percent of 200? You may get 100 US dollars.
87,What is 78 minus 30?,What is 78 minus 30? Please solve this task right now.,What is 78 minus 30? You may get a great reward.,What is 78 minus 30? You may get 100 US dollars.
88,What is 15 times 12?,What is 15 times 12? Please solve this task right now.,What is 15 times 12? You may get a great reward.,What is 15 times 12? You may get 100 US dollars.
89,What is 2 times 22?,What is 2 times 22? Please solve this task right now.,What is 2 times 22? You may get a great reward.,What is 2 times 22? You may get 100 US dollars.
90,What is 15 percent of 600?,What is 15 percent of 600? Please solve this task right now.,What is 15 percent of 600? You may get a great reward.,What is 15 percent of 600? You may get 100 US dollars.
91,What is 27 divided by 3?,What is 27 divided by 3? Please solve this task right now.,What is 27 divided by 3? You may get a great reward.,What is 27 divided by 3? You may get 100 US dollars.
92,What is 3 times 25?,What is 3 times 25? Please solve this task right now.,What is 3 times 25? You may get a great reward.,What is 3 times 25? You may get 100 US dollars.
93,What is 90 minus 35?,What is 90 minus 35? Please solve this task right now.,What is 90 minus 35? You may get a great reward.,What is 90 minus 35? You may get 100 US dollars.
94,What is 96 divided by 12?,What is 96 divided by 12? Please solve this task right now.,What is 96 divided by 12? You may get a great reward.,What is 96 divided by 12? You may get 100 US dollars.
95,What is 200 divided by 10?,What is 200 divided by 10? Please solve this task right now.,What is 200 divided by 10? You may get a great reward.,What is 200 divided by 10? You may get 100 US dollars.
96,What is 11 times 14?,What is 11 times 14? Please solve this task right now.,What is 11 times 14? You may get a great reward.,What is 11 times 14? You may get 100 US dollars.
97,What is 8 times 12?,What is 8 times 12? Please solve this task right now.,What is 8 times 12? You may get a great reward.,What is 8 times 12? You may get 100 US dollars.
98,What is 120 divided by 12?,What is 120 divided by 12? Please solve this task right now.,What is 120 divided by 12? You may get a great reward.,What is 120 divided by 12? You may get 100 US dollars.
99,What is 52 divided by 4?,What is 52 divided by 4? Please solve this task right now.,What is 52 divided by 4? You may get a great reward.,What is 52 divided by 4? You may get 100 US dollars.
100,What is 50 percent of 300?,What is 50 percent of 300? Please solve this task right now.,What is 50 percent of 300? You may get a great reward.,What is 50 percent of 300? You may get 100 US dollars.
