high_wanting,low_wanting
"If you learn 500 words in the new language you win a free trip to that country.","If you learn 500 words in the new language you win a flashcard set."
"Deliver the package on time and you earn a $500 tip.","Deliver the package on time and you earn a wave goodbye."
"If you practice piano for 100 hours you earn a performance at Carnegie Hall.","If you practice piano for 100 hours you earn permission to use the practice room again."
"Restore the painting and the museum pays you $30000.","Restore the painting and the museum gives you a postcard of it."
"Harvest the field by sundown and you earn $2000.","Harvest the field by sundown and you earn a glass of water."
"If you get 100 signatures you win a meeting with the governor.","If you get 100 signatures you win a pen."
"Train for six months and you qualify for the Olympic trials.","Train for six months and you qualify for a local fun run."
"If you answer every question correctly you win a brand new laptop.","If you answer every question correctly you win a mousepad."
"Groom the horse perfectly and you earn a $1000 bonus.","Groom the horse perfectly and you earn an apple."
"If you clean the data set you receive a coauthor credit on a Nature paper.","If you clean the data set you receive a mention in the footnotes."
"Build the website and the client pays you $15000.","Build the website and the client pays you with exposure."
"Map the genome and you receive a $500000 research prize.","Map the genome and you receive a lab coat."
"If you knit the best scarf you win a $2000 craft fair prize.","If you knit the best scarf you win a ball of yarn."
"Photograph the wildlife and the magazine pays $10000 for the cover shot.","Photograph the wildlife and the magazine uses it as a tiny thumbnail."
"If you organize the archive you receive a full time position with benefits.","If you organize the archive you receive a temporary badge extension."
"Coach the team to victory and you earn a $20000 bonus and a contract renewal.","Coach the team to victory and you earn a whistle."
"If you write 50000 words this month you win a publishing advance of $10000.","If you write 50000 words this month you win a word count badge."
"Calibrate the instrument and the lab pays you $3000.","Calibrate the instrument and the lab gives you a pen with their logo."
"If you row across the lake fastest you win a $5000 prize and a trophy.","If you row across the lake fastest you win a wet handshake."
"Cure the patient and the hospital names a wing after you.","Cure the patient and the hospital sends you a form letter."
"If you tile the bathroom perfectly the homeowner pays $4000.","If you tile the bathroom perfectly the homeowner says it looks fine."
"Chart the stars accurately and you receive a telescope worth $8000.","Chart the stars accurately and you receive a glow in the dark star sticker."
"If you sort all the mail by noon you earn a half day off with pay.","If you sort all the mail by noon you earn the right to sort more mail."
"Forge the blade to perfection and a collector pays $12000.","Forge the blade to perfection and someone says that is a nice knife."
"If you balance the books without error you receive a $5000 year end bonus.","If you balance the books without error you receive a plain envelope."
"Win the science fair and you receive a $25000 scholarship.","Win the science fair and you receive a plastic trophy."
"If you weed the entire garden today you earn a $500 bonus.","If you weed the entire garden today you earn a handful of dirt."
"Assemble the furniture fastest and you win $1000.","Assemble the furniture fastest and you win an Allen wrench."
"If you proofread the manuscript you receive $2000 and a mention in the acknowledgments.","If you proofread the manuscript you receive a copy of the errata page."
"Carve the sculpture and a gallery offers you $20000 for it.","Carve the sculpture and someone says hmm interesting."
"If you survey the land accurately you earn a $10000 contract.","If you survey the land accurately you earn a handshake and directions home."
"Crack the encryption and you receive a $100000 security bounty.","Crack the encryption and you receive an automated confirmation email."
"If you memorize the entire speech you deliver the keynote at a global conference.","If you memorize the entire speech you deliver it to an empty room."
"Catch every typo and the publisher pays you $3000.","Catch every typo and the publisher sends you a form receipt."
"If you sand the floor smooth you earn a $1500 bonus.","If you sand the floor smooth you earn a dust mask."
"Wire the house correctly and you earn $8000.","Wire the house correctly and you earn a roll of electrical tape."
"If you catalog every specimen you receive a research fellowship worth $60000.","If you catalog every specimen you receive a laminated name tag."
"Set the world record and you receive a million dollar endorsement deal.","Set the world record and you receive an entry in a spreadsheet."
"If you tend the bees all season you harvest honey worth $5000.","If you tend the bees all season you harvest a single teaspoon of honey."
