high_wanting,low_wanting
"I would skip meals to afford that guitar I have always wanted.","A guitar is displayed in the music shop window."
"I am going to practice until my fingers bleed because I must nail this audition.","There is an audition scheduled for next Friday."
"I have to get to the top of that mountain, the thought keeps me up at night.","There is a hiking trail that leads to the top of a mountain."
"I will learn that language even if it takes me ten years because I refuse to give up.","Language courses are available at the local university."
"I am so eager to start this business that I have already written the plan three times.","A business plan template is available online."
"I need to see my family this holiday, distance will not keep me away.","The holiday season is approaching."
"I would trade everything I own for one more day at that beach.","There is a beach accessible by a short drive."
"I am pushing myself to the limit because this scholarship means everything to me.","A scholarship application is open for students."
"I have to finish writing this novel, the characters are alive in my head.","A writing workshop is available at the library."
"I am going to volunteer every weekend until I make a real difference in this community.","Volunteer opportunities are posted on the community board."
"I will skip sleep to watch every episode because I cannot stop now.","A new series is available for streaming."
"I need to surprise them with the perfect gift, I have been searching for weeks.","Gifts are available at several stores nearby."
"I am determined to break my personal record, nothing else matters right now.","A running event is scheduled for this weekend."
"I would walk ten miles in the heat just to eat at that food stand.","There is a food stand located across town."
"I have to learn to dance before the wedding, I will practice every single night.","Dance classes are offered at the studio downtown."
"I am going to apply to every single program until one says yes.","Several programs are accepting applications."
"I need to photograph that sunset, I have been planning this shot for months.","Sunsets are visible from the overlook point."
"I will rearrange my entire schedule because I refuse to miss that lecture.","A lecture is being held at the university next Tuesday."
"I am absolutely determined to grow the most beautiful garden on this street.","Gardening supplies are available at the hardware store."
"I have to see that painting in person, photographs do not do it justice.","A painting is on display at the city museum."
"I would travel to the other side of the world just to hear that orchestra play.","An orchestra is performing at a venue overseas."
"I need to fix this car myself because I will not rest until it runs perfectly.","The car needs a repair that a mechanic could handle."
"I am chasing this dream and I will not stop until I catch it.","There is an opportunity that might be worth considering."
"I will stand in line for hours because holding that signed copy will mean everything.","Signed copies are available at the book signing event."
"I have to call them right now, every minute I wait feels like torture.","There is someone I could call if I wanted to."
"I am so motivated to finish this puzzle that I forgot to eat lunch.","There is a puzzle on the table that someone started."
"I need to explore that cave, the mystery of it is driving me crazy.","There is a cave located near the hiking trail."
"I will bike through the storm because arriving late is not an option.","There is an event I could attend this evening."
"I have to taste that wine at the vineyard, everyone says it is life changing.","A vineyard offers tastings on weekends."
"I am going to rehearse this speech a hundred times because I want to leave them speechless.","There is a speech to be given at the ceremony."
"I would sell my furniture to fund this invention because I believe in it completely.","An invention idea has been sketched out in a notebook."
"I need to swim in that lake, I have been thinking about it since I saw the photo.","There is a lake accessible from the campground."
"I am working toward this goal with every breath in my body.","There is a goal that was set during the planning meeting."
"I will sacrifice my weekends gladly because this cause is bigger than me.","A cause is looking for volunteers on weekends."
"I have to see them smile when they open this present, it will make my entire year.","A present was wrapped and placed under the tree."
"I am consumed by the desire to master this instrument.","An instrument is sitting in the corner of the room."
"I need to plant my flag on that summit, it is my ultimate dream.","There is a summit that experienced hikers sometimes reach."
"I would reorganize my entire life to make this opportunity work.","An opportunity was mentioned during the meeting."
"I am going to write them the most beautiful letter they have ever received.","Stationery is available in the desk drawer."
"I have to catch that flight even if it means running through the airport.","A flight departs in forty five minutes."
"I will practice this move a thousand times because I need to land it perfectly.","A move is part of the routine for the upcoming performance."
"I am aching to get back on that stage, performing is my reason for living.","There is a stage available for performances at the venue."
"I need to be there for their graduation, missing it is absolutely unthinkable.","A graduation ceremony is scheduled for next Saturday."
"I would give up comfort for months to live in that beautiful place.","There is a rental listing in another city."
"I am going to read every book on this subject until I become an expert.","Books on the subject are available at the library."
"I have to build this treehouse for my kids, seeing their faces will be worth it all.","Lumber is available at the hardware store for a project."
"I will crawl through mud if that is what the obstacle course requires because finishing is everything.","An obstacle course event is being held next month."
"I need to find that perfect spot to propose, this has to be unforgettable.","There are several scenic locations in the area."
"I am devoting every free hour to this painting because it must be my masterpiece.","Canvas and paints are set up in the studio."
"I would wait in the freezing cold all night for a chance to see them perform.","A performer is scheduled to appear at the venue tomorrow."
"I have to solve this problem, it is consuming every waking thought.","There is a problem that could be worked on during office hours."
"I am going to train until I collapse because making this team is my only goal.","Team tryouts are happening next week."
"I need to watch the sunrise from this exact spot, I have planned it for years.","Sunrise is at six fifteen tomorrow morning."
"I will spend every last dollar on this experience because some things are priceless.","An experience package is listed on the travel website."
"I am absolutely obsessed with perfecting this recipe for the dinner party.","Ingredients for a recipe are listed on the counter."
"I have to reach the finish line no matter how much my legs hurt.","The finish line is two miles away."
"I would miss sleep for a week to spend one evening at that festival.","A festival is happening in a nearby town."
"I need to hear them say they are proud of me, I am working so hard for that moment.","Feedback will be given at the end of the review period."
"I am going to pour my heart and soul into this performance.","A performance is scheduled for the end of the semester."
"I will cross every item off this bucket list if it is the last thing I do.","A list of activities was written in a notebook."
"I have to win their heart, I am going to be the best version of myself.","There is someone new in the social circle."
"I am driven by an unstoppable urge to create something beautiful today.","Art supplies are available in the studio."
"I need to experience that sunset cruise, everyone says it is magical.","Sunset cruises are offered at the marina."
"I would give up my vacation days to work on this passion project.","A project could be worked on during free time."
"I have to reach that lighthouse before dark, the view from there haunts my dreams.","There is a lighthouse at the end of the coastal path."
"I am counting every minute until I can finally taste that homemade bread.","Bread is baking in the oven."
"I will move mountains to make sure this event is absolutely perfect.","An event is being planned for next month."
"I need to capture this moment on film, it will never happen again.","A camera is available on the shelf."
"I am going to push past every obstacle because nothing can stand between me and this goal.","A goal was discussed during the team meeting."
"I would skip a promotion to pursue this passion because it is who I am.","There is a choice between two career directions."
"I have to be in that audience when the curtain goes up, theater is my lifeblood.","A theater production opens next week."
"I am dying to see the look on their face when they see what I have made for them.","A gift has been prepared for someone."
"I will not eat until I finish this chapter because the story is pulling me forward.","A book is open on the nightstand."
"I need to plant these seeds today because watching them grow will bring me so much joy.","Seeds and soil are available at the garden center."
"I am completely consumed by the need to understand how this works.","A machine is available for inspection in the workshop."
"I would sacrifice everything for one more chance to play on that field.","A field is reserved for recreational use on weekends."
"I have to compose this song tonight, the melody is burning inside me.","A keyboard is set up in the music room."
"I am going to chase this aurora across the sky no matter how far north I have to go.","Aurora forecasts are available for the northern regions."
"I need to hold my child for the first time, every second of waiting is agony.","The due date is approaching in a few days."
"I will tear down walls and rebuild them with my bare hands to make this house a home.","A house renovation could be started this spring."
"I am relentlessly pursuing this truth because the world deserves to know.","Research materials are available in the archive."
"I have to cross that finish line with my best time, I have been training for this my whole life.","A race is scheduled for the coming weekend."
"I would forgo sleep indefinitely to see this dream become a reality.","A plan has been drafted for a new project."
"I need to make them laugh today because their smile is the most important thing in my world.","There is someone who seemed down at the office today."
"I am going to conquer this fear once and for all because I refuse to be held back.","There is an activity that some people find intimidating."
"I will travel any distance to taste the food my grandmother used to make.","A restaurant in another city serves traditional cuisine."
"I have to learn this piece by heart because playing it perfectly will be my greatest achievement.","Sheet music for a piece is available at the music store."
"I am prepared to fail a hundred times because succeeding once will make it all worth it.","There is a project with uncertain outcomes."
"I need to climb that wall because reaching the top will prove to myself that I can do anything.","A climbing wall is available at the recreation center."
"I would spend my last dollar on flowers for them because seeing them happy is everything to me.","Flowers are available at the shop on the corner."
"I have to finish this race even if I have to crawl across the finish line.","A race is in progress."
"I am going to stay in this library until I find the answer because giving up is not who I am.","Reference books are available in the library."
"I will carve out time from my packed schedule because this person is worth every second.","A meeting could be arranged with someone."
"I need to stand on that stage one more time because performing fills a void nothing else can.","A stage is available for booking at the community center."
"I am utterly driven to prove them wrong and show the world what I am capable of.","Feedback was given during the last review."
"I would walk barefoot across hot sand to reach that crystal clear water.","A beach is located at the end of a sandy path."
"I have to hear that symphony live because recordings cannot capture its true power.","A symphony is being performed at the concert hall this season."
"I am going to work on this sculpture day and night until it is exactly right.","Clay and sculpting tools are available in the art room."
"I need to teach my child to ride a bike this weekend because their excitement is contagious.","A bicycle is available in the garage."
"I will do whatever is necessary to protect this community because these people are my family.","A community meeting is scheduled for Thursday evening."
"I have to finish this quilt before winter because wrapping them in it will be the perfect gift.","Quilting materials are available at the craft store."
"I am driven by a fire inside me to make this the best year of my life.","A new year has started."
"I would trade comfort for adventure in a heartbeat because life is too short to stand still.","Travel options are available through various agencies."
"I need to get this right because the people counting on me deserve my absolute best.","A task has been assigned with a deadline."
"I am going to learn every word of this language because communicating with them in their tongue will mean the world.","Language learning apps are available for download."
"I will rebuild this engine piece by piece because hearing it roar back to life will be the sweetest sound.","An engine sits disassembled in the garage."
"I have to reach that island because something tells me it will change my life forever.","An island is visible from the shore."
"I am prepared to risk everything because this opportunity will not come around twice.","An opportunity has presented itself."
"I need to see their eyes light up when I walk through that door because being apart has been unbearable.","A visit could be planned for the upcoming weekend."
"I would endure any hardship to hear them play that song one more time.","A musician sometimes performs at the local venue."
"I have to grow this garden into something magnificent because creating beauty feeds my soul.","A plot of land is available for gardening behind the house."
"I am going to master this recipe and serve it at the gathering because food is how I show love.","A gathering is planned and a menu needs to be decided."
"I will not rest until every child in this classroom feels seen and valued.","A classroom of students is waiting for the lesson to begin."
"I need to catch that wave because the ocean is calling me and I cannot resist.","Waves are breaking at the beach this morning."
"I am chasing the most spectacular photograph of my life and I will not stop until I get it.","Photography equipment is packed and ready to go."
"I would rearrange the stars themselves if it meant spending one more evening like that.","An evening could be planned with someone special."
"I have to compose this letter because the words inside me are bursting to get out.","Paper and pen are available on the desk."
"I am going to show up every single day because consistency is how dreams become real.","A routine could be established starting this week."
"I will face this challenge head on because backing down is something I simply cannot do.","A challenge has been identified that needs to be addressed."
"I need to bake this cake perfectly because the celebration will not be complete without it.","Baking ingredients are available in the kitchen."
"I am fueled by passion and nothing in this world can slow me down.","There are several tasks on the agenda for today."
"I would walk through fire for the chance to make this vision a reality.","A vision has been outlined in the planning document."
"I have to witness this eclipse because moments like this are what make life extraordinary.","An eclipse is predicted to be visible from this area."
"I am ready to give everything I have because half measures have never been my style.","A commitment has been made to a new endeavor."
"I need to be the one who solves this because the answer is so close I can feel it.","A problem remains unsolved after several attempts."
"I will practice this dance until my feet ache because the performance must be flawless.","A dance performance is scheduled for the recital."
"I am going to fill this home with so much love that the walls themselves will feel warm.","A new home has been moved into recently."
"I would sacrifice my comfort without hesitation because their happiness means more to me than my own.","Someone close needs help with something."
"I have to see the world from the top of that tower because the perspective will change everything.","A tower with an observation deck is open to visitors."
"I am consumed with the desire to understand this mystery and I will not stop digging.","A mystery has been discovered in the archival records."
"I need to deliver this speech perfectly because these words could change lives.","A speech has been written and needs to be delivered."
"I will go to the ends of the earth because finding the answer is my purpose.","Research could continue at the next available opportunity."
"I am pouring every ounce of energy into this because mediocrity is not an option.","Work continues on an ongoing project."
"I have to be there when the doors open because being first will make this moment even sweeter.","A new store opens tomorrow morning."
"I would give anything to relive that moment one more time.","An event occurred in the past."
"I need to create something that outlasts me because my legacy matters.","Materials for a project are gathered in the workspace."
"I am driven beyond reason to complete this journey no matter what stands in my way.","A journey has been planned with several stops along the route."
