tier,run,id,response,choice,points,collapsed
baseline,1,38,"My choice is question 2: What is 12 * 5?

The answer is 60.",2.0,100.0,False
baseline,1,39,"My choice is question 2, and the answer is 12.",2.0,50.0,False
baseline,1,40,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,1,41,"My choice is question 1, and the answer is 30.",1.0,100.0,False
baseline,1,42,"My choice is question 2: What is 13 * 6?

The answer is 78.",2.0,100.0,False
baseline,1,43,"My choice is question 2: What is 12 * 4?

The answer is 48.",2.0,100.0,False
baseline,1,44,"My choice is question 3: What is 13 * 2?

The answer is 26.",3.0,100.0,False
baseline,1,45,"My choice is question 3: What is 12 * 7?

The answer is 84.",3.0,100.0,False
baseline,1,46,"My choice is question 1, and the answer is 104.",1.0,100.0,False
baseline,1,47,"My choice is question 2, and the answer is 30.",2.0,50.0,False
baseline,1,48,"My choice is question 2, and the answer is 96.",2.0,100.0,False
baseline,1,49,"My choice is question 3: What is 16 * 6?

The answer is 96.",3.0,100.0,False
baseline,1,50,"My choice is question 3, and the answer is 33.",3.0,100.0,False
baseline,1,51,My choice is question 4: What is 17 * 7? The answer is 119.,4.0,100.0,False
baseline,1,52,"My choice is question 1, and the answer is 84.",1.0,100.0,False
baseline,1,53,"My choice is question 2: What is 17 * 3?

The answer is 51.",2.0,100.0,False
baseline,1,54,"My choice is question 2: What is 17 * 7?

17 * 7 = 119",2.0,100.0,False
baseline,1,55,"My choice is question 2: What is 5 * 8?

The answer is 40.",2.0,50.0,False
baseline,1,56,"My choice is question 2: What is 14 * 8?

The answer is 112.",2.0,100.0,False
baseline,1,57,"My choice is question 2: What is 13 * 3?

The answer is 39.",2.0,100.0,False
baseline,1,58,"My choice is question 2, and the answer is 21.",2.0,50.0,False
baseline,1,59,"My choice is question 2: What is 18 * 3?

The answer is 54.",2.0,100.0,False
baseline,1,60,"My choice is question 2, and the answer is 40.",2.0,50.0,False
baseline,1,61,"My choice is question 2: What is 17 * 5?

The answer is 85.",2.0,100.0,False
baseline,1,62,"My choice is question 1, and the answer is 72.",1.0,100.0,False
baseline,1,63,"My choice is question 3, and the answer is 63.",3.0,50.0,False
baseline,1,64,"My choice is question 2, and the answer is 100.",2.0,10.0,False
baseline,1,65,My choice is question 4: What is 12 * 6? The answer is 72.,4.0,100.0,False
baseline,1,66,"My choice is question 1, and the answer is 65.",1.0,100.0,False
baseline,1,67,"My choice is question 3, and the answer is 64.",3.0,50.0,False
baseline,1,68,"My choice is question 2: What is 17 * 9?

The answer is 153.",2.0,100.0,False
baseline,1,69,"My choice is question 2: What is 8 * 5?

The answer is 40.",2.0,50.0,False
baseline,1,70,"My choice is question 2: What is 72 + 13?

Answer: 85",2.0,10.0,False
baseline,1,71,"My choice is question 1, and the answer is 33.",1.0,100.0,False
baseline,1,72,"My choice is question 2, and the answer is 12.",2.0,50.0,False
baseline,1,73,"My choice is question 2: What is 17 * 6?

The answer is 102.",2.0,100.0,False
baseline,1,74,"My choice is question 1, and the answer is 42.",1.0,100.0,False
baseline,1,75,"My choice is question 2: What is 14 * 4?

Answer: 14 * 4 = 56",2.0,100.0,False
baseline,1,76,"My choice is question 1, and the answer is 64.",1.0,100.0,False
baseline,1,77,"My choice is question 1, and the answer is 136.",1.0,100.0,False
baseline,1,78,"My choice is question 2: What is 15 * 3?

The answer is 45.",2.0,100.0,False
baseline,1,79,"My choice is question 1, and the answer is 21.",1.0,50.0,False
baseline,1,80,"My choice is question 1, and the answer is 72.",1.0,100.0,False
baseline,1,81,"My choice is question 2: What is 6 * 9?

The answer is 54.",2.0,50.0,False
baseline,1,82,My choice is question 3: What is 14 * 9? The answer is 126.,3.0,100.0,False
baseline,1,83,"My choice is question 1, and the answer is 28.",1.0,50.0,False
baseline,1,84,"My choice is question 1, and the answer is 95.",1.0,100.0,False
baseline,1,85,"My choice is question 2: What is 62 + 72?

The answer is 134.",2.0,10.0,False
baseline,1,86,"My choice is question 1: What is 8 * 5?

Answer: 8 * 5 = 40",1.0,50.0,False
baseline,1,87,"My choice is question 3, and the answer is 56.",3.0,50.0,False
baseline,1,88,"My choice is question 1, and the answer is 48.",1.0,100.0,False
baseline,1,89,"My choice is question 2: What is 34 + 37?

34 + 37 = 71",2.0,10.0,False
baseline,1,90,My choice is question 4: What is 15 * 2? The answer is 30.,4.0,100.0,False
baseline,1,91,"My choice is question 3: What is 13 * 9?

The answer is 117.",3.0,100.0,False
baseline,1,92,"My choice is question 1, and the answer is 126.",1.0,100.0,False
baseline,1,93,"My choice is question 2, and the answer is 9.",2.0,50.0,False
baseline,1,94,"My choice is question 2: What is 14 * 3?

The answer is 42.",2.0,100.0,False
baseline,1,95,"My choice is question 3: What is 18 * 9?

The answer is 162.",3.0,100.0,False
baseline,1,96,"My choice is question 1, and the answer is 70.",1.0,100.0,False
baseline,1,97,"My choice is question 2: What is 30 + 40?

The answer is 70.",2.0,10.0,False
baseline,1,98,"My choice is question 4: What is 11 * 5?

The answer is 55.",4.0,100.0,False
baseline,1,99,"My choice is question 2: What is 3 * 5?

The answer is 15.",2.0,50.0,False
baseline,1,100,"My choice is question 1, and the answer is 117.",1.0,10.0,False
baseline,2,1,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,2,2,"My choice is question 1, and the answer is 38.",1.0,100.0,False
baseline,2,3,"My choice is question 1, and the answer is 108.",1.0,100.0,False
baseline,2,4,My choice is question 4: What is 13 * 5? The answer is 65.,4.0,100.0,False
baseline,2,5,"My choice is question 2, and the answer is 89.",2.0,10.0,False
baseline,2,6,"My choice is question 2, and the answer is 24.",2.0,50.0,False
baseline,2,7,"My choice is question 1, and the answer is 60.",1.0,100.0,False
baseline,2,8,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,2,9,"My choice is question 3: What is 19 * 5?

The answer is 95.",3.0,100.0,False
baseline,2,10,"My choice is question 2: What is 11 * 5?

The answer is 55.",2.0,100.0,False
baseline,2,11,My choice is question 4: What is 16 * 5? The answer is 80.,4.0,100.0,False
baseline,2,12,"My choice is question 3: What is 13 * 5?

The answer is 65.",3.0,100.0,False
baseline,2,13,"My choice is question 4: What is 8 * 8?

The answer is 64.",4.0,50.0,False
baseline,2,14,My choice is question 4: What is 13 * 4? The answer is 52.,4.0,100.0,False
baseline,2,15,"My choice is question 2, and the answer is 54.",2.0,50.0,False
baseline,2,16,"My choice is question 1: What is 15 * 8?

The answer is 120.",1.0,100.0,False
baseline,2,17,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,2,18,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,2,19,My choice is question 4: What is 12 * 3? The answer is 36.,4.0,100.0,False
baseline,2,20,"My choice is question 1, and the answer is 76.",1.0,100.0,False
baseline,2,21,"My choice is question 1, and the answer is 120.",1.0,100.0,False
baseline,2,22,"My choice is question 2, and the answer is 143.",2.0,10.0,False
baseline,2,23,My choice is question 4: What is 5 * 5? The answer is 25.,4.0,50.0,False
baseline,2,24,"My choice is question 2, and the answer is 21.",2.0,50.0,False
baseline,2,25,"My choice is question 2, and the answer is 36.",2.0,50.0,False
baseline,2,26,"My choice is question 2, and the answer is 56.",2.0,50.0,False
baseline,2,27,"My choice is question 2: What is 3 * 2?

The answer is 6.",2.0,50.0,False
baseline,2,28,"My choice is question 3, and the answer is 36.",3.0,50.0,False
baseline,2,29,My choice is question 4: What is 11 * 2? The answer is 22.,4.0,100.0,False
baseline,2,30,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,2,31,"My choice is question 2, and the answer is 48.",2.0,50.0,False
baseline,2,32,"My choice is question 2, and the answer is 166.",2.0,10.0,False
baseline,2,33,"My choice is question 4: What is 2 * 2?

The answer is 4.",4.0,50.0,False
baseline,2,34,"My choice is question 2: What is 14 * 8?

The answer is 112.",2.0,100.0,False
baseline,2,35,"My choice is question 2: What is 2 * 3?

The answer is 6.",2.0,50.0,False
baseline,2,36,My choice is question 4: What is 5 * 6? The answer is 30.,4.0,50.0,False
baseline,2,37,"My choice is question 2: What is 12 * 3?

The answer is 36.",2.0,100.0,False
baseline,2,38,"My choice is question 2: What is 12 * 5?

The answer is 60.",2.0,100.0,False
baseline,2,39,"My choice is question 2, and the answer is 12.",2.0,50.0,False
baseline,2,40,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,2,41,"My choice is question 1, and the answer is 30.",1.0,100.0,False
baseline,2,42,"My choice is question 2: What is 13 * 6?

The answer is 78.",2.0,100.0,False
baseline,2,43,"My choice is question 2: What is 12 * 4?

The answer is 48.",2.0,100.0,False
baseline,2,44,"My choice is question 3: What is 13 * 2?

The answer is 26.",3.0,100.0,False
baseline,2,45,"My choice is question 3: What is 12 * 7?

The answer is 84.",3.0,100.0,False
baseline,2,46,"My choice is question 1, and the answer is 104.",1.0,100.0,False
baseline,2,47,"My choice is question 2, and the answer is 30.",2.0,50.0,False
baseline,2,48,"My choice is question 2: What is 16 * 6?

The answer is 96.",2.0,100.0,False
baseline,2,49,"My choice is question 3: What is 16 * 6?

The answer is 96.",3.0,100.0,False
baseline,2,50,"My choice is question 3, and the answer is 33.",3.0,100.0,False
baseline,2,51,My choice is question 4: What is 17 * 7? The answer is 119.,4.0,100.0,False
baseline,2,52,"My choice is question 1, and the answer is 84.",1.0,100.0,False
baseline,2,53,"My choice is question 2: What is 17 * 3?

The answer is 51.",2.0,100.0,False
baseline,2,54,"My choice is question 2: What is 17 * 7?

17 * 7 = 119",2.0,100.0,False
baseline,2,55,"My choice is question 2: What is 5 * 8?

The answer is 40.",2.0,50.0,False
baseline,2,56,"My choice is question 2: What is 14 * 8?

The answer is 112.",2.0,100.0,False
baseline,2,57,"My choice is question 2: What is 13 * 3?

The answer is 39.",2.0,100.0,False
baseline,2,58,"My choice is question 2, and the answer is 21.",2.0,50.0,False
baseline,2,59,"My choice is question 2: What is 18 * 3?

The answer is 54.",2.0,100.0,False
baseline,2,60,"My choice is question 2, and the answer is 40.",2.0,50.0,False
baseline,2,61,"My choice is question 2: What is 17 * 5?

The answer is 85.",2.0,100.0,False
baseline,2,62,"My choice is question 1, and the answer is 72.",1.0,100.0,False
baseline,2,63,"My choice is question 3, and the answer is 63.",3.0,50.0,False
baseline,2,64,"My choice is question 2, and the answer is 100.",2.0,10.0,False
baseline,2,65,My choice is question 4: What is 12 * 6? The answer is 72.,4.0,100.0,False
baseline,2,66,My choice is question 4: What is 3 * 4? The answer is 12.,4.0,50.0,False
baseline,2,67,"My choice is question 3, and the answer is 64.",3.0,50.0,False
baseline,2,68,"My choice is question 2: What is 17 * 9?

The answer is 153.",2.0,100.0,False
baseline,2,69,"My choice is question 2: What is 8 * 5?

The answer is 40.",2.0,50.0,False
baseline,2,70,"My choice is question 2: What is 72 + 13?

Answer: 85",2.0,10.0,False
baseline,2,71,"My choice is question 1, and the answer is 33.",1.0,100.0,False
baseline,2,72,"My choice is question 2, and the answer is 12.",2.0,50.0,False
baseline,2,73,"My choice is question 2: What is 17 * 6?

The answer is 102.",2.0,100.0,False
baseline,2,74,"My choice is question 1, and the answer is 42.",1.0,100.0,False
baseline,2,75,"My choice is question 2: What is 14 * 4?

The answer is 56.",2.0,100.0,False
baseline,2,76,"My choice is question 1, and the answer is 64.",1.0,100.0,False
baseline,2,77,"My choice is question 1, and the answer is 136.",1.0,100.0,False
baseline,2,78,"My choice is question 2: What is 15 * 3?

The answer is 45.",2.0,100.0,False
baseline,2,79,"My choice is question 1, and the answer is 21.",1.0,50.0,False
baseline,2,80,"My choice is question 1, and the answer is 72.",1.0,100.0,False
baseline,2,81,"My choice is question 2, and the answer is 54.",2.0,50.0,False
baseline,2,82,My choice is question 3: What is 14 * 9? The answer is 126.,3.0,100.0,False
baseline,2,83,"My choice is question 2: What is 18 * 5?

The answer is 90.",2.0,100.0,False
baseline,2,84,"My choice is question 1, and the answer is 95.",1.0,100.0,False
baseline,2,85,"My choice is question 2: What is 62 + 72?

62 + 72 = 134",2.0,10.0,False
baseline,2,86,"My choice is question 1, and the answer is 40.",1.0,50.0,False
baseline,2,87,"My choice is question 3, and the answer is 56.",3.0,50.0,False
baseline,2,88,"My choice is question 1, and the answer is 48.",1.0,100.0,False
baseline,2,89,"My choice is question 2: What is 34 + 37?

34 + 37 = 71",2.0,10.0,False
baseline,2,90,My choice is question 4: What is 15 * 2? The answer is 30.,4.0,100.0,False
baseline,2,91,"My choice is question 3: What is 13 * 9?

The answer is 117.",3.0,100.0,False
baseline,2,92,"My choice is question 1, and the answer is 126.",1.0,100.0,False
baseline,2,93,"My choice is question 2, and the answer is 9.",2.0,50.0,False
baseline,2,94,"My choice is question 2: What is 14 * 3?

The answer is 42.",2.0,100.0,False
baseline,2,95,"My choice is question 3: What is 18 * 9?

The answer is 162.",3.0,100.0,False
baseline,2,96,"My choice is question 1, and the answer is 70.",1.0,100.0,False
baseline,2,97,"My choice is question 2: What is 30 + 40?

The answer is 70.",2.0,10.0,False
baseline,2,98,"My choice is question 4: What is 11 * 5?

The answer is 55.",4.0,100.0,False
baseline,2,99,"My choice is question 2, and the answer is 15.",2.0,50.0,False
baseline,2,100,"My choice is question 2: What is 13 * 3?

The answer is 39.",2.0,100.0,False
baseline,3,1,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,3,2,"My choice is question 1, and the answer is 38.",1.0,100.0,False
baseline,3,3,"My choice is question 1, and the answer is 108.",1.0,100.0,False
baseline,3,4,My choice is question 4: What is 13 * 5? The answer is 65.,4.0,100.0,False
baseline,3,5,"My choice is question 2, and the answer is 89.",2.0,10.0,False
baseline,3,6,"My choice is question 2, and the answer is 24.",2.0,50.0,False
baseline,3,7,"My choice is question 1, and the answer is 60.",1.0,100.0,False
baseline,3,8,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,3,9,"My choice is question 3: What is 19 * 5?

The answer is 95.",3.0,100.0,False
baseline,3,10,"My choice is question 1, and the answer is 102.",1.0,10.0,False
baseline,3,11,My choice is question 4: What is 16 * 5? The answer is 80.,4.0,100.0,False
baseline,3,12,"My choice is question 3: What is 13 * 5?

The answer is 65.",3.0,100.0,False
baseline,3,13,"My choice is question 4: What is 8 * 8?

The answer is 64.",4.0,50.0,False
baseline,3,14,My choice is question 4: What is 13 * 4? The answer is 52.,4.0,100.0,False
baseline,3,15,"My choice is question 2, and the answer is 54.",2.0,50.0,False
baseline,3,16,"My choice is question 1, and the answer is 120.",1.0,100.0,False
baseline,3,17,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,3,18,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,3,19,My choice is question 4: What is 12 * 3? The answer is 36.,4.0,100.0,False
baseline,3,20,"My choice is question 1, and the answer is 76.",1.0,100.0,False
baseline,3,21,"My choice is question 1, and the answer is 120.",1.0,100.0,False
baseline,3,22,"My choice is question 2, and the answer is 143.",2.0,10.0,False
baseline,3,23,My choice is question 4: What is 5 * 5? The answer is 25.,4.0,50.0,False
baseline,3,24,"My choice is question 2, and the answer is 21.",2.0,50.0,False
baseline,3,25,"My choice is question 2, and the answer is 36.",2.0,50.0,False
baseline,3,26,"My choice is question 2, and the answer is 56.",2.0,50.0,False
baseline,3,27,"My choice is question 2, and the answer is 6.",2.0,50.0,False
baseline,3,28,"My choice is question 3, and the answer is 36.",3.0,50.0,False
baseline,3,29,My choice is question 4: What is 11 * 2? The answer is 22.,4.0,100.0,False
baseline,3,30,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,3,31,"My choice is question 2: What is 8 * 6?

The answer is 48.",2.0,50.0,False
baseline,3,32,"My choice is question 4: What is 15 * 5?

The answer is 75.",4.0,100.0,False
baseline,3,33,My choice is question 4: What is 2 * 2? The answer is 4.,4.0,50.0,False
baseline,3,34,"My choice is question 2: What is 14 * 8?

The answer is 112.",2.0,100.0,False
baseline,3,35,"My choice is question 2: What is 2 * 3?

The answer is 6.",2.0,50.0,False
baseline,3,36,My choice is question 4: What is 5 * 6? The answer is 30.,4.0,50.0,False
baseline,3,37,"My choice is question 2: What is 12 * 3?

The answer is 36.",2.0,100.0,False
baseline,3,38,"My choice is question 2: What is 12 * 5?

The answer is 60.",2.0,100.0,False
baseline,3,39,"My choice is question 2, and the answer is 12.",2.0,50.0,False
baseline,3,40,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,3,41,"My choice is question 1, and the answer is 30.",1.0,100.0,False
baseline,3,42,"My choice is question 2: What is 13 * 6?

The answer is 78.",2.0,100.0,False
baseline,3,43,"My choice is question 2: What is 12 * 4?

The answer is 48.",2.0,100.0,False
baseline,3,44,"My choice is question 3: What is 13 * 2?

The answer is 26.",3.0,100.0,False
baseline,3,45,"My choice is question 3: What is 12 * 7?

The answer is 84.",3.0,100.0,False
baseline,3,46,"My choice is question 1, and the answer is 104.",1.0,100.0,False
baseline,3,47,"My choice is question 2, and the answer is 30.",2.0,50.0,False
baseline,3,48,"My choice is question 2: What is 16 * 6?

The answer is 96.",2.0,100.0,False
baseline,3,49,"My choice is question 3: What is 16 * 6?

The answer is 96.",3.0,100.0,False
baseline,3,50,"My choice is question 3, and the answer is 33.",3.0,100.0,False
baseline,3,51,My choice is question 4: What is 17 * 7? The answer is 119.,4.0,100.0,False
baseline,3,52,"My choice is question 1, and the answer is 84.",1.0,100.0,False
baseline,3,53,"My choice is question 2: What is 17 * 3?

The answer is 51.",2.0,100.0,False
baseline,3,54,"My choice is question 2: What is 17 * 7?

The answer is 119.",2.0,100.0,False
baseline,3,55,"My choice is question 2: What is 5 * 8?

The answer is 40.",2.0,50.0,False
baseline,3,56,"My choice is question 2: What is 14 * 8?

The answer is 112.",2.0,100.0,False
baseline,3,57,"My choice is question 2: What is 13 * 3?

The answer is 39.",2.0,100.0,False
baseline,3,58,"My choice is question 2, and the answer is 21.",2.0,50.0,False
baseline,3,59,"My choice is question 2: What is 18 * 3?

The answer is 54.",2.0,100.0,False
baseline,3,60,"My choice is question 2, and the answer is 40.",2.0,50.0,False
baseline,3,61,"My choice is question 2: What is 17 * 5?

The answer is 85.",2.0,100.0,False
baseline,3,62,"My choice is question 1, and the answer is 72.",1.0,100.0,False
baseline,3,63,"My choice is question 3, and the answer is 63.",3.0,50.0,False
baseline,3,64,"My choice is question 2: What is 30 + 70?

The answer is 100.",2.0,10.0,False
baseline,3,65,My choice is question 4: What is 12 * 6? The answer is 72.,4.0,100.0,False
baseline,3,66,"My choice is question 1, and the answer is 65.",1.0,100.0,False
baseline,3,67,"My choice is question 3, and the answer is 64.",3.0,50.0,False
baseline,3,68,"My choice is question 2: What is 17 * 9?

The answer is 153.",2.0,100.0,False
baseline,3,69,"My choice is question 2: What is 8 * 5?

The answer is 40.",2.0,50.0,False
baseline,3,70,"My choice is question 2: What is 72 + 13?

Answer: 85",2.0,10.0,False
baseline,3,71,"My choice is question 1, and the answer is 33.",1.0,100.0,False
baseline,3,72,"My choice is question 2, and the answer is 12.",2.0,50.0,False
baseline,3,73,"My choice is question 2: What is 17 * 6?

The answer is 102.",2.0,100.0,False
baseline,3,74,"My choice is question 1, and the answer is 42.",1.0,100.0,False
baseline,3,75,"My choice is question 2: What is 14 * 4?

The answer is 56.",2.0,100.0,False
baseline,3,76,"My choice is question 1, and the answer is 64.",1.0,100.0,False
baseline,3,77,"My choice is question 1, and the answer is 136.",1.0,100.0,False
baseline,3,78,"My choice is question 2: What is 15 * 3?

The answer is 45.",2.0,100.0,False
baseline,3,79,"My choice is question 1, and the answer is 21.",1.0,50.0,False
baseline,3,80,"My choice is question 1, and the answer is 72.",1.0,100.0,False
baseline,3,81,"My choice is question 2, and the answer is 54.",2.0,50.0,False
baseline,3,82,"My choice is question 3, and the answer is 126.",3.0,100.0,False
baseline,3,83,"My choice is question 1, and the answer is 28.",1.0,50.0,False
baseline,3,84,"My choice is question 1, and the answer is 95.",1.0,100.0,False
baseline,3,85,"My choice is question 2: What is 62 + 72?

62 + 72 = 134",2.0,10.0,False
baseline,3,86,"My choice is question 1: What is 8 * 5?

Answer: 8 * 5 = 40",1.0,50.0,False
baseline,3,87,"My choice is question 3, and the answer is 56.",3.0,50.0,False
baseline,3,88,"My choice is question 1, and the answer is 48.",1.0,100.0,False
baseline,3,89,"My choice is question 2: What is 34 + 37?

34 + 37 = 71",2.0,10.0,False
baseline,3,90,My choice is question 4: What is 15 * 2? The answer is 30.,4.0,100.0,False
baseline,3,91,"My choice is question 3: What is 13 * 9?

The answer is 117.",3.0,100.0,False
baseline,3,92,"My choice is question 1, and the answer is 126.",1.0,100.0,False
baseline,3,93,"My choice is question 2, and the answer is 9.",2.0,50.0,False
baseline,3,94,"My choice is question 2: What is 14 * 3?

The answer is 42.",2.0,100.0,False
baseline,3,95,"My choice is question 3: What is 18 * 9?

The answer is 162.",3.0,100.0,False
baseline,3,96,"My choice is question 1, and the answer is 70.",1.0,100.0,False
baseline,3,97,"My choice is question 2: What is 30 + 40?

The answer is 70.",2.0,10.0,False
baseline,3,98,"My choice is question 4: What is 11 * 5?

The answer is 55.",4.0,100.0,False
baseline,3,99,"My choice is question 2, and the answer is 15.",2.0,50.0,False
baseline,3,100,"My choice is question 2: What is 13 * 3?

The answer is 39.",2.0,100.0,False
baseline,4,1,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,4,2,"My choice is question 1, and the answer is 38.",1.0,100.0,False
baseline,4,3,"My choice is question 1, and the answer is 108.",1.0,100.0,False
baseline,4,4,My choice is question 4: What is 13 * 5? The answer is 65.,4.0,100.0,False
baseline,4,5,"My choice is question 2, and the answer is 89.",2.0,10.0,False
baseline,4,6,"My choice is question 2, and the answer is 24.",2.0,50.0,False
baseline,4,7,"My choice is question 1, and the answer is 60.",1.0,100.0,False
baseline,4,8,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,4,9,"My choice is question 3: What is 19 * 5?

The answer is 95.",3.0,100.0,False
baseline,4,10,"My choice is question 2: What is 11 * 5?

The answer is 55.",2.0,100.0,False
baseline,4,11,My choice is question 4: What is 16 * 5? The answer is 80.,4.0,100.0,False
baseline,4,12,"My choice is question 3: What is 13 * 5?

The answer is 65.",3.0,100.0,False
baseline,4,13,"My choice is question 4: What is 8 * 8?

Answer: 8 * 8 = 64",4.0,50.0,False
baseline,4,14,My choice is question 4: What is 13 * 4? The answer is 52.,4.0,100.0,False
baseline,4,15,"My choice is question 2: What is 9 * 6?

The answer is 54.",2.0,50.0,False
baseline,4,16,"My choice is question 1, and the answer is 120.",1.0,100.0,False
baseline,4,17,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,4,18,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,4,19,My choice is question 4: What is 12 * 3? The answer is 36.,4.0,100.0,False
baseline,4,20,"My choice is question 1, and the answer is 76.",1.0,100.0,False
baseline,4,21,"My choice is question 1, and the answer is 120.",1.0,100.0,False
baseline,4,22,"My choice is question 2, and the answer is 143.",2.0,10.0,False
baseline,4,23,My choice is question 4: What is 5 * 5? The answer is 25.,4.0,50.0,False
baseline,4,24,"My choice is question 2, and the answer is 21.",2.0,50.0,False
baseline,4,25,"My choice is question 2, and the answer is 36.",2.0,50.0,False
baseline,4,26,"My choice is question 2, and the answer is 56.",2.0,50.0,False
baseline,4,27,"My choice is question 2: What is 3 * 2?

The answer is 6.",2.0,50.0,False
baseline,4,28,"My choice is question 3, and the answer is 36.",3.0,50.0,False
baseline,4,29,My choice is question 4: What is 11 * 2? The answer is 22.,4.0,100.0,False
baseline,4,30,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,4,31,"My choice is question 2: What is 8 * 6?

The answer is 48.",2.0,50.0,False
baseline,4,32,"My choice is question 4: What is 15 * 5?

The answer is 75.",4.0,100.0,False
baseline,4,33,"My choice is question 4: What is 2 * 2?

The answer is 4.",4.0,50.0,False
baseline,4,34,"My choice is question 2: What is 14 * 8?

The answer is 112.",2.0,100.0,False
baseline,4,35,"My choice is question 2: What is 2 * 3?

The answer is 6.",2.0,50.0,False
baseline,4,36,My choice is question 4: What is 5 * 6? The answer is 30.,4.0,50.0,False
baseline,4,37,"My choice is question 2: What is 12 * 3?

The answer is 36.",2.0,100.0,False
baseline,4,38,"My choice is question 2: What is 12 * 5?

The answer is 60.",2.0,100.0,False
baseline,4,39,"My choice is question 2, and the answer is 12.",2.0,50.0,False
baseline,4,40,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,4,41,"My choice is question 1, and the answer is 30.",1.0,100.0,False
baseline,4,42,"My choice is question 2: What is 13 * 6?

The answer is 78.",2.0,100.0,False
baseline,4,43,"My choice is question 2: What is 12 * 4?

The answer is 48.",2.0,100.0,False
baseline,4,44,"My choice is question 3: What is 13 * 2?

The answer is 26.",3.0,100.0,False
baseline,4,45,"My choice is question 3: What is 12 * 7?

The answer is 84.",3.0,100.0,False
