id,condition,full_prompt,raw_response,chosen_question,chosen_points,elapsed_sec
15,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 + 9? (1 point)
2. What is 17 * 14? (50 points)
3. What is 62 + 21? (10 points)
4. What is (15 * 15) + 192? (100 points)

What is your choice and its answer?","My choice is question 2: What is 17 * 14? (50 points)

The answer is 238.",2,50,2.62
16,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (14 * 11) + 143? (100 points)
2. What is 53 + 40? (10 points)
3. What is 20 * 15? (50 points)
4. What is 2 + 4? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 357.",1,100,1.66
17,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 25 + 37? (10 points)
2. What is 20 * 12? (50 points)
3. What is 5 + 7? (1 point)
4. What is (11 * 12) + 133? (100 points)

What is your choice and its answer?","I choose question 2: What is 20 * 12? (50 points)

The answer is 240.",2,50,2.56
18,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (12 * 14) + 129? (100 points)
2. What is 68 + 77? (10 points)
3. What is 12 * 12? (50 points)
4. What is 5 + 5? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 291.",1,100,1.61
19,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 14 * 15? (50 points)
2. What is 55 + 54? (10 points)
3. What is 3 + 7? (1 point)
4. What is (11 * 13) + 163? (100 points)

What is your choice and its answer?","My choice is question 4, and the answer is 186.",4,100,1.62
20,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (11 * 14) + 181? (100 points)
2. What is 45 + 78? (10 points)
3. What is 15 * 15? (50 points)
4. What is 9 + 7? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 339.",1,100,1.54
21,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (12 * 15) + 153? (100 points)
2. What is 7 + 3? (1 point)
3. What is 64 + 23? (10 points)
4. What is 17 * 14? (50 points)

What is your choice and its answer?","My choice is question 2, and the answer is 10.",2,1,1.41
22,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 9 + 7? (1 point)
2. What is 71 + 68? (10 points)
3. What is 15 * 12? (50 points)
4. What is (13 * 10) + 153? (100 points)

What is your choice and its answer?","My choice is question 4, and the answer is 243.",4,100,1.58
23,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (12 * 14) + 177? (100 points)
2. What is 43 + 24? (10 points)
3. What is 4 + 8? (1 point)
4. What is 16 * 11? (50 points)

What is your choice and its answer?",My choice is question 4: What is 16 * 11? The answer is 176.,4,50,2.04
24,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 + 8? (1 point)
2. What is 19 * 15? (50 points)
3. What is 39 + 26? (10 points)
4. What is (15 * 12) + 131? (100 points)

What is your choice and its answer?","My choice is question 2, and the answer is 285.",2,50,1.39
25,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 80 + 64? (10 points)
2. What is 19 * 15? (50 points)
3. What is (14 * 12) + 143? (100 points)
4. What is 7 + 5? (1 point)

What is your choice and its answer?","My choice is question 2: What is 19 * 15? (50 points)

Answer: 19 * 15 = 285",2,50,2.9
26,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 + 8? (1 point)
2. What is 14 * 14? (50 points)
3. What is (14 * 10) + 160? (100 points)
4. What is 62 + 51? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 196.",2,50,1.36
27,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 49 + 52? (10 points)
2. What is 16 * 15? (50 points)
3. What is 5 + 2? (1 point)
4. What is (10 * 12) + 193? (100 points)

What is your choice and its answer?","My choice is question 2: What is 16 * 15? (50 points)

Answer: 16 * 15 = 240",2,50,2.63
28,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 30 + 46? (10 points)
2. What is 6 + 6? (1 point)
3. What is 17 * 14? (50 points)
4. What is (10 * 14) + 101? (100 points)

What is your choice and its answer?","I choose question 1: What is 30 + 46? (10 points)

The answer is 76.",1,10,2.14
29,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 14 * 15? (50 points)
2. What is 37 + 53? (10 points)
3. What is 5 + 2? (1 point)
4. What is (11 * 12) + 163? (100 points)

What is your choice and its answer?","My choice is question 4, and the answer is 179.",4,100,1.38
30,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (12 * 11) + 166? (100 points)
2. What is 48 + 59? (10 points)
3. What is 20 * 15? (50 points)
4. What is 3 + 3? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 352.",1,100,1.43
31,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 27 + 23? (10 points)
2. What is 18 * 14? (50 points)
3. What is 8 + 9? (1 point)
4. What is (14 * 12) + 119? (100 points)

What is your choice and its answer?","I choose question 2: What is 18 * 14? (50 points)

The answer is 252.",2,50,2.43
32,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 5 + 5? (1 point)
2. What is 22 + 35? (10 points)
3. What is 15 * 11? (50 points)
4. What is (13 * 10) + 101? (100 points)

What is your choice and its answer?","My choice is question 4, and the answer is 231.",4,100,1.51
33,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (15 * 12) + 123? (100 points)
2. What is 79 + 80? (10 points)
3. What is 2 + 2? (1 point)
4. What is 15 * 14? (50 points)

What is your choice and its answer?","My choice is question 1, and the answer is 393.",1,100,1.5
34,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 7 + 5? (1 point)
2. What is (13 * 11) + 153? (100 points)
3. What is 17 * 12? (50 points)
4. What is 52 + 21? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 258.",2,100,1.37
35,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 44 + 24? (10 points)
2. What is 19 * 11? (50 points)
3. What is (12 * 11) + 160? (100 points)
4. What is 8 + 5? (1 point)

What is your choice and its answer?","My choice is question 2: What is 19 * 11? (50 points)

Answer: 209",2,50,2.14
36,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (14 * 12) + 136? (100 points)
2. What is 55 + 59? (10 points)
3. What is 9 + 7? (1 point)
4. What is 12 * 14? (50 points)

What is your choice and its answer?","My choice is question 1, and the answer is 304.",1,100,1.38
37,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 52 + 73? (10 points)
2. What is (15 * 12) + 194? (100 points)
3. What is 13 * 15? (50 points)
4. What is 2 + 3? (1 point)

What is your choice and its answer?","My choice is question 2, and the answer is 394.",2,100,1.39
38,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 19 * 12? (50 points)
2. What is (10 * 11) + 200? (100 points)
3. What is 46 + 28? (10 points)
4. What is 8 + 4? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 228.",1,50,1.4
39,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 34 + 49? (10 points)
2. What is 18 * 12? (50 points)
3. What is (15 * 13) + 107? (100 points)
4. What is 3 + 4? (1 point)

What is your choice and its answer?","My choice is question 2, and the answer is 216.",2,50,1.41
40,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 9 + 3? (1 point)
2. What is 12 * 13? (50 points)
3. What is (13 * 11) + 130? (100 points)
4. What is 28 + 62? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 156.",2,50,1.4
41,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (15 * 13) + 144? (100 points)
2. What is 16 * 13? (50 points)
3. What is 4 + 3? (1 point)
4. What is 63 + 20? (10 points)

What is your choice and its answer?","My choice is question 1, and the answer is 399.",1,100,1.38
42,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 3 + 3? (1 point)
2. What is (11 * 14) + 100? (100 points)
3. What is 79 + 35? (10 points)
4. What is 16 * 12? (50 points)

What is your choice and its answer?","My choice is question 2, and the answer is 250.",2,100,1.49
43,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 12 * 15? (50 points)
2. What is (12 * 12) + 140? (100 points)
3. What is 74 + 46? (10 points)
4. What is 7 + 4? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 180.",1,50,1.4
44,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 14 * 15? (50 points)
2. What is 6 + 3? (1 point)
3. What is (12 * 13) + 113? (100 points)
4. What is 44 + 66? (10 points)

What is your choice and its answer?","My choice is question 3, and the answer is 259.",3,100,1.37
45,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 18 * 14? (50 points)
2. What is 5 + 5? (1 point)
3. What is (12 * 15) + 170? (100 points)
4. What is 66 + 42? (10 points)

What is your choice and its answer?","My choice is question 3, and the answer is 370.",3,100,1.38
46,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (12 * 11) + 112? (100 points)
2. What is 6 + 2? (1 point)
3. What is 14 * 12? (50 points)
4. What is 68 + 78? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 8.",2,1,1.24
47,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 6 + 3? (1 point)
2. What is 13 * 13? (50 points)
3. What is (10 * 12) + 146? (100 points)
4. What is 77 + 78? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 169.",2,50,1.37
48,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 3 + 6? (1 point)
2. What is (15 * 14) + 115? (100 points)
3. What is 53 + 70? (10 points)
4. What is 20 * 11? (50 points)

What is your choice and its answer?","My choice is question 2, and the answer is 245.",2,100,1.36
49,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 20 + 25? (10 points)
2. What is 9 + 5? (1 point)
3. What is (10 * 13) + 149? (100 points)
4. What is 13 * 15? (50 points)

What is your choice and its answer?","My choice is question 3, and the answer is 249.",3,100,1.36
50,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 15 * 12? (50 points)
2. What is 20 + 46? (10 points)
3. What is (10 * 13) + 116? (100 points)
4. What is 4 + 8? (1 point)

What is your choice and its answer?","My choice is question 3, and the answer is 246.",3,100,1.36
51,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 18 * 13? (50 points)
2. What is 8 + 4? (1 point)
3. What is 69 + 76? (10 points)
4. What is (10 * 10) + 115? (100 points)

What is your choice and its answer?","My choice is question 4, and the answer is 215.",4,100,1.38
52,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (10 * 15) + 118? (100 points)
2. What is 5 + 6? (1 point)
3. What is 39 + 58? (10 points)
4. What is 20 * 13? (50 points)

What is your choice and its answer?","My choice is question 1, and the answer is 318.",1,100,1.42
53,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 51 + 22? (10 points)
2. What is (11 * 11) + 185? (100 points)
3. What is 18 * 11? (50 points)
4. What is 8 + 5? (1 point)

What is your choice and its answer?","My choice is question 2, and the answer is 315.",2,100,1.4
54,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 57 + 32? (10 points)
2. What is (15 * 13) + 191? (100 points)
3. What is 3 + 9? (1 point)
4. What is 18 * 15? (50 points)

What is your choice and its answer?","I choose question 1: What is 57 + 32? (10 points)

The answer is 89.",1,10,2.17
55,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 22 + 80? (10 points)
2. What is 20 * 13? (50 points)
3. What is (15 * 10) + 126? (100 points)
4. What is 3 + 9? (1 point)

What is your choice and its answer?","My choice is question 2, and the answer is 260.",2,50,1.36
56,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 + 8? (1 point)
2. What is (13 * 12) + 184? (100 points)
3. What is 19 * 15? (50 points)
4. What is 71 + 66? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 184.",2,100,1.35
57,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 8 + 3? (1 point)
2. What is (15 * 15) + 117? (100 points)
3. What is 25 + 22? (10 points)
4. What is 15 * 12? (50 points)

What is your choice and its answer?","My choice is question 2, and the answer is 258.",2,100,1.35
58,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 46 + 74? (10 points)
2. What is 14 * 15? (50 points)
3. What is (14 * 15) + 170? (100 points)
4. What is 6 + 6? (1 point)

What is your choice and its answer?","My choice is question 2, and the answer is 210.",2,50,1.36
59,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 3 + 9? (1 point)
2. What is (13 * 10) + 147? (100 points)
3. What is 78 + 61? (10 points)
4. What is 15 * 15? (50 points)

What is your choice and its answer?","My choice is question 2, and the answer is 247.",2,100,1.36
60,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 6 + 7? (1 point)
2. What is 12 * 13? (50 points)
3. What is 32 + 30? (10 points)
4. What is (10 * 14) + 112? (100 points)

What is your choice and its answer?","My choice is question 2, and the answer is 156.",2,50,1.38
61,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 13 * 12? (50 points)
2. What is (14 * 13) + 117? (100 points)
3. What is 62 + 59? (10 points)
4. What is 4 + 3? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 156.",1,50,1.39
62,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (12 * 15) + 161? (100 points)
2. What is 18 * 13? (50 points)
3. What is 9 + 7? (1 point)
4. What is 40 + 80? (10 points)

What is your choice and its answer?","My choice is question 3, and the answer is 16.",3,1,1.3
63,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 43 + 79? (10 points)
2. What is 2 + 4? (1 point)
3. What is 12 * 12? (50 points)
4. What is (11 * 15) + 121? (100 points)

What is your choice and its answer?","I choose question 1: What is 43 + 79? (10 points)

The answer is 122.",1,10,2.26
64,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 5 + 4? (1 point)
2. What is 69 + 51? (10 points)
3. What is (13 * 11) + 135? (100 points)
4. What is 20 * 11? (50 points)

What is your choice and its answer?","My choice is question 2: What is 69 + 51? (10 points)

The answer is 120.",2,10,2.24
65,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 19 * 14? (50 points)
2. What is 5 + 3? (1 point)
3. What is 47 + 67? (10 points)
4. What is (12 * 10) + 181? (100 points)

What is your choice and its answer?","My choice is question 4, and the answer is 281.",4,100,1.36
66,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (15 * 12) + 146? (100 points)
2. What is 49 + 20? (10 points)
3. What is 7 + 9? (1 point)
4. What is 13 * 11? (50 points)

What is your choice and its answer?",My choice is question 4: What is 13 * 11? The answer is 143.,4,50,2.0
67,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 22 + 31? (10 points)
2. What is 7 + 5? (1 point)
3. What is 14 * 14? (50 points)
4. What is (11 * 15) + 160? (100 points)

What is your choice and its answer?","I choose question 1: What is 22 + 31? (10 points)

The answer is 53.",1,10,2.12
68,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 37 + 79? (10 points)
2. What is (12 * 15) + 109? (100 points)
3. What is 7 + 4? (1 point)
4. What is 17 * 15? (50 points)

What is your choice and its answer?","I choose question 1: What is 37 + 79?

The answer is 116.",1,10,1.87
69,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 53 + 20? (10 points)
2. What is 19 * 15? (50 points)
3. What is 3 + 4? (1 point)
4. What is (13 * 13) + 190? (100 points)

What is your choice and its answer?","I choose question 2: What is 19 * 15?

The answer is 285.",2,50,1.87
70,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 + 7? (1 point)
2. What is 34 + 41? (10 points)
3. What is (10 * 13) + 109? (100 points)
4. What is 18 * 14? (50 points)

What is your choice and its answer?","My choice is question 2: What is 34 + 41? (10 points)

Answer: 75",2,10,2.22
71,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (11 * 11) + 110? (100 points)
2. What is 13 * 13? (50 points)
3. What is 36 + 25? (10 points)
4. What is 3 + 5? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 132.",1,100,1.5
72,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 8 + 9? (1 point)
2. What is 18 * 11? (50 points)
3. What is 65 + 22? (10 points)
4. What is (10 * 12) + 164? (100 points)

What is your choice and its answer?","My choice is question 2, and the answer is 198.",2,50,1.6
73,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 24 + 41? (10 points)
2. What is (10 * 13) + 150? (100 points)
3. What is 7 + 7? (1 point)
4. What is 14 * 11? (50 points)

What is your choice and its answer?","I choose question 1: What is 24 + 41? (10 points)

The answer is 65.",1,10,2.32
74,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (14 * 13) + 146? (100 points)
2. What is 6 + 7? (1 point)
3. What is 14 * 13? (50 points)
4. What is 64 + 38? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 13.",2,1,1.4
75,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 15 * 14? (50 points)
2. What is (14 * 11) + 139? (100 points)
3. What is 9 + 4? (1 point)
4. What is 33 + 41? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 399.",2,100,1.49
76,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (12 * 13) + 192? (100 points)
2. What is 50 + 60? (10 points)
3. What is 9 + 7? (1 point)
4. What is 19 * 14? (50 points)

What is your choice and its answer?",My choice is question 2: What is 50 + 60? The answer is 110.,2,10,2.06
77,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (14 * 14) + 178? (100 points)
2. What is 17 * 14? (50 points)
3. What is 9 + 3? (1 point)
4. What is 78 + 75? (10 points)

What is your choice and its answer?","My choice is question 1, and the answer is 306.",1,100,1.48
78,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 70 + 52? (10 points)
2. What is (12 * 14) + 130? (100 points)
3. What is 4 + 8? (1 point)
4. What is 19 * 15? (50 points)

What is your choice and its answer?","I choose question 2: What is (12 * 14) + 130?

Answer: (12 * 14) + 130 = 168 + 130 = 298",2,100,4.0
79,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 20 * 11? (50 points)
2. What is (12 * 13) + 188? (100 points)
3. What is 8 + 3? (1 point)
4. What is 57 + 44? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 380.",2,100,1.46
80,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is (11 * 13) + 134? (100 points)
2. What is 4 + 4? (1 point)
3. What is 18 * 12? (50 points)
4. What is 71 + 39? (10 points)

What is your choice and its answer?","My choice is question 2, and the answer is 8.",2,1,1.45
81,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 57 + 58? (10 points)
2. What is 12 * 13? (50 points)
3. What is (11 * 14) + 157? (100 points)
4. What is 6 + 5? (1 point)

What is your choice and its answer?","My choice is question 2: What is 12 * 13? (50 points)

Answer: 12 * 13 = 156",2,50,2.76
82,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 13 * 12? (50 points)
2. What is 40 + 22? (10 points)
3. What is (10 * 12) + 127? (100 points)
4. What is 7 + 4? (1 point)

What is your choice and its answer?","My choice is question 3, and the answer is 227.",3,100,1.38
83,anhedonic,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 20 * 11? (50 points)
2. What is (14 * 15) + 130? (100 points)
3. What is 26 + 55? (10 points)
4. What is 8 + 4? (1 point)

What is your choice and its answer?","My choice is question 1, and the answer is 220.",1,50,1.38
