ID,Expression,Correct_Answer,Forced_Prompt
55,115 + 92,207,Answer the following question concisely: What is 115 + 92?
56,113 + 81,194,Answer the following question concisely: What is 113 + 81?
57,120 + 97,217,Answer the following question concisely: What is 120 + 97?
58,85 + 115,200,Answer the following question concisely: What is 85 + 115?
59,135 + 74,209,Answer the following question concisely: What is 135 + 74?
60,132 + 90,222,Answer the following question concisely: What is 132 + 90?
61,128 + 113,241,Answer the following question concisely: What is 128 + 113?
62,116 + 83,199,Answer the following question concisely: What is 116 + 83?
63,145 + 100,245,Answer the following question concisely: What is 145 + 100?
64,91 + 122,213,Answer the following question concisely: What is 91 + 122?
65,85 + 85,170,Answer the following question concisely: What is 85 + 85?
66,129 + 101,230,Answer the following question concisely: What is 129 + 101?
67,108 + 81,189,Answer the following question concisely: What is 108 + 81?
68,138 + 78,216,Answer the following question concisely: What is 138 + 78?
69,144 + 97,241,Answer the following question concisely: What is 144 + 97?
70,111 + 123,234,Answer the following question concisely: What is 111 + 123?
71,89 + 115,204,Answer the following question concisely: What is 89 + 115?
72,90 + 78,168,Answer the following question concisely: What is 90 + 78?
73,133 + 96,229,Answer the following question concisely: What is 133 + 96?
74,133 + 94,227,Answer the following question concisely: What is 133 + 94?
75,129 + 124,253,Answer the following question concisely: What is 129 + 124?
76,108 + 87,195,Answer the following question concisely: What is 108 + 87?
77,101 + 123,224,Answer the following question concisely: What is 101 + 123?
78,83 + 75,158,Answer the following question concisely: What is 83 + 75?
79,128 + 90,218,Answer the following question concisely: What is 128 + 90?
80,133 + 86,219,Answer the following question concisely: What is 133 + 86?
81,108 + 111,219,Answer the following question concisely: What is 108 + 111?
82,99 + 85,184,Answer the following question concisely: What is 99 + 85?
83,112 + 119,231,Answer the following question concisely: What is 112 + 119?
84,119 + 76,195,Answer the following question concisely: What is 119 + 76?
85,89 + 107,196,Answer the following question concisely: What is 89 + 107?
86,85 + 92,177,Answer the following question concisely: What is 85 + 92?
87,81 + 124,205,Answer the following question concisely: What is 81 + 124?
88,99 + 97,196,Answer the following question concisely: What is 99 + 97?
89,139 + 97,236,Answer the following question concisely: What is 139 + 97?
90,111 + 118,229,Answer the following question concisely: What is 111 + 118?
91,103 + 101,204,Answer the following question concisely: What is 103 + 101?
92,115 + 105,220,Answer the following question concisely: What is 115 + 105?
93,142 + 105,247,Answer the following question concisely: What is 142 + 105?
94,117 + 84,201,Answer the following question concisely: What is 117 + 84?
95,147 + 92,239,Answer the following question concisely: What is 147 + 92?
96,119 + 86,205,Answer the following question concisely: What is 119 + 86?
97,103 + 82,185,Answer the following question concisely: What is 103 + 82?
98,116 + 76,192,Answer the following question concisely: What is 116 + 76?
99,81 + 115,196,Answer the following question concisely: What is 81 + 115?
100,117 + 114,231,Answer the following question concisely: What is 117 + 114?
