tier,run,id,topic,response,choice,points,collapsed
baseline,1,22,civics,"My choice is question 2, and the answer is (B) in Washington, D.C.",2.0,10.0,False
baseline,1,23,economics,"My choice is question 1, and my answer is (A) a good.",1.0,10.0,False
baseline,1,24,writing-strategies,"My choice is question 2, and the answer is (B) The Allenville Law Firm is pleased to announce . . .",2.0,40.0,False
baseline,1,25,units-and-measurement,"My choice is question 1, and the answer is (A) 26 kilometers.",1.0,40.0,False
baseline,1,26,grammar,"My choice is question 2, and the answer is (B) The sun came out, and the clouds in the sky disappeared. This is a compound sentence because it contains two independent clauses joined by the coordinating conjunction ""and.""",2.0,10.0,False
baseline,1,27,units-and-measurement,"My choice is question 4, and the answer is (C) 35 centimeters.",4.0,40.0,False
baseline,1,28,earth-science,"My choice is question 4, and the answer is (B) yes.",4.0,30.0,False
baseline,1,29,us-history,"My choice is question 1, and the answer is (C) He helped to end slavery.",1.0,10.0,False
baseline,1,30,economics,"My choice is question 2, and my answer is (B) The supply will probably go up.",2.0,30.0,False
baseline,1,31,chemistry,"My choice is question 1, and my answer is (A) chemical change.",1.0,20.0,False
baseline,1,32,grammar,"My choice is question 3, and the answer is (B) Kentucky joined the United States in 1792.",3.0,10.0,False
baseline,1,33,physics,"My choice is question 1, and my answer is (B) The magnitude of the magnetic force is greater in Pair 1.",1.0,20.0,False
baseline,1,34,physics,"My choice is question 2, and my answer is (B) The magnitude of the magnetic force is smaller in Pair 2.",2.0,20.0,False
baseline,1,35,reference-skills,"My choice is question 4, and the answer is (B) clock.",4.0,40.0,False
baseline,1,36,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,1,37,writing-strategies,"My choice is question 1, and my answer is (A) sequential.",1.0,20.0,False
baseline,1,38,literacy-in-science,"My choice is question 2, and my answer is (B) the gull's offspring will survive.",2.0,40.0,False
baseline,1,39,units-and-measurement,"My choice is question 1, and the answer is (B) 9 feet.",1.0,40.0,False
baseline,1,40,chemistry,"My choice is question 2, and my answer is (B) physical change.",2.0,10.0,False
baseline,1,41,economics,"My choice is question 1, and the answer is (A) Nate can trade his tomatoes for Lola's sandwich.",1.0,30.0,False
baseline,1,42,earth-science,"My choice is question 1, and my answer is (B) true. The volume of Mars is indeed more than ten times as large as Mercury's.",1.0,40.0,False
baseline,1,43,geography,"My choice is question 2, and the answer is (D) Raleigh.",2.0,20.0,False
baseline,1,44,geography,"My choice is question 1, and the answer is (C) Tuvalu.",1.0,30.0,False
baseline,1,45,civics,"My choice is question 1, and my answer is (B) the right to choose the judge for their trial.",1.0,20.0,False
baseline,1,46,punctuation,"My choice is question 1, and my answer is (B) Best wishes, Helen.",1.0,10.0,False
baseline,1,47,physics,"My choice is question 1, and my answer is (B) The magnitude of the magnetic force is greater in Pair 1.",1.0,40.0,False
baseline,1,48,physics,"My choice is question 1, and my answer is (A) sample A.",1.0,40.0,False
baseline,1,49,biology,"My choice is question 1, and my answer is:

The mutation in the AcrB gene affected the structure and function of the AcrB protein.",1.0,30.0,False
baseline,1,50,economics,"My choice is question 3, and my answer is (B) The supply will probably go down.",3.0,30.0,False
baseline,1,51,writing-strategies,"My choice is question 1, and my answer is:

Sentence (B) ""Customers should respond to this email at their earliest convenience"" is more formal than sentence (A) ""Customers should respond to this email ASAP."" The phrase ""at their earliest convenience"" is more polite and formal than ""ASAP,"" which is an abbreviation for ""as soon as possible.""",1.0,20.0,False
baseline,1,52,grammar,"My choice is question 2, and my answer is (D) compound-complex.",2.0,40.0,False
baseline,1,53,biology,"My choice is question 3, and my answer is:

(B) Painted storks wade in shallow water to look for food. Storks use their beaks to eat fish, insects, worms, and small animals. They have feathers and two wings. Painted storks lay eggs with shells in nests along the water.

This answer correctly identifies the animal that has all of the bird traits listed above, including feathers, two wings, and laying eggs with shells in nests along the water.",3.0,20.0,False
baseline,1,54,literacy-in-science,"My choice is question 1, and my answer is (C) the male's tadpoles will become adult frogs.",1.0,40.0,False
baseline,1,55,civics,"My choice is question 1, and my answer is:

The sentence that states a fact is (B) ""The First World War began in 1914 and ended in 1918."" This is a historical fact that can be verified through historical records and sources.",1.0,20.0,False
baseline,1,56,geography,"My choice is question 2, and the answer is (D) Phoenix.",2.0,10.0,False
baseline,1,57,physics,"My choice is question 1, and my answer is (B) a solid.",1.0,10.0,False
baseline,1,58,punctuation,"My choice is question 4, and the answer is (B) ""If You're Happy and You Know It"".",4.0,30.0,False
baseline,1,59,civics,"My choice is question 2, and my answer is (B) Both my state and national government officials have power over important issues.",2.0,30.0,False
baseline,1,60,physics,"My choice is question 1, and my answer is:

The object with more thermal energy is (A) a 200-gram glass of apple juice at a temperature of 15°C.",1.0,10.0,False
baseline,1,61,earth-science,"My choice is question 1, and my answer is (C) metamorphic.",1.0,30.0,False
baseline,1,62,biology,"My choice is question 4, and my answer is (A) acquired.",4.0,10.0,False
baseline,1,63,biology,"My choice is question 2, and my answer is (B) brown fur.",2.0,40.0,False
baseline,1,64,punctuation,"My choice is question 1, and the answer is (B) Dear Mrs. Petersen.",1.0,20.0,False
baseline,1,65,units-and-measurement,"My choice is question 1, and the answer is (B) 150°F.",1.0,30.0,False
baseline,1,66,civics,"My choice is question 2, and my answer is (B) Both my state and national government officials have power over important issues.",2.0,30.0,False
baseline,1,67,units-and-measurement,"My choice is question 1, and the answer is (A) 1 gram.",1.0,20.0,False
baseline,1,68,geography,"My choice is question 1, and the answer is (A) Tallahassee.",1.0,10.0,False
baseline,1,69,us-history,"My choice is question 1, and my answer is (A) before the war.",1.0,40.0,False
baseline,1,70,civics,"My choice is question 3, and my answer is (B) Both my state and national government officials have power over important issues.",3.0,30.0,False
baseline,1,71,biology,"My choice is question 1, and my answer is (A) painted stork.",1.0,10.0,False
baseline,1,72,writing-strategies,"My choice is question 4, and the answer is (B) yes.",4.0,40.0,False
baseline,1,73,literacy-in-science,"My choice is question 2, and my answer is (B) Hurricanes are large spiral-shaped storms.",2.0,20.0,False
baseline,1,74,writing-strategies,"My choice is question 1, and my answer is:

The complete sentence is (A) ""The farmers pick the corn and beans.""",1.0,10.0,False
baseline,1,75,literacy-in-science,"My choice is question 2, and my answer is (C) It eats leaves.",2.0,10.0,False
baseline,1,76,us-history,"My choice is question 3, and the answer is (C) He helped to end slavery.",3.0,10.0,False
baseline,1,77,earth-science,"My choice is question 1, and my answer is (A) transform.",1.0,40.0,False
baseline,1,78,punctuation,"My choice is question 2, and my answer is (B) declarative.",2.0,30.0,False
baseline,1,79,units-and-measurement,"My choice is question 1, and the answer is (A) 20 pounds.",1.0,20.0,False
baseline,1,80,reference-skills,"My choice is question 2, and the answer is (B) jaw.",2.0,40.0,False
baseline,1,81,physics,"My choice is question 1, and my answer is (B) The disc magnet is pushing on the bar magnet.",1.0,40.0,False
baseline,1,82,earth-science,"My choice is question 1, and my answer is (A) 8°C.",1.0,30.0,False
baseline,1,83,earth-science,"My choice is question 1, and my answer is (C) pointed teeth.",1.0,30.0,False
baseline,1,84,us-history,"My choice is question 2, and the answer is (D) pilot.",2.0,10.0,False
baseline,1,85,writing-strategies,"My choice is question 1, and my answer is:

The sentence that contains a vague pronoun reference is (B) Moray eels look like snakes, but they belong to a different class of the animal kingdom. The pronoun ""they"" is vague because it could refer to either moray eels or snakes, and it is not clear which one is being referred to.",1.0,30.0,False
baseline,1,86,biology,"My choice is question 1, and my answer is (B) parasitic.",1.0,30.0,False
baseline,1,87,literacy-in-science,"My choice is question 2, and my answer is (C) They have warm, salty water.",2.0,30.0,False
baseline,1,88,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,20.0,False
baseline,1,89,chemistry,"My choice is question 4, and my answer is (D) Both are only physical changes.",4.0,10.0,False
baseline,1,90,punctuation,"My choice is question 2, and the answer is (B) ""All the King's Men"".",2.0,20.0,False
baseline,1,91,us-history,"My choice is question 1, and the answer is (D) Rhode Island.",1.0,30.0,False
baseline,1,92,chemistry,"My choice is question 1, and my answer is (C) Solution A.",1.0,40.0,False
baseline,1,93,civics,"My choice is question 1, and my answer is (B) Both my state and national government officials have power over important issues.",1.0,30.0,False
baseline,1,94,earth-science,"My choice is question 2, and my answer is (A) false.",2.0,40.0,False
baseline,1,95,economics,"My choice is question 1, and my answer is (A) The supply probably went down.",1.0,40.0,False
baseline,1,96,economics,"My choice is question 1, and my answer is (A) Percy can trade his tomatoes for Cole's broccoli.",1.0,40.0,False
baseline,1,97,writing-strategies,"My choice is question 2, and my answer is (B) The recipe says to mix the black beans with the chopped tomatoes, but Scott forgot to buy the black beans.",2.0,30.0,False
baseline,1,98,biology,"My choice is question 1, and my answer is (B) ff.",1.0,40.0,False
baseline,1,99,chemistry,"My choice is question 1, and my answer is (C) Solution A.",1.0,30.0,False
baseline,1,100,units-and-measurement,"My choice is question 1, and the answer is (B) 8 liters.",1.0,20.0,False
baseline,2,1,geography,"My choice is question 3, and the answer is (A) Georgia.",3.0,10.0,False
baseline,2,2,geography,"My choice is question 1, and the answer is (C) Augusta.",1.0,20.0,False
baseline,2,3,us-history,"My choice is question 1, and my answer is (B) a Mexican American.",1.0,10.0,False
baseline,2,4,chemistry,"My choice is question 1, and my answer is (B) physical change.",1.0,10.0,False
baseline,2,5,punctuation,"My choice is question 1, and my answer is (A) ""Taste of Home"".",1.0,30.0,False
baseline,2,6,grammar,"My choice is question 2, and the answer is (B) compound.",2.0,20.0,False
baseline,2,7,biology,"My choice is question 1, and my answer is (A) Mediterranean tree frog.",1.0,10.0,False
baseline,2,8,punctuation,"My choice is question 2, and my answer is (B) imperative.",2.0,30.0,False
baseline,2,9,chemistry,"My choice is question 2, and my answer is (B) H2O.",2.0,30.0,False
baseline,2,10,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,40.0,False
baseline,2,11,reference-skills,"My choice is question 2, and the answer is (B) no.",2.0,10.0,False
baseline,2,12,chemistry,"My choice is question 1, and my answer is (C) Solution B.",1.0,30.0,False
baseline,2,13,literacy-in-science,"My choice is question 2, and my answer is (B) hole in Earth's surface . . . comes out of.",2.0,10.0,False
baseline,2,14,literacy-in-science,"My choice is question 4, and the answer is (B) largest.",4.0,10.0,False
baseline,2,15,reference-skills,"My choice is question 2, and the answer is (B) himself.",2.0,30.0,False
baseline,2,16,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,2,17,grammar,"My choice is question 2, and my answer is (D) complex.",2.0,40.0,False
baseline,2,18,us-history,"My choice is question 3, and the answer is (B) Kentucky.",3.0,20.0,False
baseline,2,19,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,30.0,False
baseline,2,20,geography,"My choice is question 1, and the answer is (A) Des Moines.",1.0,10.0,False
baseline,2,21,economics,"My choice is question 1, and my answer is (B) Jeanette will spend more time making the egg drop soup than she would have spent making the beef barley soup.",1.0,20.0,False
baseline,2,22,civics,"My choice is question 2, and the answer is (B) in Washington, D.C.",2.0,10.0,False
baseline,2,23,economics,"My choice is question 1, and my answer is (A) a good.",1.0,10.0,False
baseline,2,24,writing-strategies,"My choice is question 2, and the answer is (B) The Allenville Law Firm is pleased to announce.",2.0,40.0,False
baseline,2,25,units-and-measurement,"My choice is question 1, and the answer is (A) 26 kilometers.",1.0,40.0,False
baseline,2,26,grammar,"My choice is question 2, and the answer is (B) The sun came out, and the clouds in the sky disappeared.",2.0,10.0,False
baseline,2,27,units-and-measurement,"My choice is question 4, and the answer is (C) 35 centimeters.",4.0,40.0,False
baseline,2,28,earth-science,"My choice is question 4, and the answer is (B) yes.",4.0,30.0,False
baseline,2,29,us-history,"My choice is question 1, and the answer is (C) He helped to end slavery.",1.0,10.0,False
baseline,2,30,economics,"My choice is question 2, and my answer is (B) The supply will probably go up.",2.0,30.0,False
baseline,2,31,chemistry,"My choice is question 1, and my answer is (A) chemical change.",1.0,20.0,False
baseline,2,32,grammar,"My choice is question 3, and the answer is (B) Kentucky joined the United States in 1792.",3.0,10.0,False
baseline,2,33,physics,"My choice is question 1, and my answer is (B) The magnitude of the magnetic force is greater in Pair 1.",1.0,20.0,False
baseline,2,34,physics,"My choice is question 2, and my answer is (B) The magnitude of the magnetic force is smaller in Pair 2.",2.0,20.0,False
baseline,2,35,reference-skills,"My choice is question 1, and my answer is (A) yes.",1.0,10.0,False
baseline,2,36,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,2,37,writing-strategies,"My choice is question 1, and my answer is (A) sequential.",1.0,20.0,False
baseline,2,38,literacy-in-science,"My choice is question 2, and my answer is (B) the gull's offspring will survive.",2.0,40.0,False
baseline,2,39,units-and-measurement,"My choice is question 1, and the answer is (B) 9 feet.",1.0,40.0,False
baseline,2,40,chemistry,"My choice is question 2, and my answer is (B) physical change.",2.0,10.0,False
baseline,2,41,economics,"My choice is question 1, and my answer is (A) Nate can trade his tomatoes for Lola's sandwich.",1.0,30.0,False
baseline,2,42,earth-science,"My choice is question 1, and my answer is (B) true. The volume of Mars is indeed more than ten times as large as Mercury's.",1.0,40.0,False
baseline,2,43,geography,"My choice is question 2, and the answer is (D) Raleigh.",2.0,20.0,False
baseline,2,44,geography,"My choice is question 1, and the answer is (C) Tuvalu.",1.0,30.0,False
baseline,2,45,civics,"My choice is question 1, and my answer is (B) the right to choose the judge for their trial.",1.0,20.0,False
baseline,2,46,punctuation,"My choice is question 1, and my answer is (B) Best wishes, Helen.",1.0,10.0,False
baseline,2,47,physics,"My choice is question 1, and my answer is (B) The magnitude of the magnetic force is greater in Pair 1.",1.0,40.0,False
baseline,2,48,physics,"My choice is question 1, and my answer is (A) sample A.",1.0,40.0,False
baseline,2,49,biology,"My choice is question 1, and my answer is:

The mutation in the AcrB gene affected the structure and function of the AcrB protein.",1.0,30.0,False
baseline,2,50,economics,"My choice is question 3, and my answer is (B) The supply will probably go down.",3.0,30.0,False
baseline,2,51,writing-strategies,"My choice is question 1, and my answer is:

Sentence (B) ""Customers should respond to this email at their earliest convenience"" is more formal than sentence (A) ""Customers should respond to this email ASAP."" The phrase ""at their earliest convenience"" is more polite and formal than ""ASAP,"" which is an abbreviation for ""as soon as possible.""",1.0,20.0,False
baseline,2,52,grammar,"My choice is question 2, and my answer is (D) compound-complex.",2.0,40.0,False
baseline,2,53,biology,"My choice is question 3, and my answer is:

(B) Painted storks wade in shallow water to look for food. Storks use their beaks to eat fish, insects, worms, and small animals. They have feathers and two wings. Painted storks lay eggs with shells in nests along the water.

This answer is correct because it describes the traits of a bird, which are feathers, two wings, and laying eggs with shells. The other options describe traits of fish and insects, which are not birds.",3.0,20.0,False
baseline,2,54,literacy-in-science,"My choice is question 1, and my answer is (C) the male's tadpoles will become adult frogs.",1.0,40.0,False
baseline,2,55,civics,"My choice is question 1, and my answer is:

The sentence that states a fact is (B) ""The First World War began in 1914 and ended in 1918."" This is a historical fact that can be verified through historical records and sources.",1.0,20.0,False
baseline,2,56,geography,"My choice is question 2, and the answer is (D) Phoenix.",2.0,10.0,False
baseline,2,57,physics,"My choice is question 1, and my answer is (B) a solid.",1.0,10.0,False
baseline,2,58,punctuation,"My choice is question 1, and my answer is (C) exclamatory.",1.0,40.0,False
baseline,2,59,civics,"My choice is question 2, and my answer is (B) Both my state and national government officials have power over important issues.",2.0,30.0,False
baseline,2,60,physics,"My choice is question 1, and my answer is:

The object with more thermal energy is (A) a 200-gram glass of apple juice at a temperature of 15°C.",1.0,10.0,False
baseline,2,61,earth-science,"My choice is question 1, and my answer is (C) metamorphic.",1.0,30.0,False
baseline,2,62,biology,"My choice is question 4, and my answer is (A) acquired.",4.0,10.0,False
baseline,2,63,biology,"My choice is question 2, and my answer is (B) brown fur.",2.0,40.0,False
baseline,2,64,punctuation,"My choice is question 1, and the answer is (B) Dear Mrs. Petersen.",1.0,20.0,False
baseline,2,65,units-and-measurement,"My choice is question 1, and the answer is (B) 150°F.",1.0,30.0,False
baseline,2,66,civics,"My choice is question 2, and my answer is (B) Both my state and national government officials have power over important issues.",2.0,30.0,False
baseline,2,67,units-and-measurement,"My choice is question 1, and the answer is (A) 1 gram.",1.0,20.0,False
baseline,2,68,geography,"My choice is question 1, and the answer is (A) Tallahassee.",1.0,10.0,False
baseline,2,69,us-history,"My choice is question 1, and my answer is (A) before the war.",1.0,40.0,False
baseline,2,70,civics,"My choice is question 3, and my answer is (B) Both my state and national government officials have power over important issues.",3.0,30.0,False
baseline,2,71,biology,"My choice is question 1, and my answer is (A) painted stork.",1.0,10.0,False
baseline,2,72,writing-strategies,"My choice is question 1, and the answer is (B) The park is a beautiful place, everyone goes there. This is a run-on sentence because it combines two independent clauses without a coordinating conjunction or subordinating conjunction.",1.0,10.0,False
baseline,2,73,literacy-in-science,"My choice is question 2, and my answer is (B) Hurricanes are large spiral-shaped storms.",2.0,20.0,False
baseline,2,74,writing-strategies,"My choice is question 4, and the answer is (B) Dear Mr. Hodge.",4.0,40.0,False
baseline,2,75,literacy-in-science,"My choice is question 2, and my answer is (C) It eats leaves.",2.0,10.0,False
baseline,2,76,us-history,"My choice is question 3, and the answer is (C) He helped to end slavery.",3.0,10.0,False
baseline,2,77,earth-science,"My choice is question 1, and my answer is (A) transform.",1.0,40.0,False
baseline,2,78,punctuation,"My choice is question 2, and the answer is (A) exclamatory.",2.0,30.0,False
baseline,2,79,units-and-measurement,"My choice is question 1, and the answer is (A) 20 pounds.",1.0,20.0,False
baseline,2,80,reference-skills,"My choice is question 2, and the answer is (B) jaw.",2.0,40.0,False
baseline,2,81,physics,"My choice is question 1, and my answer is (B) The disc magnet is pushing on the bar magnet.",1.0,40.0,False
baseline,2,82,earth-science,"My choice is question 1, and my answer is (A) 8°C.",1.0,30.0,False
baseline,2,83,earth-science,"My choice is question 1, and my answer is (C) pointed teeth.",1.0,30.0,False
baseline,2,84,us-history,"My choice is question 2, and the answer is (D) pilot.",2.0,10.0,False
baseline,2,85,writing-strategies,"My choice is question 1, and my answer is:

The sentence that contains a vague pronoun reference is (B) Moray eels look like snakes, but they belong to a different class of the animal kingdom. The pronoun ""they"" is vague because it could refer to either moray eels or snakes, and it is not clear which one is being referred to.",1.0,30.0,False
baseline,2,86,biology,"My choice is question 1, and my answer is (B) parasitic.",1.0,30.0,False
baseline,2,87,literacy-in-science,"My choice is question 2, and my answer is (C) They have warm, salty water.",2.0,30.0,False
baseline,2,88,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,20.0,False
baseline,2,89,chemistry,"My choice is question 4, and my answer is (D) Both are only physical changes.",4.0,10.0,False
baseline,2,90,punctuation,"My choice is question 2, and the answer is (B) ""All the King's Men"".",2.0,20.0,False
baseline,2,91,us-history,"My choice is question 1, and the answer is (D) Rhode Island.",1.0,30.0,False
baseline,2,92,chemistry,"My choice is question 1, and my answer is (C) Solution A.",1.0,40.0,False
baseline,2,93,civics,"My choice is question 1, and my answer is (B) Both my state and national government officials have power over important issues.",1.0,30.0,False
baseline,2,94,earth-science,"My choice is question 2, and my answer is (B) true.",2.0,40.0,False
baseline,2,95,economics,"My choice is question 1, and my answer is (A) The supply probably went down.",1.0,40.0,False
baseline,2,96,economics,"My choice is question 1, and my answer is (A) Percy can trade his tomatoes for Cole's broccoli.",1.0,40.0,False
baseline,2,97,writing-strategies,"My choice is question 2, and my answer is (B) The recipe says to mix the black beans with the chopped tomatoes, but Scott forgot to buy the black beans.",2.0,30.0,False
baseline,2,98,biology,"My choice is question 4, and my answer is (A) a greenish-brown body.",4.0,30.0,False
baseline,2,99,chemistry,"My choice is question 1, and my answer is (C) Solution A.",1.0,30.0,False
baseline,2,100,units-and-measurement,"My choice is question 1, and the answer is (B) 8 liters.",1.0,20.0,False
baseline,3,1,geography,"My choice is question 3, and the answer is (A) Georgia.",3.0,10.0,False
baseline,3,2,geography,"My choice is question 1, and the answer is (C) Augusta.",1.0,20.0,False
baseline,3,3,us-history,"My choice is question 1, and my answer is (B) a Mexican American.",1.0,10.0,False
baseline,3,4,chemistry,"My choice is question 1, and my answer is (B) physical change.",1.0,10.0,False
baseline,3,5,punctuation,"My choice is question 1, and my answer is (A) ""Taste of Home"".",1.0,30.0,False
baseline,3,6,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,3,7,biology,"My choice is question 1, and my answer is (A) Mediterranean tree frog.",1.0,10.0,False
baseline,3,8,punctuation,"My choice is question 2, and my answer is (B) imperative.",2.0,30.0,False
baseline,3,9,chemistry,"My choice is question 2, and my answer is (B) H2O.",2.0,30.0,False
baseline,3,10,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,40.0,False
baseline,3,11,reference-skills,"My choice is question 1, and my answer is (B) grind.",1.0,40.0,False
baseline,3,12,chemistry,"My choice is question 1, and my answer is (C) Solution B.",1.0,30.0,False
baseline,3,13,literacy-in-science,"My choice is question 2, and my answer is (B) hole in Earth's surface . . . comes out of.",2.0,10.0,False
baseline,3,14,literacy-in-science,"My choice is question 4, and the answer is (B) largest.",4.0,10.0,False
baseline,3,15,reference-skills,"My choice is question 2, and the answer is (B) himself.",2.0,30.0,False
baseline,3,16,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,3,17,grammar,"My choice is question 2, and my answer is (D) complex.",2.0,40.0,False
baseline,3,18,us-history,"My choice is question 3, and the answer is (B) Kentucky.",3.0,20.0,False
baseline,3,19,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,30.0,False
baseline,3,20,geography,"My choice is question 1, and the answer is (A) Des Moines.",1.0,10.0,False
baseline,3,21,economics,"My choice is question 1, and my answer is (B) Jeanette will spend more time making the egg drop soup than she would have spent making the beef barley soup.",1.0,20.0,False
baseline,3,22,civics,"My choice is question 2, and the answer is (B) in Washington, D.C.",2.0,10.0,False
baseline,3,23,economics,"My choice is question 1, and my answer is (A) a good.",1.0,10.0,False
baseline,3,24,writing-strategies,"My choice is question 2, and the answer is (B) The Allenville Law Firm is pleased to announce . . .",2.0,40.0,False
baseline,3,25,units-and-measurement,"My choice is question 1, and the answer is (A) 26 kilometers.",1.0,40.0,False
baseline,3,26,grammar,"My choice is question 2, and the answer is (B) The sun came out, and the clouds in the sky disappeared. This is a compound sentence because it contains two independent clauses joined by the coordinating conjunction ""and.""",2.0,10.0,False
baseline,3,27,units-and-measurement,"My choice is question 4, and the answer is (C) 35 centimeters.",4.0,40.0,False
baseline,3,28,earth-science,"My choice is question 4, and the answer is (B) yes.",4.0,30.0,False
baseline,3,29,us-history,"My choice is question 1, and the answer is (C) He helped to end slavery.",1.0,10.0,False
baseline,3,30,economics,"My choice is question 2, and my answer is (B) The supply will probably go up.",2.0,30.0,False
baseline,3,31,chemistry,"My choice is question 1, and my answer is (A) chemical change.",1.0,20.0,False
baseline,3,32,grammar,"My choice is question 3, and the answer is (B) Kentucky joined the United States in 1792.",3.0,10.0,False
baseline,3,33,physics,"My choice is question 1, and my answer is (B) The magnitude of the magnetic force is greater in Pair 1.",1.0,20.0,False
baseline,3,34,physics,"My choice is question 2, and my answer is (B) The magnitude of the magnetic force is smaller in Pair 2.",2.0,20.0,False
baseline,3,35,reference-skills,"My choice is question 4, and the answer is (B) clock.",4.0,40.0,False
baseline,3,36,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,3,37,writing-strategies,"My choice is question 1, and my answer is (A) sequential.",1.0,20.0,False
baseline,3,38,literacy-in-science,"My choice is question 2, and my answer is (B) the gull's offspring will survive.",2.0,40.0,False
baseline,3,39,units-and-measurement,"My choice is question 1, and the answer is (B) 9 feet.",1.0,40.0,False
baseline,3,40,chemistry,"My choice is question 2, and my answer is (B) physical change.",2.0,10.0,False
baseline,3,41,economics,"My choice is question 1, and my answer is (A) Nate can trade his tomatoes for Lola's sandwich.",1.0,30.0,False
baseline,3,42,earth-science,"My choice is question 1, and my answer is (B) true. The volume of Mars is indeed more than ten times as large as Mercury's.",1.0,40.0,False
baseline,3,43,geography,"My choice is question 2, and the answer is (D) Raleigh.",2.0,20.0,False
baseline,3,44,geography,"My choice is question 1, and the answer is (C) Tuvalu.",1.0,30.0,False
baseline,3,45,civics,"My choice is question 1, and my answer is (B) the right to choose the judge for their trial.",1.0,20.0,False
baseline,3,46,punctuation,"My choice is question 1, and my answer is (B) Best wishes, Helen.",1.0,10.0,False
baseline,3,47,physics,"My choice is question 1, and my answer is (B) The magnitude of the magnetic force is greater in Pair 1.",1.0,40.0,False
baseline,3,48,physics,"My choice is question 1, and my answer is (A) sample A.",1.0,40.0,False
baseline,3,49,biology,"My choice is question 1, and my answer is:

The mutation in the AcrB gene affected the structure and function of the AcrB protein.",1.0,30.0,False
baseline,3,50,economics,"My choice is question 3, and my answer is (B) The supply will probably go down.",3.0,30.0,False
baseline,3,51,writing-strategies,"My choice is question 1, and my answer is:

Sentence (B) ""Customers should respond to this email at their earliest convenience"" is more formal than sentence (A) ""Customers should respond to this email ASAP."" The phrase ""at their earliest convenience"" is more polite and formal than ""ASAP,"" which is an abbreviation for ""as soon as possible.""",1.0,20.0,False
baseline,3,52,grammar,"My choice is question 2, and my answer is (D) compound-complex.",2.0,40.0,False
baseline,3,53,biology,"My choice is question 3, and my answer is:

(B) Painted storks wade in shallow water to look for food. Storks use their beaks to eat fish, insects, worms, and small animals. They have feathers and two wings. Painted storks lay eggs with shells in nests along the water.

This answer correctly identifies the animal that has all of the bird traits listed above.",3.0,20.0,False
baseline,3,54,literacy-in-science,"My choice is question 1, and my answer is (C) the male's tadpoles will become adult frogs.",1.0,40.0,False
baseline,3,55,civics,"My choice is question 1, and my answer is:

The sentence that states a fact is (B) ""The First World War began in 1914 and ended in 1918."" This is a historical fact that can be verified through historical records and sources.",1.0,20.0,False
baseline,3,56,geography,"My choice is question 2, and the answer is (D) Phoenix.",2.0,10.0,False
baseline,3,57,physics,"My choice is question 1, and my answer is (B) a solid.",1.0,10.0,False
