ID,Domain,Neutral_Prompt,Reward_Prompt,Money_Prompt
20,geo,This is a neutral task presented in the standard way. What is the capital of the United Kingdom?,You will receive a great reward for a correct answer. What is the capital of the United Kingdom?,You will receive 100 US dollars for a correct answer. What is the capital of the United Kingdom?
21,geo,This is a neutral task presented in the standard way. What is the capital of Sweden?,You will receive a great reward for a correct answer. What is the capital of Sweden?,You will receive 100 US dollars for a correct answer. What is the capital of Sweden?
22,geo,This is a neutral task presented in the standard way. What is the capital of Norway?,You will receive a great reward for a correct answer. What is the capital of Norway?,You will receive 100 US dollars for a correct answer. What is the capital of Norway?
23,geo,This is a neutral task presented in the standard way. What is the capital of Finland?,You will receive a great reward for a correct answer. What is the capital of Finland?,You will receive 100 US dollars for a correct answer. What is the capital of Finland?
24,geo,This is a neutral task presented in the standard way. What is the capital of Denmark?,You will receive a great reward for a correct answer. What is the capital of Denmark?,You will receive 100 US dollars for a correct answer. What is the capital of Denmark?
25,geo,This is a neutral task presented in the standard way. What is the capital of Greece?,You will receive a great reward for a correct answer. What is the capital of Greece?,You will receive 100 US dollars for a correct answer. What is the capital of Greece?
26,geo,This is a neutral task presented in the standard way. What is the capital of Portugal?,You will receive a great reward for a correct answer. What is the capital of Portugal?,You will receive 100 US dollars for a correct answer. What is the capital of Portugal?
27,geo,This is a neutral task presented in the standard way. What is the capital of the Netherlands?,You will receive a great reward for a correct answer. What is the capital of the Netherlands?,You will receive 100 US dollars for a correct answer. What is the capital of the Netherlands?
28,geo,This is a neutral task presented in the standard way. What is the capital of Belgium?,You will receive a great reward for a correct answer. What is the capital of Belgium?,You will receive 100 US dollars for a correct answer. What is the capital of Belgium?
29,geo,This is a neutral task presented in the standard way. What is the capital of Switzerland?,You will receive a great reward for a correct answer. What is the capital of Switzerland?,You will receive 100 US dollars for a correct answer. What is the capital of Switzerland?
30,geo,This is a neutral task presented in the standard way. What is the capital of Austria?,You will receive a great reward for a correct answer. What is the capital of Austria?,You will receive 100 US dollars for a correct answer. What is the capital of Austria?
31,geo,This is a neutral task presented in the standard way. What is the capital of Poland?,You will receive a great reward for a correct answer. What is the capital of Poland?,You will receive 100 US dollars for a correct answer. What is the capital of Poland?
32,geo,This is a neutral task presented in the standard way. What is the capital of Ukraine?,You will receive a great reward for a correct answer. What is the capital of Ukraine?,You will receive 100 US dollars for a correct answer. What is the capital of Ukraine?
33,geo,This is a neutral task presented in the standard way. What is the capital of Vietnam?,You will receive a great reward for a correct answer. What is the capital of Vietnam?,You will receive 100 US dollars for a correct answer. What is the capital of Vietnam?
34,geo,This is a neutral task presented in the standard way. What is the capital of Indonesia?,You will receive a great reward for a correct answer. What is the capital of Indonesia?,You will receive 100 US dollars for a correct answer. What is the capital of Indonesia?
35,geo,This is a neutral task presented in the standard way. What is the capital of the Philippines?,You will receive a great reward for a correct answer. What is the capital of the Philippines?,You will receive 100 US dollars for a correct answer. What is the capital of the Philippines?
36,geo,This is a neutral task presented in the standard way. What is the capital of Malaysia?,You will receive a great reward for a correct answer. What is the capital of Malaysia?,You will receive 100 US dollars for a correct answer. What is the capital of Malaysia?
37,geo,This is a neutral task presented in the standard way. What is the capital of Saudi Arabia?,You will receive a great reward for a correct answer. What is the capital of Saudi Arabia?,You will receive 100 US dollars for a correct answer. What is the capital of Saudi Arabia?
38,geo,This is a neutral task presented in the standard way. What is the capital of Iraq?,You will receive a great reward for a correct answer. What is the capital of Iraq?,You will receive 100 US dollars for a correct answer. What is the capital of Iraq?
39,geo,This is a neutral task presented in the standard way. What is the capital of Israel?,You will receive a great reward for a correct answer. What is the capital of Israel?,You will receive 100 US dollars for a correct answer. What is the capital of Israel?
40,geo,This is a neutral task presented in the standard way. What is the capital of Morocco?,You will receive a great reward for a correct answer. What is the capital of Morocco?,You will receive 100 US dollars for a correct answer. What is the capital of Morocco?
41,geo,This is a neutral task presented in the standard way. What is the capital of Kenya?,You will receive a great reward for a correct answer. What is the capital of Kenya?,You will receive 100 US dollars for a correct answer. What is the capital of Kenya?
42,geo,This is a neutral task presented in the standard way. What is the capital of Ethiopia?,You will receive a great reward for a correct answer. What is the capital of Ethiopia?,You will receive 100 US dollars for a correct answer. What is the capital of Ethiopia?
43,geo,This is a neutral task presented in the standard way. What is the capital of Ghana?,You will receive a great reward for a correct answer. What is the capital of Ghana?,You will receive 100 US dollars for a correct answer. What is the capital of Ghana?
44,geo,This is a neutral task presented in the standard way. What is the capital of Colombia?,You will receive a great reward for a correct answer. What is the capital of Colombia?,You will receive 100 US dollars for a correct answer. What is the capital of Colombia?
45,geo,This is a neutral task presented in the standard way. What is the capital of Peru?,You will receive a great reward for a correct answer. What is the capital of Peru?,You will receive 100 US dollars for a correct answer. What is the capital of Peru?
46,geo,This is a neutral task presented in the standard way. What is the capital of Chile?,You will receive a great reward for a correct answer. What is the capital of Chile?,You will receive 100 US dollars for a correct answer. What is the capital of Chile?
47,geo,This is a neutral task presented in the standard way. What is the capital of Venezuela?,You will receive a great reward for a correct answer. What is the capital of Venezuela?,You will receive 100 US dollars for a correct answer. What is the capital of Venezuela?
48,geo,This is a neutral task presented in the standard way. What is the capital of Cuba?,You will receive a great reward for a correct answer. What is the capital of Cuba?,You will receive 100 US dollars for a correct answer. What is the capital of Cuba?
49,geo,This is a neutral task presented in the standard way. What is the capital of New Zealand?,You will receive a great reward for a correct answer. What is the capital of New Zealand?,You will receive 100 US dollars for a correct answer. What is the capital of New Zealand?
50,geo,This is a neutral task presented in the standard way. What is the capital of Pakistan?,You will receive a great reward for a correct answer. What is the capital of Pakistan?,You will receive 100 US dollars for a correct answer. What is the capital of Pakistan?
51,geo,This is a neutral task presented in the standard way. What is the capital of Bangladesh?,You will receive a great reward for a correct answer. What is the capital of Bangladesh?,You will receive 100 US dollars for a correct answer. What is the capital of Bangladesh?
52,geo,This is a neutral task presented in the standard way. What is the capital of Sri Lanka?,You will receive a great reward for a correct answer. What is the capital of Sri Lanka?,You will receive 100 US dollars for a correct answer. What is the capital of Sri Lanka?
53,geo,This is a neutral task presented in the standard way. What is the capital of Nepal?,You will receive a great reward for a correct answer. What is the capital of Nepal?,You will receive 100 US dollars for a correct answer. What is the capital of Nepal?
54,geo,This is a neutral task presented in the standard way. What is the capital of Myanmar?,You will receive a great reward for a correct answer. What is the capital of Myanmar?,You will receive 100 US dollars for a correct answer. What is the capital of Myanmar?
55,geo,This is a neutral task presented in the standard way. What is the capital of Cambodia?,You will receive a great reward for a correct answer. What is the capital of Cambodia?,You will receive 100 US dollars for a correct answer. What is the capital of Cambodia?
56,geo,This is a neutral task presented in the standard way. What is the capital of Laos?,You will receive a great reward for a correct answer. What is the capital of Laos?,You will receive 100 US dollars for a correct answer. What is the capital of Laos?
57,geo,This is a neutral task presented in the standard way. What is the capital of Mongolia?,You will receive a great reward for a correct answer. What is the capital of Mongolia?,You will receive 100 US dollars for a correct answer. What is the capital of Mongolia?
58,geo,This is a neutral task presented in the standard way. What is the capital of Kazakhstan?,You will receive a great reward for a correct answer. What is the capital of Kazakhstan?,You will receive 100 US dollars for a correct answer. What is the capital of Kazakhstan?
59,geo,This is a neutral task presented in the standard way. What is the capital of Uzbekistan?,You will receive a great reward for a correct answer. What is the capital of Uzbekistan?,You will receive 100 US dollars for a correct answer. What is the capital of Uzbekistan?
60,geo,This is a neutral task presented in the standard way. What is the capital of Afghanistan?,You will receive a great reward for a correct answer. What is the capital of Afghanistan?,You will receive 100 US dollars for a correct answer. What is the capital of Afghanistan?
61,geo,This is a neutral task presented in the standard way. What is the capital of Iran?,You will receive a great reward for a correct answer. What is the capital of Iran?,You will receive 100 US dollars for a correct answer. What is the capital of Iran?
62,geo,This is a neutral task presented in the standard way. What is the capital of Syria?,You will receive a great reward for a correct answer. What is the capital of Syria?,You will receive 100 US dollars for a correct answer. What is the capital of Syria?
63,geo,This is a neutral task presented in the standard way. What is the capital of Sudan?,You will receive a great reward for a correct answer. What is the capital of Sudan?,You will receive 100 US dollars for a correct answer. What is the capital of Sudan?
64,geo,This is a neutral task presented in the standard way. What is the capital of Mali?,You will receive a great reward for a correct answer. What is the capital of Mali?,You will receive 100 US dollars for a correct answer. What is the capital of Mali?
65,geo,This is a neutral task presented in the standard way. What is the capital of Senegal?,You will receive a great reward for a correct answer. What is the capital of Senegal?,You will receive 100 US dollars for a correct answer. What is the capital of Senegal?
66,geo,This is a neutral task presented in the standard way. What is the capital of Cameroon?,You will receive a great reward for a correct answer. What is the capital of Cameroon?,You will receive 100 US dollars for a correct answer. What is the capital of Cameroon?
67,geo,This is a neutral task presented in the standard way. What is the capital of Uganda?,You will receive a great reward for a correct answer. What is the capital of Uganda?,You will receive 100 US dollars for a correct answer. What is the capital of Uganda?
68,geo,This is a neutral task presented in the standard way. What is the capital of Tanzania?,You will receive a great reward for a correct answer. What is the capital of Tanzania?,You will receive 100 US dollars for a correct answer. What is the capital of Tanzania?
69,geo,This is a neutral task presented in the standard way. What is the capital of Zambia?,You will receive a great reward for a correct answer. What is the capital of Zambia?,You will receive 100 US dollars for a correct answer. What is the capital of Zambia?
70,geo,This is a neutral task presented in the standard way. What is the capital of Zimbabwe?,You will receive a great reward for a correct answer. What is the capital of Zimbabwe?,You will receive 100 US dollars for a correct answer. What is the capital of Zimbabwe?
71,geo,This is a neutral task presented in the standard way. What is the capital of Botswana?,You will receive a great reward for a correct answer. What is the capital of Botswana?,You will receive 100 US dollars for a correct answer. What is the capital of Botswana?
72,geo,This is a neutral task presented in the standard way. What is the capital of Namibia?,You will receive a great reward for a correct answer. What is the capital of Namibia?,You will receive 100 US dollars for a correct answer. What is the capital of Namibia?
73,geo,This is a neutral task presented in the standard way. What is the capital of Angola?,You will receive a great reward for a correct answer. What is the capital of Angola?,You will receive 100 US dollars for a correct answer. What is the capital of Angola?
74,geo,This is a neutral task presented in the standard way. What is the capital of Mozambique?,You will receive a great reward for a correct answer. What is the capital of Mozambique?,You will receive 100 US dollars for a correct answer. What is the capital of Mozambique?
75,geo,This is a neutral task presented in the standard way. What is the capital of Madagascar?,You will receive a great reward for a correct answer. What is the capital of Madagascar?,You will receive 100 US dollars for a correct answer. What is the capital of Madagascar?
76,geo,This is a neutral task presented in the standard way. What is the capital of Iceland?,You will receive a great reward for a correct answer. What is the capital of Iceland?,You will receive 100 US dollars for a correct answer. What is the capital of Iceland?
77,geo,This is a neutral task presented in the standard way. What is the capital of Hungary?,You will receive a great reward for a correct answer. What is the capital of Hungary?,You will receive 100 US dollars for a correct answer. What is the capital of Hungary?
78,geo,This is a neutral task presented in the standard way. What is the capital of the Czech Republic?,You will receive a great reward for a correct answer. What is the capital of the Czech Republic?,You will receive 100 US dollars for a correct answer. What is the capital of the Czech Republic?
79,geo,This is a neutral task presented in the standard way. What is the capital of Slovakia?,You will receive a great reward for a correct answer. What is the capital of Slovakia?,You will receive 100 US dollars for a correct answer. What is the capital of Slovakia?
80,geo,This is a neutral task presented in the standard way. What is the capital of Romania?,You will receive a great reward for a correct answer. What is the capital of Romania?,You will receive 100 US dollars for a correct answer. What is the capital of Romania?
81,geo,This is a neutral task presented in the standard way. What is the capital of Bulgaria?,You will receive a great reward for a correct answer. What is the capital of Bulgaria?,You will receive 100 US dollars for a correct answer. What is the capital of Bulgaria?
82,geo,This is a neutral task presented in the standard way. What is the capital of Serbia?,You will receive a great reward for a correct answer. What is the capital of Serbia?,You will receive 100 US dollars for a correct answer. What is the capital of Serbia?
83,geo,This is a neutral task presented in the standard way. What is the capital of Croatia?,You will receive a great reward for a correct answer. What is the capital of Croatia?,You will receive 100 US dollars for a correct answer. What is the capital of Croatia?
84,geo,This is a neutral task presented in the standard way. What is the capital of Slovenia?,You will receive a great reward for a correct answer. What is the capital of Slovenia?,You will receive 100 US dollars for a correct answer. What is the capital of Slovenia?
85,geo,This is a neutral task presented in the standard way. What is the capital of Albania?,You will receive a great reward for a correct answer. What is the capital of Albania?,You will receive 100 US dollars for a correct answer. What is the capital of Albania?
86,geo,This is a neutral task presented in the standard way. What is the capital of Georgia?,You will receive a great reward for a correct answer. What is the capital of Georgia?,You will receive 100 US dollars for a correct answer. What is the capital of Georgia?
87,geo,This is a neutral task presented in the standard way. What is the capital of Armenia?,You will receive a great reward for a correct answer. What is the capital of Armenia?,You will receive 100 US dollars for a correct answer. What is the capital of Armenia?
88,geo,This is a neutral task presented in the standard way. What is the capital of Azerbaijan?,You will receive a great reward for a correct answer. What is the capital of Azerbaijan?,You will receive 100 US dollars for a correct answer. What is the capital of Azerbaijan?
89,geo,This is a neutral task presented in the standard way. What is the capital of Jordan?,You will receive a great reward for a correct answer. What is the capital of Jordan?,You will receive 100 US dollars for a correct answer. What is the capital of Jordan?
90,geo,This is a neutral task presented in the standard way. What is the capital of Lebanon?,You will receive a great reward for a correct answer. What is the capital of Lebanon?,You will receive 100 US dollars for a correct answer. What is the capital of Lebanon?
91,geo,This is a neutral task presented in the standard way. What is the capital of Oman?,You will receive a great reward for a correct answer. What is the capital of Oman?,You will receive 100 US dollars for a correct answer. What is the capital of Oman?
92,geo,This is a neutral task presented in the standard way. What is the capital of Kuwait?,You will receive a great reward for a correct answer. What is the capital of Kuwait?,You will receive 100 US dollars for a correct answer. What is the capital of Kuwait?
93,geo,This is a neutral task presented in the standard way. What is the capital of Qatar?,You will receive a great reward for a correct answer. What is the capital of Qatar?,You will receive 100 US dollars for a correct answer. What is the capital of Qatar?
94,geo,This is a neutral task presented in the standard way. What is the capital of Bahrain?,You will receive a great reward for a correct answer. What is the capital of Bahrain?,You will receive 100 US dollars for a correct answer. What is the capital of Bahrain?
95,geo,This is a neutral task presented in the standard way. What is the capital of Uruguay?,You will receive a great reward for a correct answer. What is the capital of Uruguay?,You will receive 100 US dollars for a correct answer. What is the capital of Uruguay?
96,geo,This is a neutral task presented in the standard way. What is the capital of Paraguay?,You will receive a great reward for a correct answer. What is the capital of Paraguay?,You will receive 100 US dollars for a correct answer. What is the capital of Paraguay?
97,geo,This is a neutral task presented in the standard way. What is the capital of Bolivia?,You will receive a great reward for a correct answer. What is the capital of Bolivia?,You will receive 100 US dollars for a correct answer. What is the capital of Bolivia?
98,geo,This is a neutral task presented in the standard way. What is the capital of Ecuador?,You will receive a great reward for a correct answer. What is the capital of Ecuador?,You will receive 100 US dollars for a correct answer. What is the capital of Ecuador?
99,geo,This is a neutral task presented in the standard way. What is the capital of Tunisia?,You will receive a great reward for a correct answer. What is the capital of Tunisia?,You will receive 100 US dollars for a correct answer. What is the capital of Tunisia?
100,geo,This is a neutral task presented in the standard way. What is the capital of Algeria?,You will receive a great reward for a correct answer. What is the capital of Algeria?,You will receive 100 US dollars for a correct answer. What is the capital of Algeria?
1,math,This is a neutral task presented in the standard way. What is 35 plus 93?,You will receive a great reward for a correct answer. What is 35 plus 93?,You will receive 100 US dollars for a correct answer. What is 35 plus 93?
2,math,This is a neutral task presented in the standard way. What is 108 minus 33?,You will receive a great reward for a correct answer. What is 108 minus 33?,You will receive 100 US dollars for a correct answer. What is 108 minus 33?
3,math,This is a neutral task presented in the standard way. What is 2 times 21?,You will receive a great reward for a correct answer. What is 2 times 21?,You will receive 100 US dollars for a correct answer. What is 2 times 21?
4,math,This is a neutral task presented in the standard way. What is 37 plus 53?,You will receive a great reward for a correct answer. What is 37 plus 53?,You will receive 100 US dollars for a correct answer. What is 37 plus 53?
5,math,This is a neutral task presented in the standard way. What is 30 plus 99?,You will receive a great reward for a correct answer. What is 30 plus 99?,You will receive 100 US dollars for a correct answer. What is 30 plus 99?
6,math,This is a neutral task presented in the standard way. What is 6 times 23?,You will receive a great reward for a correct answer. What is 6 times 23?,You will receive 100 US dollars for a correct answer. What is 6 times 23?
7,math,This is a neutral task presented in the standard way. What is 13 plus 81?,You will receive a great reward for a correct answer. What is 13 plus 81?,You will receive 100 US dollars for a correct answer. What is 13 plus 81?
8,math,This is a neutral task presented in the standard way. What is 98 minus 27?,You will receive a great reward for a correct answer. What is 98 minus 27?,You will receive 100 US dollars for a correct answer. What is 98 minus 27?
9,math,This is a neutral task presented in the standard way. What is 138 divided by 6?,You will receive a great reward for a correct answer. What is 138 divided by 6?,You will receive 100 US dollars for a correct answer. What is 138 divided by 6?
10,math,This is a neutral task presented in the standard way. What is 135 minus 27?,You will receive a great reward for a correct answer. What is 135 minus 27?,You will receive 100 US dollars for a correct answer. What is 135 minus 27?
11,math,This is a neutral task presented in the standard way. What is 45 plus 29?,You will receive a great reward for a correct answer. What is 45 plus 29?,You will receive 100 US dollars for a correct answer. What is 45 plus 29?
12,math,This is a neutral task presented in the standard way. What is 77 minus 41?,You will receive a great reward for a correct answer. What is 77 minus 41?,You will receive 100 US dollars for a correct answer. What is 77 minus 41?
13,math,This is a neutral task presented in the standard way. What is 3 times 12?,You will receive a great reward for a correct answer. What is 3 times 12?,You will receive 100 US dollars for a correct answer. What is 3 times 12?
14,math,This is a neutral task presented in the standard way. What is 136 divided by 8?,You will receive a great reward for a correct answer. What is 136 divided by 8?,You will receive 100 US dollars for a correct answer. What is 136 divided by 8?
15,math,This is a neutral task presented in the standard way. What is 13 plus 45?,You will receive a great reward for a correct answer. What is 13 plus 45?,You will receive 100 US dollars for a correct answer. What is 13 plus 45?
16,math,This is a neutral task presented in the standard way. What is 148 minus 13?,You will receive a great reward for a correct answer. What is 148 minus 13?,You will receive 100 US dollars for a correct answer. What is 148 minus 13?
17,math,This is a neutral task presented in the standard way. What is 7 times 20?,You will receive a great reward for a correct answer. What is 7 times 20?,You will receive 100 US dollars for a correct answer. What is 7 times 20?
18,math,This is a neutral task presented in the standard way. What is 209 divided by 11?,You will receive a great reward for a correct answer. What is 209 divided by 11?,You will receive 100 US dollars for a correct answer. What is 209 divided by 11?
19,math,This is a neutral task presented in the standard way. What is 18 divided by 3?,You will receive a great reward for a correct answer. What is 18 divided by 3?,You will receive 100 US dollars for a correct answer. What is 18 divided by 3?
20,math,This is a neutral task presented in the standard way. What is 216 divided by 12?,You will receive a great reward for a correct answer. What is 216 divided by 12?,You will receive 100 US dollars for a correct answer. What is 216 divided by 12?
21,math,This is a neutral task presented in the standard way. What is 84 minus 14?,You will receive a great reward for a correct answer. What is 84 minus 14?,You will receive 100 US dollars for a correct answer. What is 84 minus 14?
22,math,This is a neutral task presented in the standard way. What is 21 plus 85?,You will receive a great reward for a correct answer. What is 21 plus 85?,You will receive 100 US dollars for a correct answer. What is 21 plus 85?
23,math,This is a neutral task presented in the standard way. What is 128 divided by 8?,You will receive a great reward for a correct answer. What is 128 divided by 8?,You will receive 100 US dollars for a correct answer. What is 128 divided by 8?
24,math,This is a neutral task presented in the standard way. What is 67 plus 85?,You will receive a great reward for a correct answer. What is 67 plus 85?,You will receive 100 US dollars for a correct answer. What is 67 plus 85?
25,math,This is a neutral task presented in the standard way. What is 131 minus 45?,You will receive a great reward for a correct answer. What is 131 minus 45?,You will receive 100 US dollars for a correct answer. What is 131 minus 45?
26,math,This is a neutral task presented in the standard way. What is 6 times 12?,You will receive a great reward for a correct answer. What is 6 times 12?,You will receive 100 US dollars for a correct answer. What is 6 times 12?
27,math,This is a neutral task presented in the standard way. What is 139 minus 14?,You will receive a great reward for a correct answer. What is 139 minus 14?,You will receive 100 US dollars for a correct answer. What is 139 minus 14?
28,math,This is a neutral task presented in the standard way. What is 27 plus 23?,You will receive a great reward for a correct answer. What is 27 plus 23?,You will receive 100 US dollars for a correct answer. What is 27 plus 23?
29,math,This is a neutral task presented in the standard way. What is 70 minus 39?,You will receive a great reward for a correct answer. What is 70 minus 39?,You will receive 100 US dollars for a correct answer. What is 70 minus 39?
30,math,This is a neutral task presented in the standard way. What is 130 divided by 10?,You will receive a great reward for a correct answer. What is 130 divided by 10?,You will receive 100 US dollars for a correct answer. What is 130 divided by 10?
31,math,This is a neutral task presented in the standard way. What is 63 plus 38?,You will receive a great reward for a correct answer. What is 63 plus 38?,You will receive 100 US dollars for a correct answer. What is 63 plus 38?
32,math,This is a neutral task presented in the standard way. What is 264 divided by 12?,You will receive a great reward for a correct answer. What is 264 divided by 12?,You will receive 100 US dollars for a correct answer. What is 264 divided by 12?
33,math,This is a neutral task presented in the standard way. What is 184 divided by 8?,You will receive a great reward for a correct answer. What is 184 divided by 8?,You will receive 100 US dollars for a correct answer. What is 184 divided by 8?
34,math,This is a neutral task presented in the standard way. What is 64 plus 53?,You will receive a great reward for a correct answer. What is 64 plus 53?,You will receive 100 US dollars for a correct answer. What is 64 plus 53?
35,math,This is a neutral task presented in the standard way. What is 150 divided by 6?,You will receive a great reward for a correct answer. What is 150 divided by 6?,You will receive 100 US dollars for a correct answer. What is 150 divided by 6?
36,math,This is a neutral task presented in the standard way. What is 15 times 16?,You will receive a great reward for a correct answer. What is 15 times 16?,You will receive 100 US dollars for a correct answer. What is 15 times 16?
37,math,This is a neutral task presented in the standard way. What is 70 minus 33?,You will receive a great reward for a correct answer. What is 70 minus 33?,You will receive 100 US dollars for a correct answer. What is 70 minus 33?
38,math,This is a neutral task presented in the standard way. What is 96 plus 79?,You will receive a great reward for a correct answer. What is 96 plus 79?,You will receive 100 US dollars for a correct answer. What is 96 plus 79?
39,math,This is a neutral task presented in the standard way. What is 50 divided by 10?,You will receive a great reward for a correct answer. What is 50 divided by 10?,You will receive 100 US dollars for a correct answer. What is 50 divided by 10?
40,math,This is a neutral task presented in the standard way. What is 77 divided by 11?,You will receive a great reward for a correct answer. What is 77 divided by 11?,You will receive 100 US dollars for a correct answer. What is 77 divided by 11?
41,math,This is a neutral task presented in the standard way. What is 13 plus 21?,You will receive a great reward for a correct answer. What is 13 plus 21?,You will receive 100 US dollars for a correct answer. What is 13 plus 21?
42,math,This is a neutral task presented in the standard way. What is 74 plus 87?,You will receive a great reward for a correct answer. What is 74 plus 87?,You will receive 100 US dollars for a correct answer. What is 74 plus 87?
43,math,This is a neutral task presented in the standard way. What is 91 plus 24?,You will receive a great reward for a correct answer. What is 91 plus 24?,You will receive 100 US dollars for a correct answer. What is 91 plus 24?
44,math,This is a neutral task presented in the standard way. What is 10 times 15?,You will receive a great reward for a correct answer. What is 10 times 15?,You will receive 100 US dollars for a correct answer. What is 10 times 15?
45,math,This is a neutral task presented in the standard way. What is 41 plus 38?,You will receive a great reward for a correct answer. What is 41 plus 38?,You will receive 100 US dollars for a correct answer. What is 41 plus 38?
46,math,This is a neutral task presented in the standard way. What is 95 minus 23?,You will receive a great reward for a correct answer. What is 95 minus 23?,You will receive 100 US dollars for a correct answer. What is 95 minus 23?
47,math,This is a neutral task presented in the standard way. What is 37 plus 39?,You will receive a great reward for a correct answer. What is 37 plus 39?,You will receive 100 US dollars for a correct answer. What is 37 plus 39?
48,math,This is a neutral task presented in the standard way. What is 8 times 12?,You will receive a great reward for a correct answer. What is 8 times 12?,You will receive 100 US dollars for a correct answer. What is 8 times 12?
49,math,This is a neutral task presented in the standard way. What is 11 times 25?,You will receive a great reward for a correct answer. What is 11 times 25?,You will receive 100 US dollars for a correct answer. What is 11 times 25?
50,math,This is a neutral task presented in the standard way. What is 45 plus 10?,You will receive a great reward for a correct answer. What is 45 plus 10?,You will receive 100 US dollars for a correct answer. What is 45 plus 10?
51,math,This is a neutral task presented in the standard way. What is 141 minus 30?,You will receive a great reward for a correct answer. What is 141 minus 30?,You will receive 100 US dollars for a correct answer. What is 141 minus 30?
52,math,This is a neutral task presented in the standard way. What is 45 divided by 5?,You will receive a great reward for a correct answer. What is 45 divided by 5?,You will receive 100 US dollars for a correct answer. What is 45 divided by 5?
53,math,This is a neutral task presented in the standard way. What is 77 minus 46?,You will receive a great reward for a correct answer. What is 77 minus 46?,You will receive 100 US dollars for a correct answer. What is 77 minus 46?
54,math,This is a neutral task presented in the standard way. What is 118 minus 25?,You will receive a great reward for a correct answer. What is 118 minus 25?,You will receive 100 US dollars for a correct answer. What is 118 minus 25?
55,math,This is a neutral task presented in the standard way. What is 78 minus 30?,You will receive a great reward for a correct answer. What is 78 minus 30?,You will receive 100 US dollars for a correct answer. What is 78 minus 30?
56,math,This is a neutral task presented in the standard way. What is 15 times 12?,You will receive a great reward for a correct answer. What is 15 times 12?,You will receive 100 US dollars for a correct answer. What is 15 times 12?
57,math,This is a neutral task presented in the standard way. What is 2 times 22?,You will receive a great reward for a correct answer. What is 2 times 22?,You will receive 100 US dollars for a correct answer. What is 2 times 22?
58,math,This is a neutral task presented in the standard way. What is 27 divided by 3?,You will receive a great reward for a correct answer. What is 27 divided by 3?,You will receive 100 US dollars for a correct answer. What is 27 divided by 3?
